Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
sec_contact_asym_mig_size	Round_3_Replicate_21	-45383.86	90783.72	396430.2	30162.66	4.2513,1.2618,0.2492,0.4694,10.2309,5.3914,0.5536,0.4823
sec_contact_asym_mig_size	Round_3_Replicate_22	-89375.99	178767.98	323826.72	17094.81	5.4413,0.2467,2.2363,0.6112,1.4211,1.5087,0.2466,0.1272
sec_contact_asym_mig_size	Round_3_Replicate_23	-64860.09	129736.18	189453.72	22908.0	2.4147,0.9518,1.7474,0.1143,3.3027,4.1481,0.129,0.2487
sec_contact_asym_mig_size	Round_3_Replicate_24	-84266.86	168549.72	2444409.26	16542.66	5.541,1.3922,1.7509,0.8192,4.2422,2.6025,0.2615,0.1749
sec_contact_asym_mig_size	Round_3_Replicate_25	-66432.6	132881.2	220142.13	21383.21	0.5989,1.1389,1.8946,0.5121,1.8388,2.3651,0.198,0.1085
sec_contact_asym_mig_size	Round_3_Replicate_26	-35102.7	70221.4	78388.48	33350.61	5.9549,0.58,0.2316,0.1009,3.464,7.5843,0.6265,0.1714
sec_contact_asym_mig_size	Round_3_Replicate_27	-55364.76	110745.52	183855.28	73083.98	0.5228,0.6253,0.306,0.1224,15.0968,1.4406,1.2994,0.3797
sec_contact_asym_mig_size	Round_3_Replicate_28	-39218.14	78452.28	92976.49	35303.9	0.858,0.6202,0.2281,0.1844,5.7842,0.9245,0.1026,0.0855
sec_contact_asym_mig_size	Round_3_Replicate_29	-49388.61	98793.22	135956.33	41908.83	0.733,0.2222,0.4129,0.2083,3.8245,1.9611,0.7256,1.0323
sec_contact_asym_mig_size	Round_3_Replicate_30	-61834.6	123685.2	293032.07	22324.24	0.4924,0.4163,1.2065,0.9891,3.5912,2.439,0.2203,0.1507
sec_contact_asym_mig_size	Round_4_Replicate_1	-29234.82	58485.64	74405.67	36019.79	7.3657,0.6206,0.3043,0.1058,4.3743,9.6064,0.4358,0.2504
sec_contact_asym_mig_size	Round_4_Replicate_2	-34400.31	68816.62	88346.79	30864.54	4.138,0.4329,0.354,0.1393,2.7543,7.3521,0.4275,0.1978
sec_contact_asym_mig_size	Round_4_Replicate_3	-36590.92	73197.84	78913.56	38049.64	4.371,0.2941,0.1928,0.1219,3.9088,7.9144,0.5059,0.1742
sec_contact_asym_mig_size	Round_4_Replicate_4	-30744.8	61505.6	79851.57	30541.27	3.6226,0.7161,0.3313,0.1321,4.6043,6.7589,0.5009,0.18
sec_contact_asym_mig_size	Round_4_Replicate_5	-26821.33	53658.66	74748.23	35098.59	6.8853,0.7821,0.2931,0.1479,7.9902,5.7341,0.8392,0.3047
sec_contact_asym_mig_size	Round_4_Replicate_6	-38267.94	76551.88	106477.83	26591.68	7.1522,0.7408,0.389,0.1579,1.7859,7.5721,0.5391,0.1902
sec_contact_asym_mig_size	Round_4_Replicate_7	-35649.26	71314.52	132554.25	32914.23	6.5155,0.2767,0.2482,0.1042,2.1875,17.0994,0.3968,0.1256
sec_contact_asym_mig_size	Round_4_Replicate_8	-26060.63	52137.26	64993.55	31572.55	3.718,0.3431,0.2242,0.0753,5.6337,14.3283,1.0306,0.1635
sec_contact_asym_mig_size	Round_4_Replicate_9	-26159.56	52335.12	78638.22	32955.76	2.8669,0.6262,0.3344,0.106,6.9174,9.7815,0.788,0.2538
sec_contact_asym_mig_size	Round_4_Replicate_10	-26736.34	53488.68	76192.95	32937.7	10.454,0.793,0.2983,0.1307,7.2101,7.3087,0.6622,0.2385
sec_contact_asym_mig_size	Round_4_Replicate_11	-25465.8	50947.6	67267.83	32031.41	10.4797,0.2814,0.2597,0.0958,7.2199,9.8755,0.8573,0.1886
sec_contact_asym_mig_size	Round_4_Replicate_12	-31280.78	62577.56	87129.1	28327.8	3.5525,0.6505,0.2934,0.1727,4.7045,6.8763,0.722,0.1821
sec_contact_asym_mig_size	Round_4_Replicate_13	-28887.9	57791.8	74119.28	25794.24	10.9212,0.9148,0.2265,0.0893,6.0525,10.0135,0.9559,0.1213
sec_contact_asym_mig_size	Round_4_Replicate_14	-32988.23	65992.46	70025.5	42850.21	10.3969,0.7585,0.1494,0.115,7.4769,5.5469,0.4867,0.1754
sec_contact_asym_mig_size	Round_4_Replicate_15	-29838.0	59692.0	88671.54	31666.78	3.8355,0.5113,0.2862,0.0597,2.9704,19.7628,0.4888,0.1203
sec_contact_asym_mig_size	Round_4_Replicate_16	-33716.66	67449.32	78620.63	41112.51	4.6475,0.8148,0.2406,0.0756,2.0691,14.5848,0.6117,0.2456
sec_contact_asym_mig_size	Round_4_Replicate_17	-28021.33	56058.66	73118.33	29080.48	3.8651,0.7804,0.3214,0.1071,5.3625,8.3041,0.7347,0.1787
sec_contact_asym_mig_size	Round_4_Replicate_18	-25042.31	50100.62	64037.49	30352.69	4.8783,0.4951,0.271,0.0759,7.7387,11.1241,0.9838,0.1694
sec_contact_asym_mig_size	Round_4_Replicate_19	-26833.9	53683.8	72732.12	36371.07	5.3096,0.6598,0.2233,0.0791,6.5432,13.7755,0.4267,0.1404
sec_contact_asym_mig_size	Round_4_Replicate_20	-26047.12	52110.24	84841.69	30832.57	5.3192,0.3342,0.3471,0.0853,6.7953,13.1754,0.7767,0.2148
sec_contact_asym_mig_size	Round_4_Replicate_21	-30578.68	61173.36	94157.83	30413.68	9.3426,0.3538,0.3494,0.146,4.43,8.2614,0.5059,0.2156
sec_contact_asym_mig_size	Round_4_Replicate_22	-28752.73	57521.46	86334.36	29477.87	8.2896,0.7193,0.3174,0.1317,5.4592,8.4467,0.6122,0.1917
sec_contact_asym_mig_size	Round_4_Replicate_23	-30116.08	60248.16	65659.38	42023.18	9.0931,0.7394,0.1698,0.1275,8.1645,4.7851,0.5975,0.2071
sec_contact_asym_mig_size	Round_4_Replicate_24	-31136.1	62288.2	84351.84	29592.4	5.9085,1.0376,0.3203,0.1153,3.3521,9.7757,0.6095,0.1943
sec_contact_asym_mig_size	Round_4_Replicate_25	-33773.6	67563.2	73875.71	27607.61	12.0338,0.4562,0.2753,0.1325,2.918,6.8196,1.153,0.2519
sec_contact_asym_mig_size	Round_4_Replicate_26	-29728.09	59472.18	66207.29	43575.69	3.7058,0.4533,0.2024,0.1345,7.0331,5.7894,0.8476,0.3272
sec_contact_asym_mig_size	Round_4_Replicate_27	-25800.68	51617.36	66381.49	31316.45	7.1341,1.0864,0.2979,0.0951,5.575,10.502,0.9561,0.2627
sec_contact_asym_mig_size	Round_4_Replicate_28	-25989.07	51994.14	78388.31	36633.89	8.9782,0.5302,0.2146,0.0702,8.4337,15.8919,0.3364,0.1127
sec_contact_asym_mig_size	Round_4_Replicate_29	-35694.11	71404.22	83032.73	32658.51	7.4121,0.3636,0.2834,0.1898,3.7652,4.4349,0.5079,0.2297
sec_contact_asym_mig_size	Round_4_Replicate_30	-29392.62	58801.24	72570.11	33248.93	8.0816,0.9917,0.207,0.0644,4.0161,16.7045,0.6237,0.1304
sec_contact_asym_mig_size	Round_4_Replicate_31	-28417.17	56850.34	89901.95	26613.49	3.929,0.2882,0.3024,0.102,5.7488,11.3365,0.7942,0.1213
sec_contact_asym_mig_size	Round_4_Replicate_32	-33065.72	66147.44	85974.69	27951.66	3.9586,0.3017,0.3509,0.1102,2.361,9.5705,0.7059,0.1775
sec_contact_asym_mig_size	Round_4_Replicate_33	-24522.66	49061.32	69711.58	31706.58	5.6465,0.8171,0.2654,0.1206,9.1112,7.3528,1.1331,0.2333
sec_contact_asym_mig_size	Round_4_Replicate_34	-30431.01	60878.02	84171.97	25604.67	8.7257,0.3911,0.4157,0.0992,2.996,10.2123,0.8113,0.2148
sec_contact_asym_mig_size	Round_4_Replicate_35	-40252.63	80521.26	96386.48	33008.95	7.9726,0.7267,0.1966,0.1179,2.6102,9.9788,0.352,0.104
sec_contact_asym_mig_size	Round_4_Replicate_36	-32963.68	65943.36	86585.63	26435.49	4.5575,0.5694,0.4384,0.187,2.8432,5.5599,0.7666,0.3045
sec_contact_asym_mig_size	Round_4_Replicate_37	-29629.59	59275.18	90706.41	38642.93	4.2162,1.0739,0.2517,0.0826,3.585,17.3454,0.7152,0.2548
sec_contact_asym_mig_size	Round_4_Replicate_38	-29078.38	58172.76	93381.68	35024.83	3.6941,0.9044,0.3727,0.131,7.3628,7.3045,0.3673,0.2557
sec_contact_asym_mig_size	Round_4_Replicate_39	-32454.67	64925.34	85854.22	27089.73	8.2375,1.1425,0.3019,0.0747,1.8486,14.6696,0.8029,0.1537
sec_contact_asym_mig_size	Round_4_Replicate_40	-43362.81	86741.62	136566.71	24985.94	5.4577,0.6631,0.1851,0.1562,3.215,12.8474,0.8484,0.0933
