Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, T1, T2)
bottle_schange	Round_4_Replicate_28	-261828.89	523673.78	500539.68	433072.25	0.3028,2.1953,0.3345,0.4482,0.8845,0.0267,0.075,0.0297
bottle_schange	Round_4_Replicate_29	-290141.05	580298.1	589780.68	456829.55	0.2444,1.9364,0.6491,0.1827,2.5326,0.0102,0.114,0.0103
bottle_schange	Round_4_Replicate_30	-305031.77	610079.54	581673.02	397896.05	0.4081,2.716,0.5886,0.226,2.378,0.0225,0.1292,0.0184
bottle_schange	Round_4_Replicate_31	-337909.07	675834.14	673784.96	384699.56	0.6031,1.5876,0.9725,0.1514,1.0508,0.0158,0.1121,0.0147
bottle_schange	Round_4_Replicate_32	-275443.11	550902.22	536414.5	408565.11	0.4291,3.3439,0.718,0.1644,0.8303,0.014,0.1286,0.0135
bottle_schange	Round_4_Replicate_33	-356909.66	713835.32	730148.22	368841.66	0.8781,0.9882,0.2442,0.4819,1.3553,0.0207,0.1377,0.0245
bottle_schange	Round_4_Replicate_34	-313133.3	626282.6	611004.14	381891.18	0.5119,3.1125,0.8868,0.3337,1.2072,0.0152,0.156,0.0162
bottle_schange	Round_4_Replicate_35	-347340.17	694696.34	805336.58	395746.28	0.5712,2.4896,0.5321,0.2519,0.758,0.01,0.0773,0.0111
bottle_schange	Round_4_Replicate_36	-280788.46	561592.92	557779.31	418355.24	0.397,2.8767,0.3954,0.1238,1.3541,0.0205,0.1217,0.0176
bottle_schange	Round_4_Replicate_37	-333832.38	667680.76	686533.89	392106.43	0.4289,2.7479,0.5305,0.1682,2.5411,0.019,0.1792,0.0152
bottle_schange	Round_4_Replicate_38	-241593.41	483202.82	470030.02	435368.62	0.3573,1.0419,0.2727,0.2244,0.9426,0.0103,0.0926,0.0106
bottle_schange	Round_4_Replicate_39	-366722.25	733460.5	738447.08	349385.86	0.8521,2.5713,0.5036,0.1447,1.161,0.0297,0.1732,0.0219
bottle_schange	Round_4_Replicate_40	-276566.52	553149.04	529677.98	411130.17	0.3914,3.2855,0.773,0.2212,1.0376,0.0164,0.1055,0.0154
bottle_schange	Round_4_Replicate_41	-278975.47	557966.94	544846.88	412765.92	0.4266,2.2025,0.3424,0.4759,1.6464,0.0121,0.1138,0.0171
bottle_schange	Round_4_Replicate_42	-308091.4	616198.8	608722.88	382572.28	0.5889,2.978,0.3705,0.3502,1.2942,0.0167,0.1444,0.0196
bottle_schange	Round_4_Replicate_43	-318535.74	637087.48	627710.24	375802.39	0.5887,1.5974,0.4822,0.2432,2.2952,0.0109,0.1624,0.0107
bottle_schange	Round_4_Replicate_44	-379621.74	759259.48	804457.99	343768.33	0.7874,1.8593,0.4349,0.4445,1.955,0.0121,0.2317,0.0154
bottle_schange	Round_4_Replicate_45	-282801.69	565619.38	542432.72	422230.32	0.3211,2.4979,0.9365,0.4706,0.9667,0.017,0.1098,0.0195
bottle_schange	Round_4_Replicate_46	-351772.16	703560.32	713695.88	375098.64	0.7714,1.5124,0.4694,0.3448,0.8387,0.0122,0.1256,0.0164
bottle_schange	Round_4_Replicate_47	-314683.08	629382.16	605940.01	388372.65	0.479,1.1202,0.8784,0.3307,1.5259,0.0217,0.1245,0.0174
bottle_schange	Round_4_Replicate_48	-413033.08	826082.16	869509.6	356954.56	0.9288,2.2418,0.4753,0.135,1.619,0.0102,0.1237,0.0107
bottle_schange	Round_4_Replicate_49	-240410.93	480837.86	457060.24	448412.38	0.2717,1.9172,1.0739,0.1585,0.8826,0.0113,0.0849,0.0109
bottle_schange	Round_4_Replicate_50	-400462.32	800940.64	885971.81	384266.27	0.4115,1.3907,0.8563,0.1377,0.9775,0.034,0.2168,0.0148
bottle_schange	Round_4_Replicate_51	-375095.73	750207.46	789289.54	348712.06	0.6125,2.0903,0.6428,0.4915,0.9091,0.0242,0.2389,0.0199
bottle_schange	Round_4_Replicate_52	-292594.45	585204.9	571447.46	390881.13	0.5108,3.0967,0.2797,0.2136,2.3432,0.0131,0.1464,0.0131
bottle_schange	Round_4_Replicate_53	-355660.5	711337.0	738529.65	360005.57	0.9197,2.1224,0.3007,0.1939,0.8808,0.0176,0.1413,0.0159
bottle_schange	Round_4_Replicate_54	-374019.06	748054.12	747250.49	347070.95	0.7357,1.4619,0.7247,0.1605,2.409,0.0231,0.193,0.0153
bottle_schange	Round_4_Replicate_55	-294700.29	589416.58	576409.54	402999.84	0.4157,3.2941,1.0662,0.172,1.0876,0.0161,0.1424,0.0145
bottle_schange	Round_4_Replicate_56	-415185.94	830387.88	848918.64	329768.67	0.839,1.0208,1.083,0.1432,1.6767,0.039,0.2198,0.0167
bottle_schange	Round_4_Replicate_57	-313637.12	627290.24	626331.4	367459.86	0.6917,2.9973,0.2905,0.2254,1.0377,0.0195,0.1687,0.0171
bottle_schange	Round_4_Replicate_58	-285083.26	570182.52	547431.01	406978.26	0.4146,1.5224,0.4954,0.2932,2.1135,0.0148,0.1179,0.0146
bottle_schange	Round_4_Replicate_59	-358077.0	716170.0	717858.49	352275.28	0.7722,1.6912,0.6919,0.254,0.9841,0.022,0.1776,0.0189
bottle_schange	Round_4_Replicate_60	-349576.41	699168.82	687370.94	364637.58	0.5217,2.8489,0.99,0.2147,2.2486,0.018,0.1942,0.0132
bottle_schange	Round_4_Replicate_61	-427903.41	855822.82	885523.18	367754.06	0.7402,0.9886,0.5904,0.3787,2.3409,0.0244,0.0859,0.0279
bottle_schange	Round_4_Replicate_62	-276944.23	553904.46	528807.73	408829.31	0.3955,2.5238,0.4118,0.2052,1.6429,0.0158,0.1165,0.0131
bottle_schange	Round_4_Replicate_63	-322632.5	645281.0	645131.59	394350.03	0.4109,3.8305,0.7138,0.2025,1.9682,0.013,0.1737,0.0116
bottle_schange	Round_4_Replicate_64	-350012.84	700041.68	723909.85	357525.62	0.7356,2.3843,0.6794,0.4983,0.8086,0.0188,0.1927,0.0241
bottle_schange	Round_4_Replicate_65	-325937.65	651891.3	668928.13	388867.65	0.4646,1.9888,0.6561,0.2352,2.1416,0.0136,0.1808,0.013
bottle_schange	Round_4_Replicate_66	-276610.77	553237.54	533071.28	413832.14	0.3991,0.9155,0.8356,0.242,2.0052,0.0113,0.1027,0.0101
bottle_schange	Round_4_Replicate_67	-380801.77	761619.54	852304.19	357885.49	0.6202,2.937,0.5738,0.326,1.5626,0.015,0.2467,0.0181
bottle_schange	Round_4_Replicate_68	-363263.27	726542.54	734991.38	350367.53	0.8572,1.1184,0.4367,0.208,0.9751,0.028,0.1748,0.0186
bottle_schange	Round_4_Replicate_69	-242946.87	485909.74	461648.21	445763.88	0.2755,0.9844,0.743,0.2541,1.5858,0.0105,0.0777,0.0108
bottle_schange	Round_4_Replicate_70	-312067.36	624150.72	653140.72	395851.03	0.5021,1.484,0.4956,0.4302,0.9188,0.0148,0.1636,0.0183
bottle_schange	Round_4_Replicate_71	-368669.3	737354.6	741305.82	352808.8	0.8132,1.5544,0.6542,0.4598,1.16,0.0123,0.1733,0.0155
bottle_schange	Round_4_Replicate_72	-296289.38	592594.76	560566.42	405348.93	0.3754,1.2471,0.4403,0.2003,1.9014,0.0294,0.1192,0.0168
