Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, m12, m21, T1, T2, T3)
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_62	-142461.32	284944.64	291003.69	77315.74	0.8639,6.5608,1.9813,4.8944,0.1607,0.1096,2.7592,0.4235,2.8956,1.6545,0.1448
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_63	-140515.49	281052.98	256014.25	92999.54	0.6935,8.7521,2.1318,3.3328,0.0949,0.1238,5.9617,0.447,2.2592,1.9242,0.1036
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_64	-133678.12	267378.24	273157.3	114509.52	0.9232,7.4496,1.8383,1.9046,0.2203,0.1423,3.8956,0.3162,1.9136,1.6798,0.1374
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_65	-125709.03	251440.06	241394.81	71549.4	0.4515,3.7714,4.7459,4.8215,0.1276,0.1433,4.6636,0.284,3.7725,4.4253,0.1705
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_66	-170018.0	340058.0	327373.19	60593.71	1.0989,3.3507,5.3846,5.2138,0.138,0.2466,4.0846,1.0376,4.8258,1.9338,0.1633
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_67	-125228.09	250478.18	230944.61	73485.99	0.4337,10.4199,1.9346,3.5751,0.1341,0.1205,2.4069,0.438,2.704,3.7797,0.1087
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_68	-174823.46	349668.92	366735.76	121693.28	0.4344,7.541,2.9373,1.6392,0.1386,0.2651,3.0983,0.3883,2.0998,2.7386,0.1827
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_69	-161051.09	322124.18	357985.56	89018.72	0.5278,8.2478,4.0004,1.7561,0.1911,0.095,3.3943,0.5538,4.4999,3.1902,0.1016
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_70	-115380.15	230782.3	218853.78	88262.49	0.5224,3.2475,1.6428,3.0293,0.1247,0.0924,3.7806,0.4925,4.6912,1.7125,0.1028
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_71	-119741.0	239504.0	228753.3	149178.41	1.148,3.0481,1.9328,1.824,0.0971,0.0949,8.156,0.3394,1.6672,4.0347,0.0934
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_72	-146160.79	292343.58	276952.69	100293.54	0.7093,4.2806,4.0164,2.0974,0.1229,0.2395,2.9707,0.5639,1.7554,2.7234,0.1392
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_73	-122243.08	244508.16	245725.97	90347.68	0.4291,6.3809,2.6598,1.7774,0.1618,0.1361,2.6758,0.62,5.4759,4.4439,0.1124
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_74	-121148.3	242318.6	223684.24	71804.79	0.5083,8.6869,1.7896,4.1929,0.1006,0.0867,7.6681,0.4564,4.2652,3.7039,0.0902
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_75	-192649.6	385321.2	427637.9	101050.29	1.1594,3.9171,1.5955,3.7246,0.1101,0.0896,4.4306,0.8588,1.831,2.7297,0.153
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_76	-122792.82	245607.64	234182.22	104663.26	0.9754,4.501,3.6675,2.2608,0.0696,0.1025,3.6144,0.3929,1.9185,4.8727,0.0818
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_77	-113664.55	227351.1	229930.92	95495.24	0.7988,9.226,2.7606,2.976,0.1218,0.0852,4.4357,0.7222,1.9294,1.8038,0.1127
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_78	-181868.94	363759.88	328789.06	73198.29	0.6467,4.2209,5.4487,4.8204,0.1327,0.2875,7.3874,0.8572,3.9494,1.5641,0.1964
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_79	-141935.8	283893.6	268860.86	101990.6	0.4398,5.1436,1.5957,1.8556,0.2211,0.2241,2.4469,0.3825,2.329,1.9826,0.122
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_80	-182443.58	364909.16	332291.28	83994.85	0.595,8.2411,1.5986,4.1172,0.0877,0.1207,3.3784,0.6498,2.1867,1.639,0.093
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_81	-231371.17	462764.34	487198.24	61664.65	0.8528,9.4041,2.8719,5.4824,0.1174,0.2804,7.9646,0.4421,2.1131,4.717,0.1219
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_82	-119706.88	239435.76	228445.38	126724.24	1.0029,12.2818,1.8852,1.8023,0.1233,0.1156,6.0914,0.4927,1.9678,2.5156,0.1008
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_83	-133963.2	267948.4	242705.24	71047.78	0.5143,8.5204,2.2776,3.7327,0.2478,0.2578,8.6151,0.5511,4.9258,4.6029,0.2042
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_84	-136678.39	273378.78	271006.33	86224.47	1.3309,5.0966,2.8411,1.6323,0.1794,0.2526,2.4098,0.3327,5.2339,1.887,0.1341
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_85	-123359.52	246741.04	248296.42	82366.9	1.2343,6.7337,2.4408,3.4342,0.1011,0.0858,3.1753,0.4854,2.4507,1.772,0.0809
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_86	-130918.31	261858.62	238238.11	84679.47	0.4589,10.9612,3.7673,2.57,0.1057,0.1791,5.0193,0.6559,3.7683,3.1716,0.125
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_87	-112552.54	225127.08	222931.02	118995.46	0.3394,11.5382,1.6989,1.9246,0.1397,0.0797,7.2649,0.4996,2.7424,2.5458,0.0962
