Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1f, nu2f, m12, m21, T1, T2)
sec_contact_schange	Round_3_Replicate_14	-120959.95	241935.9	239462.07	73250.07	0.8003,8.7299,0.2716,0.1585,3.1531,0.917,4.7747,0.3156
sec_contact_schange	Round_3_Replicate_15	-423266.04	846548.08	1447602.72	40757.11	1.6344,19.3375,1.1666,0.081,3.8055,0.4283,5.666,0.2747
sec_contact_schange	Round_3_Replicate_16	-277058.86	554133.72	597923.86	82557.63	0.5602,4.5777,0.4354,0.1797,1.2933,0.1556,4.8251,0.2996
sec_contact_schange	Round_3_Replicate_17	-176737.14	353490.28	346577.55	170873.48	0.8142,4.7495,0.1427,0.2075,4.9084,1.7779,1.5652,0.4839
sec_contact_schange	Round_3_Replicate_18	-706571.9	1413159.8	2499712.46	106616.43	0.1943,6.3398,0.9023,0.4541,0.555,0.7118,1.7638,0.2425
sec_contact_schange	Round_3_Replicate_19	-378680.48	757376.96	1834635.82	55923.83	0.4824,2.6744,0.7311,0.3167,3.0432,0.7833,11.9382,0.4456
sec_contact_schange	Round_3_Replicate_20	-149531.73	299079.46	357521.2	27559.8	0.444,27.1629,0.2123,0.1074,5.3026,0.1778,18.3764,0.3823
sec_contact_schange	Round_3_Replicate_21	-351988.51	703993.02	765585.74	114403.33	0.5744,4.314,0.3533,0.5429,2.2599,1.374,1.569,0.2457
sec_contact_schange	Round_3_Replicate_22	-447613.83	895243.66	2674459.25	69000.49	0.1834,4.054,0.56,0.0888,6.2966,1.6376,8.4952,0.2785
sec_contact_schange	Round_3_Replicate_23	-830197.95	1660411.9	4500723.45	29887.08	0.9687,18.1893,0.4506,0.0624,0.592,0.8916,15.5188,0.1236
sec_contact_schange	Round_3_Replicate_24	-138635.38	277286.76	261462.22	164047.65	1.7608,3.2325,0.129,0.146,3.3759,0.3478,1.7086,0.3288
sec_contact_schange	Round_3_Replicate_25	-373506.65	747029.3	1535471.69	90081.77	1.6803,5.0598,0.3112,0.0845,0.9214,0.3286,2.8333,0.1363
sec_contact_schange	Round_3_Replicate_26	-1087067.24	2174150.48	4108940.06	45457.65	0.1839,7.8767,0.1255,0.1185,0.7053,0.2309,12.0564,0.1624
sec_contact_schange	Round_3_Replicate_27	-763182.87	1526381.74	7061120.69	97009.79	0.3892,5.2024,1.1417,0.0818,1.0449,0.1562,2.9684,0.1196
sec_contact_schange	Round_3_Replicate_28	-139392.02	278800.04	263331.75	36460.53	0.6031,16.6112,0.2023,0.1539,2.9383,0.1991,13.7027,0.3987
sec_contact_schange	Round_3_Replicate_29	-234444.03	468904.06	549923.29	57497.18	0.6225,6.9693,0.1412,0.2261,5.9994,1.6284,8.5655,0.2889
sec_contact_schange	Round_3_Replicate_30	-236239.31	472494.62	511444.47	48329.88	0.7186,10.8498,0.7242,0.3164,0.8356,0.3358,7.7898,0.4461
sec_contact_schange	Round_3_Replicate_31	-448223.52	896463.04	1050954.57	41261.2	0.227,12.5906,0.1579,0.049,2.14,0.1317,12.6757,0.1461
sec_contact_schange	Round_3_Replicate_32	-596610.74	1193237.48	1587951.42	126566.18	0.2315,2.6325,0.1602,0.1174,1.3793,0.1435,3.2699,0.1481
sec_contact_schange	Round_3_Replicate_33	-657199.07	1314414.14	1552523.76	36988.26	0.3418,3.5766,0.1388,0.1511,2.4206,0.4852,20.6845,0.155
sec_contact_schange	Round_3_Replicate_34	-371626.92	743269.84	1303898.71	57174.86	1.6884,15.8938,1.1594,0.0789,1.9562,2.0556,5.7341,0.4885
sec_contact_schange	Round_3_Replicate_35	-603241.16	1206498.32	9644674.18	22190.87	1.6599,17.0164,1.1978,0.1668,5.3022,0.5709,19.0561,0.4211
sec_contact_schange	Round_3_Replicate_36	-359787.22	719590.44	908847.96	40992.04	0.3268,6.4231,0.2622,0.4406,3.039,1.6449,13.9878,0.3119
sec_contact_schange	Round_3_Replicate_37	-212108.09	424232.18	555065.64	124102.86	0.4698,2.8589,0.1777,0.2268,5.9815,1.2667,2.9158,0.2517
sec_contact_schange	Round_3_Replicate_38	-518949.18	1037914.36	2149659.87	64610.36	0.7425,2.1414,0.5162,0.0997,5.1958,0.7259,9.3872,0.1547
sec_contact_schange	Round_3_Replicate_39	-227209.93	454435.86	818656.01	72004.87	1.6997,15.2444,0.2693,0.1756,4.2503,0.5408,2.6886,0.25
sec_contact_schange	Round_3_Replicate_40	-598648.22	1197312.44	1608293.68	69523.42	0.4937,16.5751,0.1535,0.4608,0.9093,0.1347,4.5325,0.6588
sec_contact_schange	Round_3_Replicate_41	-102578.37	205172.74	197715.46	123166.15	2.3407,22.35,0.1032,0.0821,6.2064,1.9228,2.1739,0.3223
sec_contact_schange	Round_3_Replicate_42	-269410.51	538837.02	724455.12	120525.4	1.5559,26.5632,0.276,0.0899,0.6594,0.599,1.9621,0.3498
sec_contact_schange	Round_3_Replicate_43	-197870.55	395757.1	375381.03	223238.77	0.3625,2.1435,0.1128,0.1767,3.8029,0.5431,1.7328,0.4603
sec_contact_schange	Round_3_Replicate_44	-553497.34	1107010.68	6017170.01	55038.53	2.6683,2.2033,0.9013,0.1581,5.3586,1.4474,6.9041,0.1085
sec_contact_schange	Round_3_Replicate_45	-543981.82	1087979.64	24976110.92	51868.82	0.5004,27.8703,0.4397,0.5699,6.641,1.0591,5.6243,1.0157
sec_contact_schange	Round_3_Replicate_46	-418229.53	836475.06	1293499.93	70710.32	1.3269,11.3136,0.2312,0.0427,0.7653,1.1066,5.8038,0.1502
