Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
anc_asym_mig_size	Round_3_Replicate_19	-51959.31	103934.62	242989.79	15119.89	10.5833,1.7474,0.5344,1.3778,10.8111,0.1431,5.1895,0.0856
anc_asym_mig_size	Round_3_Replicate_20	-41290.63	82597.26	142522.37	5255.38	5.4653,7.3468,0.7467,0.8596,23.9356,0.5256,10.8336,0.118
anc_asym_mig_size	Round_3_Replicate_21	-74544.34	149104.68	1495265.8	10156.3	2.2355,1.8681,3.4194,4.1317,5.2134,0.1758,10.041,0.1037
anc_asym_mig_size	Round_3_Replicate_22	-57103.5	114223.0	199220.27	7468.57	2.0679,4.1707,3.1199,0.5363,12.9784,1.8322,4.0089,0.1554
anc_asym_mig_size	Round_3_Replicate_23	-109130.84	218277.68	303920.44	15500.11	2.9865,1.5122,0.568,2.1763,7.1124,1.3981,1.275,0.32
anc_asym_mig_size	Round_3_Replicate_24	-103537.48	207090.96	307271.52	13162.5	4.3191,7.0661,0.7667,1.8026,4.5195,0.3679,0.7069,0.2479
anc_asym_mig_size	Round_3_Replicate_25	-70090.29	140196.58	216161.08	14958.09	14.887,2.8958,0.5436,1.3137,10.2422,0.4324,1.0207,0.1205
anc_asym_mig_size	Round_3_Replicate_26	-79870.29	159756.58	201359.73	17986.1	1.6466,1.619,0.3468,0.4703,5.6401,0.6315,4.5433,0.1606
anc_asym_mig_size	Round_3_Replicate_27	-101234.91	202485.82	357467.11	12322.9	3.0409,3.0001,1.5119,0.8089,3.43,0.4374,1.2382,0.3512
anc_asym_mig_size	Round_3_Replicate_28	-94865.23	189746.46	286590.31	13451.71	6.2414,2.409,1.0783,1.1463,29.3929,0.1779,2.3179,0.4725
anc_asym_mig_size	Round_3_Replicate_29	-130987.29	261990.58	6112200.19	9523.01	18.736,2.0491,3.2047,5.9004,2.823,0.4284,0.8573,0.0796
anc_asym_mig_size	Round_3_Replicate_30	-64679.46	129374.92	161265.56	13745.84	7.3149,1.9839,1.0107,1.1954,11.2048,0.1542,3.077,0.2542
anc_asym_mig_size	Round_4_Replicate_1	-35132.11	70280.22	110167.36	5921.05	3.5351,5.5553,0.6781,0.5796,17.9283,0.4486,19.2134,0.0973
anc_asym_mig_size	Round_4_Replicate_2	-40633.47	81282.94	127678.24	6393.7	4.1756,5.3264,0.5359,0.7913,21.791,0.3539,15.3187,0.0952
anc_asym_mig_size	Round_4_Replicate_3	-34586.1	69188.2	99641.71	4822.4	3.4864,7.358,1.3658,0.5831,24.1381,0.2996,15.5075,0.1493
anc_asym_mig_size	Round_4_Replicate_4	-53123.93	106263.86	106606.4	7786.48	4.0036,4.6555,0.4831,0.8907,28.5931,0.6902,11.9853,0.1558
anc_asym_mig_size	Round_4_Replicate_5	-43809.8	87635.6	209308.04	4357.78	3.4779,7.1757,0.5477,1.1214,22.2695,0.9914,25.2421,0.0863
anc_asym_mig_size	Round_4_Replicate_6	-35065.18	70146.36	127449.21	5474.1	8.3612,5.9646,0.556,0.5428,28.1112,0.7519,23.4882,0.0793
anc_asym_mig_size	Round_4_Replicate_7	-45015.8	90047.6	225701.61	5283.84	7.3179,6.325,0.4454,0.94,18.4739,0.6533,14.2949,0.0701
anc_asym_mig_size	Round_4_Replicate_8	-39724.63	79465.26	93886.85	6936.31	4.5925,5.127,0.4189,0.5019,22.8124,0.8906,12.0127,0.0868
anc_asym_mig_size	Round_4_Replicate_9	-60392.8	120801.6	123152.24	8696.23	4.4921,4.5531,0.4632,0.7893,22.0818,0.4799,8.844,0.1786
anc_asym_mig_size	Round_4_Replicate_10	-39253.86	78523.72	123506.83	5036.13	8.9724,6.388,0.7459,0.9366,16.5716,0.882,17.0147,0.1268
anc_asym_mig_size	Round_4_Replicate_11	-37104.91	74225.82	127623.21	6400.01	2.9633,5.2144,1.0826,0.4344,17.207,1.0508,8.7542,0.0987
anc_asym_mig_size	Round_4_Replicate_12	-41772.2	83560.4	139630.39	8563.31	7.8697,4.1421,0.7262,0.7576,20.2299,0.2869,6.7614,0.1125
anc_asym_mig_size	Round_4_Replicate_13	-39379.13	78774.26	119057.92	6371.88	3.5626,5.4166,1.0345,0.9316,27.0911,0.4427,11.2769,0.1594
anc_asym_mig_size	Round_4_Replicate_14	-37767.22	75550.44	172583.96	3753.58	4.8595,8.4005,1.4813,1.2859,17.0079,0.5972,23.7003,0.1762
