Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, T)
no_mig	Round_2_Replicate_16	-54775.76	109557.52	210078.52	24061.16	1.5674,0.4151,0.0969
no_mig	Round_2_Replicate_17	-44306.37	88618.74	150772.48	27263.04	1.0616,0.2022,0.055
no_mig	Round_2_Replicate_18	-54340.87	108687.74	265885.49	24925.07	0.9486,0.6586,0.0991
no_mig	Round_2_Replicate_19	-95326.58	190659.16	298721.47	22501.47	0.8774,0.702,0.3244
no_mig	Round_2_Replicate_20	-49737.03	99480.06	264651.46	26162.73	3.9898,0.1465,0.035
no_mig	Round_3_Replicate_1	-40592.25	81190.5	132148.76	29092.49	0.591,0.2334,0.0555
no_mig	Round_3_Replicate_2	-48551.08	97108.16	170986.63	26036.28	1.0253,0.3562,0.0827
no_mig	Round_3_Replicate_3	-33943.88	67893.76	92077.66	33258.97	0.2417,0.1175,0.0302
no_mig	Round_3_Replicate_4	-33897.92	67801.84	110308.09	32395.72	0.2696,0.1275,0.0287
no_mig	Round_3_Replicate_5	-36812.29	73630.58	120352.86	30005.78	0.5721,0.1025,0.0294
no_mig	Round_3_Replicate_6	-44859.37	89724.74	140494.33	29077.99	0.4612,0.404,0.0699
no_mig	Round_3_Replicate_7	-29763.88	59533.76	98239.92	33866.1	0.1384,0.0489,0.0121
no_mig	Round_3_Replicate_8	-29444.63	58895.26	95888.27	33849.73	0.1305,0.0408,0.0106
no_mig	Round_3_Replicate_9	-42329.65	84665.3	176518.89	28241.11	0.6976,0.2615,0.0541
no_mig	Round_3_Replicate_10	-37333.05	74672.1	100438.47	32230.6	0.2993,0.1857,0.0431
no_mig	Round_3_Replicate_11	-44132.12	88270.24	177090.92	27371.36	0.92,0.2485,0.0569
no_mig	Round_3_Replicate_12	-36256.6	72519.2	120082.45	30291.93	0.5109,0.1146,0.0313
no_mig	Round_3_Replicate_13	-35254.31	70514.62	103123.11	32424.88	0.2802,0.1521,0.0349
no_mig	Round_3_Replicate_14	-35352.08	70710.16	93994.98	32515.7	0.3022,0.1342,0.0367
no_mig	Round_3_Replicate_15	-39598.71	79203.42	134090.08	28881.9	0.8261,0.1143,0.0329
no_mig	Round_3_Replicate_16	-34452.29	68910.58	91728.79	32819.46	0.2815,0.1166,0.0327
no_mig	Round_3_Replicate_17	-38378.81	76763.62	150548.5	29341.36	0.8214,0.0623,0.0173
no_mig	Round_3_Replicate_18	-45545.71	91097.42	233237.41	27037.46	1.2389,0.2033,0.0447
no_mig	Round_3_Replicate_19	-54923.29	109852.58	226752.73	24058.36	1.7214,0.3921,0.0902
no_mig	Round_3_Replicate_20	-46685.63	93377.26	136878.96	26790.81	1.3422,0.1726,0.0562
no_mig	Round_3_Replicate_21	-40694.51	81395.02	124284.78	30323.77	0.4048,0.2803,0.0557
no_mig	Round_3_Replicate_22	-36487.24	72980.48	133821.95	29973.94	0.5775,0.0812,0.0223
no_mig	Round_3_Replicate_23	-33568.33	67142.66	122209.93	31308.39	0.3539,0.0803,0.0207
no_mig	Round_3_Replicate_24	-30890.59	61787.18	96935.07	33180.43	0.1999,0.0619,0.0165
no_mig	Round_3_Replicate_25	-40524.96	81055.92	154345.07	32097.66	0.2215,0.2572,0.0337
no_mig	Round_3_Replicate_26	-38895.92	77797.84	139451.78	29098.95	0.8069,0.0957,0.027
no_mig	Round_3_Replicate_27	-32536.65	65079.3	108498.76	33437.73	0.1873,0.1009,0.0213
no_mig	Round_3_Replicate_28	-43292.33	86590.66	197998.54	27642.73	1.0819,0.1725,0.0404
no_mig	Round_3_Replicate_29	-42879.81	85765.62	175933.59	28060.85	0.7151,0.2753,0.0569
no_mig	Round_3_Replicate_30	-45075.89	90157.78	179034.96	27017.85	1.0232,0.2484,0.0584
no_mig	Round_4_Replicate_1	-30438.01	60882.02	92662.65	33388.05	0.1797,0.0504,0.0142
no_mig	Round_4_Replicate_2	-29125.0	58256.0	87222.82	34604.22	0.1072,0.0384,0.0102
no_mig	Round_4_Replicate_3	-29817.36	59640.72	86884.71	34315.15	0.1363,0.0481,0.0131
no_mig	Round_4_Replicate_4	-29259.19	58524.38	81607.53	34969.77	0.1036,0.0373,0.0105
no_mig	Round_4_Replicate_5	-29182.42	58370.84	87985.73	34655.18	0.1063,0.04,0.0104
no_mig	Round_4_Replicate_6	-29421.01	58848.02	95847.7	34170.55	0.1202,0.044,0.0109
no_mig	Round_4_Replicate_7	-29179.16	58364.32	93551.42	34214.08	0.1141,0.0391,0.01
no_mig	Round_4_Replicate_8	-29655.4	59316.8	95058.69	33977.36	0.1352,0.047,0.012
no_mig	Round_4_Replicate_9	-29696.18	59398.36	100602.77	33573.67	0.1419,0.0432,0.011
no_mig	Round_4_Replicate_10	-29094.87	58195.74	87715.13	34573.28	0.1068,0.0379,0.01
no_mig	Round_4_Replicate_11	-29225.34	58456.68	88326.95	34535.84	0.1112,0.0404,0.0106
no_mig	Round_4_Replicate_12	-29340.66	58687.32	92913.73	34220.1	0.1199,0.0422,0.0108
no_mig	Round_4_Replicate_13	-29458.81	58923.62	87529.3	34355.95	0.1243,0.0425,0.0115
no_mig	Round_4_Replicate_14	-29521.96	59049.92	83819.59	34799.44	0.1144,0.0433,0.0118
no_mig	Round_4_Replicate_15	-29359.99	58725.98	87376.44	34819.25	0.1051,0.0429,0.0109
no_mig	Round_4_Replicate_16	-29155.6	58317.2	85839.49	34618.23	0.1087,0.0379,0.0103
no_mig	Round_4_Replicate_17	-30763.21	61532.42	91209.92	33471.66	0.1892,0.0583,0.0163
no_mig	Round_4_Replicate_18	-29244.98	58495.96	81030.54	34914.21	0.1043,0.0355,0.0102
no_mig	Round_4_Replicate_19	-29279.81	58565.62	83917.26	34683.54	0.1114,0.0385,0.0107
no_mig	Round_4_Replicate_20	-30352.76	60711.52	90652.66	33897.99	0.1622,0.0574,0.0153
no_mig	Round_4_Replicate_21	-29485.91	58977.82	99104.05	34126.03	0.119,0.0449,0.0108
no_mig	Round_4_Replicate_22	-29209.68	58425.36	82553.6	34904.72	0.1038,0.0374,0.0104
no_mig	Round_4_Replicate_23	-29186.19	58378.38	89563.75	34509.5	0.1096,0.0401,0.0104
no_mig	Round_4_Replicate_24	-29537.62	59081.24	96417.17	33824.97	0.1343,0.0428,0.0111
no_mig	Round_4_Replicate_25	-29251.12	58508.24	93778.55	34234.28	0.1156,0.0408,0.0104
no_mig	Round_4_Replicate_26	-30467.82	60941.64	93377.65	33542.56	0.1767,0.0566,0.0153
no_mig	Round_4_Replicate_27	-30362.58	60731.16	88476.34	33621.69	0.1702,0.047,0.0138
no_mig	Round_4_Replicate_28	-29206.8	58419.6	85256.62	34594.34	0.1111,0.038,0.0105
no_mig	Round_4_Replicate_29	-29276.37	58558.74	89059.1	34738.43	0.1039,0.042,0.0106
no_mig	Round_4_Replicate_30	-29291.41	58588.82	89314.64	34610.94	0.109,0.0422,0.0108
no_mig	Round_4_Replicate_31	-29611.7	59229.4	91450.52	33882.51	0.139,0.0421,0.0115
no_mig	Round_4_Replicate_32	-29123.44	58252.88	88621.83	34609.14	0.1055,0.0391,0.0101
no_mig	Round_4_Replicate_33	-29473.34	58952.68	91986.93	34357.93	0.1198,0.0454,0.0115
no_mig	Round_4_Replicate_34	-31532.33	63070.66	108076.0	32159.7	0.223,0.0394,0.0111
no_mig	Round_4_Replicate_35	-29167.23	58340.46	88297.8	34615.26	0.1069,0.0397,0.0103
no_mig	Round_4_Replicate_36	-30044.3	60094.6	79286.84	36117.62	0.0745,0.0401,0.01
no_mig	Round_4_Replicate_37	-29884.21	59774.42	92393.67	34188.9	0.1362,0.0523,0.0132
no_mig	Round_4_Replicate_38	-29245.97	58497.94	85502.98	34569.21	0.1129,0.0387,0.0106
no_mig	Round_4_Replicate_39	-31083.81	62173.62	100854.0	32930.68	0.2121,0.0634,0.0167
no_mig	Round_4_Replicate_40	-29163.37	58332.74	84442.16	35004.12	0.0975,0.0387,0.0102
