Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2)
sec_contact_asym_mig	Round_3_Replicate_29	-33572.63	67157.26	87355.25	27188.57	0.2143,0.4951,10.0418,1.898,1.9125,0.191
sec_contact_asym_mig	Round_3_Replicate_30	-34778.56	69569.12	122152.9	28838.47	0.4383,0.3888,10.0802,4.4879,0.8532,0.0986
sec_contact_asym_mig	Round_4_Replicate_1	-25049.73	50111.46	67369.66	30681.84	0.2779,0.1921,8.8103,3.6912,3.2791,0.3849
sec_contact_asym_mig	Round_4_Replicate_2	-21327.63	42667.26	62656.93	10560.32	0.5111,0.2025,5.8184,4.4815,11.8943,0.4753
sec_contact_asym_mig	Round_4_Replicate_3	-24117.41	48246.82	58074.7	10322.47	0.6758,0.1259,5.0844,7.5221,9.3161,0.2348
sec_contact_asym_mig	Round_4_Replicate_4	-22060.76	44133.52	71541.3	16351.04	0.3812,0.1175,7.3419,9.4743,12.2325,0.589
sec_contact_asym_mig	Round_4_Replicate_5	-23450.32	46912.64	57472.32	19900.2	0.5216,0.1449,5.3735,5.7953,3.6259,0.2772
sec_contact_asym_mig	Round_4_Replicate_6	-29565.17	59142.34	137949.1	18244.07	0.6378,0.291,3.6245,5.5296,3.5453,0.5177
sec_contact_asym_mig	Round_4_Replicate_7	-20494.72	41001.44	55052.33	12223.17	0.3035,0.1698,9.308,4.1117,14.4038,0.3861
sec_contact_asym_mig	Round_4_Replicate_8	-23033.79	46079.58	63539.5	19444.89	0.4673,0.1617,5.3864,6.2002,4.1932,0.3405
sec_contact_asym_mig	Round_4_Replicate_9	-22918.36	45848.72	53308.86	19768.58	0.3815,0.1632,5.5807,5.1785,4.4738,0.3299
sec_contact_asym_mig	Round_4_Replicate_10	-24141.32	48294.64	66716.05	15772.86	0.6101,0.2526,6.0713,3.4868,4.5518,0.2295
sec_contact_asym_mig	Round_4_Replicate_11	-22159.85	44331.7	66202.09	12183.64	0.6166,0.2068,5.0123,4.6553,7.9707,0.4176
sec_contact_asym_mig	Round_4_Replicate_12	-29111.23	58234.46	97093.59	13783.22	0.6109,0.3639,2.7366,4.1417,5.8291,0.5215
sec_contact_asym_mig	Round_4_Replicate_13	-22826.77	45665.54	60890.05	19120.55	0.4751,0.1901,5.7974,4.5981,3.9974,0.3116
