Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, T1, T2, T3)
bottle_schange_thr_epoch	Round_4_Replicate_55	-272037.43	544092.86	546553.04	379796.25	1.5491,8.4478,2.5615,1.7636,0.1553,0.1328,0.0303,0.0649,0.1246
bottle_schange_thr_epoch	Round_4_Replicate_56	-258061.28	516140.56	547483.2	400666.32	2.8454,4.5046,1.5924,2.4021,0.1327,0.084,0.0632,0.0566,0.1116
bottle_schange_thr_epoch	Round_4_Replicate_57	-268372.92	536763.84	565452.54	382509.48	3.7035,8.0065,3.534,3.1657,0.1109,0.0969,0.0775,0.0614,0.1278
bottle_schange_thr_epoch	Round_4_Replicate_58	-236319.77	472657.54	504872.72	401121.69	2.6497,3.5589,1.9107,2.4728,0.1174,0.0574,0.0396,0.086,0.0873
bottle_schange_thr_epoch	Round_4_Replicate_59	-324690.84	649399.68	628081.15	363402.28	3.1492,7.0171,3.2726,0.9668,0.1266,0.2826,0.0541,0.0663,0.1322
bottle_schange_thr_epoch	Round_4_Replicate_60	-385394.77	770807.54	999369.52	412344.85	3.7296,3.8288,2.797,1.087,0.119,0.1315,0.0412,0.0965,0.1683
bottle_schange_thr_epoch	Round_4_Replicate_61	-369336.93	738691.86	927006.51	387531.32	3.4568,4.7887,1.5634,3.1642,0.2238,0.1246,0.0657,0.0271,0.2201
bottle_schange_thr_epoch	Round_4_Replicate_62	-319975.39	639968.78	652953.62	346382.42	2.5538,6.4594,3.7998,1.3617,0.1673,0.2147,0.0655,0.0669,0.1468
bottle_schange_thr_epoch	Round_4_Replicate_63	-242775.27	485568.54	486694.66	403356.46	1.9613,4.7324,1.6729,1.952,0.1395,0.0899,0.0202,0.0674,0.1007
bottle_schange_thr_epoch	Round_4_Replicate_64	-288811.59	577641.18	620530.39	367790.31	1.103,7.6326,2.2151,2.0072,0.2028,0.1071,0.0411,0.0817,0.1299
bottle_schange_thr_epoch	Round_4_Replicate_65	-248000.43	496018.86	537259.41	407851.23	2.6663,9.4338,5.0356,1.7698,0.0633,0.0722,0.0534,0.0997,0.0913
bottle_schange_thr_epoch	Round_4_Replicate_66	-328882.29	657782.58	688900.59	345923.38	3.0661,4.9322,5.5806,1.0887,0.1861,0.2494,0.0462,0.057,0.1757
bottle_schange_thr_epoch	Round_4_Replicate_67	-291969.09	583956.18	593725.16	366979.53	2.456,5.1123,2.7969,3.1634,0.2196,0.147,0.0323,0.0301,0.1741
bottle_schange_thr_epoch	Round_4_Replicate_68	-350302.66	700623.32	690434.22	342385.95	1.2381,8.6168,2.5027,1.3508,0.1434,0.2527,0.0227,0.1435,0.1154
bottle_schange_thr_epoch	Round_4_Replicate_69	-302753.61	605525.22	622216.99	352190.35	3.4069,5.7402,3.2252,2.2426,0.198,0.1583,0.0645,0.0415,0.1555
bottle_schange_thr_epoch	Round_4_Replicate_70	-323756.17	647530.34	643995.04	359123.25	1.8386,3.5528,5.6299,1.5175,0.1186,0.2289,0.0577,0.0723,0.1488
bottle_schange_thr_epoch	Round_4_Replicate_71	-285278.01	570574.02	616542.11	371104.06	1.3784,4.6439,3.7708,1.0339,0.1369,0.1294,0.0343,0.0996,0.1125
bottle_schange_thr_epoch	Round_4_Replicate_72	-282951.07	565920.14	567300.12	373991.17	1.2326,3.479,2.2942,1.8688,0.1689,0.1355,0.0567,0.0474,0.1234
bottle_schange_thr_epoch	Round_4_Replicate_73	-315689.85	631397.7	660339.28	348607.28	1.481,8.6158,1.6584,1.3866,0.1819,0.1402,0.0708,0.1137,0.1029
bottle_schange_thr_epoch	Round_4_Replicate_74	-248958.71	497935.42	496465.44	413359.24	1.0545,3.7518,1.8568,1.0421,0.1039,0.1103,0.0452,0.0543,0.0903
bottle_schange_thr_epoch	Round_4_Replicate_75	-259287.96	518593.92	543888.92	392201.18	2.8524,11.0676,2.0521,1.0763,0.1624,0.1042,0.043,0.049,0.1091
bottle_schange_thr_epoch	Round_4_Replicate_76	-296423.6	592865.2	592726.87	366912.9	2.6447,3.2779,1.7174,2.2558,0.2358,0.1514,0.0433,0.0332,0.1464
bottle_schange_thr_epoch	Round_4_Replicate_77	-289441.13	578900.26	565134.31	391989.76	4.2178,6.2935,3.4969,1.9906,0.1142,0.1646,0.0435,0.0403,0.1456
bottle_schange_thr_epoch	Round_4_Replicate_78	-227180.88	454379.76	484762.71	436988.05	1.7573,3.7756,2.9474,1.4311,0.062,0.0592,0.0444,0.0707,0.0771
bottle_schange_thr_epoch	Round_4_Replicate_79	-263647.19	527312.38	559575.96	396246.76	3.3014,6.7959,2.0467,0.9916,0.1368,0.1165,0.0206,0.0871,0.1054
bottle_schange_thr_epoch	Round_4_Replicate_80	-412156.47	824330.94	831375.92	312392.26	1.4244,5.0836,2.299,3.2393,0.266,0.2746,0.0909,0.0609,0.1895
bottle_schange_thr_epoch	Round_4_Replicate_81	-322874.83	645767.66	639292.92	355191.77	2.1482,5.9936,6.4896,1.1943,0.1371,0.2729,0.0421,0.0623,0.1583
bottle_schange_thr_epoch	Round_4_Replicate_82	-336302.69	672623.38	833180.4	443697.77	2.5731,4.7771,6.2598,0.9833,0.1,0.1132,0.0178,0.0393,0.169
bottle_schange_thr_epoch	Round_4_Replicate_83	-268254.43	536526.86	518635.41	421368.93	1.1636,7.4975,2.3795,2.5961,0.1106,0.1229,0.0182,0.0338,0.1324
bottle_schange_thr_epoch	Round_4_Replicate_84	-327133.92	654285.84	638477.59	357776.13	3.8681,12.1115,6.0821,1.407,0.164,0.2923,0.0287,0.0309,0.1888
bottle_schange_thr_epoch	Round_4_Replicate_85	-260759.41	521536.82	541631.1	405487.36	2.0366,4.5201,1.9841,1.1677,0.1235,0.1207,0.0136,0.0854,0.1095
bottle_schange_thr_epoch	Round_4_Replicate_86	-237164.04	474346.08	479930.87	425439.31	4.2925,4.8187,1.9123,1.1847,0.1186,0.1062,0.0272,0.035,0.1099
bottle_schange_thr_epoch	Round_4_Replicate_87	-322387.77	644793.54	666497.52	357122.74	1.6306,4.7744,2.6675,1.0153,0.18,0.2331,0.0304,0.0923,0.1422
bottle_schange_thr_epoch	Round_4_Replicate_88	-289933.64	579885.28	591414.02	363596.87	1.8431,3.8071,3.5656,2.5123,0.1536,0.1419,0.0362,0.0801,0.1425
bottle_schange_thr_epoch	Round_4_Replicate_89	-303272.44	606562.88	627322.83	364140.27	1.2571,9.5977,3.4465,1.9115,0.2208,0.1754,0.0206,0.0409,0.1818
bottle_schange_thr_epoch	Round_4_Replicate_90	-331843.51	663705.02	692219.68	342433.59	2.989,6.8911,4.1227,2.4527,0.2181,0.2125,0.0252,0.0669,0.2057
bottle_schange_thr_epoch	Round_4_Replicate_91	-307229.8	614477.6	575306.04	395060.05	3.5011,5.5925,1.8738,2.5414,0.1123,0.1506,0.0363,0.032,0.1063
bottle_schange_thr_epoch	Round_4_Replicate_92	-303346.36	606710.72	634816.51	363124.23	1.9251,4.2361,2.0006,2.111,0.2164,0.1484,0.051,0.0573,0.1546
bottle_schange_thr_epoch	Round_4_Replicate_93	-264840.22	529698.44	550371.24	383184.16	1.1615,8.9341,2.8634,1.8176,0.1688,0.1072,0.0278,0.0605,0.1255
bottle_schange_thr_epoch	Round_4_Replicate_94	-255616.08	511250.16	535595.12	379455.76	3.5204,9.097,3.5689,1.0134,0.0927,0.0999,0.0481,0.0993,0.0824
bottle_schange_thr_epoch	Round_4_Replicate_95	-294869.11	589756.22	639135.49	384149.89	1.1587,4.8996,4.6028,1.2286,0.162,0.1665,0.0423,0.0311,0.1688
bottle_schange_thr_epoch	Round_4_Replicate_96	-353967.87	707953.74	690097.57	345946.08	1.4541,3.962,3.5443,1.3471,0.181,0.3083,0.07,0.0324,0.1663
bottle_schange_thr_epoch	Round_4_Replicate_97	-369000.52	738019.04	692065.18	361003.99	1.1293,4.02,2.176,2.8978,0.1487,0.2274,0.0442,0.0598,0.1506
bottle_schange_thr_epoch	Round_4_Replicate_98	-254346.08	508710.16	534573.85	403568.36	3.362,4.7116,4.9506,1.3221,0.1332,0.1207,0.0273,0.0283,0.14
bottle_schange_thr_epoch	Round_4_Replicate_99	-351538.08	703094.16	690704.38	357874.79	2.3504,9.7787,2.2076,1.7943,0.1668,0.2484,0.0273,0.0602,0.1286
bottle_schange_thr_epoch	Round_4_Replicate_100	-296939.11	593896.22	610549.5	351535.41	2.5922,6.8804,2.1415,3.0017,0.1775,0.1106,0.0899,0.053,0.1137
