Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2, T3)
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_2	-76731.47	153480.94	199795.51	5869.95	1.182,0.7005,4.695,4.1562,3.6116,1.9957,9.4359,0.1569,0.3032
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_3	-75838.78	151695.56	880494.55	3147.06	1.8812,0.4943,1.7171,8.4469,5.0404,0.9464,29.4985,0.5306,0.083
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_4	-85604.21	171226.42	259303.15	4652.75	1.8293,4.0519,0.7304,20.4238,19.4451,0.9639,13.5598,0.4563,0.1677
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_5	-241421.34	482860.68	1077573.9	2701.99	5.847,2.8678,0.6055,10.7247,10.0549,4.8694,28.0679,0.1343,1.2441
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_6	-89134.98	178287.96	504270.07	5104.88	0.71,0.7068,2.9707,12.7513,11.8173,2.3888,10.6067,0.4099,0.4869
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_7	-45534.35	91086.7	133109.29	4450.25	1.1341,0.3223,2.2627,4.4371,16.6624,3.8132,19.3399,0.0859,0.3717
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_8	-48145.54	96309.08	994376.49	6319.17	0.9078,3.08,5.8622,1.8621,9.507,0.6876,5.4683,0.1826,0.1055
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_9	-94113.15	188244.3	330941.22	3459.06	0.8185,0.9008,1.1702,4.7948,3.8823,0.6658,28.0679,0.2335,0.5448
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_10	-112401.38	224820.76	11394563.21	3557.56	0.6954,0.8065,6.4224,10.7301,3.2694,5.6205,22.5808,0.2821,0.1903
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_11	-40908.81	81835.62	82991.54	3936.67	6.0258,2.7164,2.1775,2.367,2.4897,1.6668,14.9841,0.7702,0.4403
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_12	-50273.73	100565.46	233977.38	4327.98	3.5083,0.6882,7.6671,4.1018,6.3978,4.1786,12.0094,0.1541,0.2401
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_13	-47636.91	95291.82	126075.01	2410.91	0.6591,2.5293,7.2025,6.7768,8.5712,1.7037,28.6017,0.1649,1.2242
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_14	-88972.21	177962.42	403722.89	3075.72	3.2996,2.1787,3.9103,11.1322,7.2471,1.9719,23.1024,0.0947,0.1143
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_15	-71341.47	142700.94	153111.02	6047.16	0.4448,0.3317,0.6586,2.8573,20.1891,2.4189,27.5881,0.8151,0.2393
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_16	-79703.25	159424.5	420612.28	5920.25	0.5325,3.9285,2.7059,18.0768,7.024,2.1017,3.9276,0.1895,0.3135
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_17	-113435.92	226889.84	577539.73	5249.68	4.6195,0.4726,6.8095,21.8521,5.597,2.92,4.2065,0.1116,0.4664
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_18	-76520.37	153058.74	202373.01	4721.71	0.5174,2.9704,0.5769,6.2282,10.1711,4.6395,15.6075,0.1153,0.1826
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_19	-114318.49	228654.98	547681.26	3018.77	5.4256,0.5618,1.5185,2.0808,4.5299,0.9203,28.0679,0.1187,0.1872
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_20	-79938.52	159895.04	268972.14	3645.81	0.9778,2.398,3.9491,9.8534,5.7744,0.5847,14.3077,0.2458,1.0456
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_21	-83712.43	167442.86	2352899.54	5978.04	4.9262,2.6398,1.713,7.6683,9.1266,4.2643,4.1247,0.1497,0.0955
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_22	-115429.46	230876.92	496843.01	3395.71	1.5982,1.3264,0.8946,4.4273,3.9561,0.6504,28.0679,0.1725,0.3602
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_23	-52656.75	105331.5	332768.02	7529.71	1.7647,2.292,1.0051,4.0409,15.8501,7.5915,5.2733,0.0871,0.1129
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_24	-63496.85	127011.7	2852570.66	2988.72	6.3283,0.8975,6.1889,3.983,12.1658,3.5768,21.9333,0.1037,0.1846
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_25	-55810.87	111639.74	244633.77	9119.65	2.9574,1.8405,1.8572,1.7551,10.3099,1.3419,5.3419,0.5096,0.2082
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_26	-106575.44	213168.88	359462.94	9176.94	2.9545,0.3491,0.7699,3.1978,2.2952,1.89,5.047,0.1459,0.2734
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_27	-73244.6	146507.2	382715.51	3376.81	1.3774,0.488,1.9255,8.3214,7.8286,1.1924,27.5441,0.1915,0.4106
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_28	-53006.76	106031.52	165922.79	6619.0	0.4837,0.6402,1.025,6.6707,4.3059,1.6674,10.6284,0.3665,0.1407
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_29	-79285.64	158589.28	328416.54	6556.72	2.9013,2.3996,2.0298,2.0242,4.6498,1.2699,5.2584,0.0996,0.2364
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_30	-63519.1	127056.2	189794.07	4241.21	0.6817,3.0534,5.0732,11.134,16.0667,1.1097,12.3866,0.0719,0.3341
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_1	-34849.92	69717.84	73068.03	2470.11	9.6739,4.8328,3.8489,2.625,3.2741,1.9197,28.394,1.3915,0.6746
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_2	-40360.33	80738.66	93298.69	4053.85	3.3373,1.3964,4.0099,1.4214,3.5885,3.1532,15.3884,0.7674,0.5658
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_3	-41701.41	83420.82	88806.33	3834.02	3.3884,2.4658,2.1071,1.8292,3.7814,1.4238,20.206,0.4802,0.5126
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_4	-66391.49	132800.98	138314.99	5208.91	3.055,1.4546,1.3131,2.2962,1.5591,0.9973,13.3289,0.991,0.4674
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_5	-33319.85	66657.7	97448.06	3969.4	7.2699,3.0388,2.8845,1.6221,3.3502,1.3692,12.2261,0.4005,0.1991
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_6	-26742.77	53503.54	67581.68	3206.11	3.7069,3.2842,2.1391,1.8448,4.8916,2.6509,23.2091,0.3734,0.2427
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_7	-30523.47	61064.94	70986.24	2629.54	9.8373,4.5908,3.4784,2.1637,3.9913,3.3365,21.5565,0.5971,0.4615
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_8	-62973.22	125964.44	144923.51	5295.2	6.355,1.5621,2.1326,2.478,2.3999,1.32,9.2612,1.2095,0.6258
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_9	-39376.19	78770.38	97393.6	3213.2	4.1189,5.6704,1.8486,2.7801,1.8549,1.7199,20.4587,0.9287,0.2589
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_10	-47425.79	94869.58	94793.83	4537.94	3.352,1.8424,1.3648,2.0866,1.3595,1.604,15.241,0.5762,0.2055
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_11	-44283.39	88584.78	87906.59	5461.26	5.0142,1.459,1.3576,1.5534,3.4234,1.6575,16.9753,1.4729,0.3203
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_12	-72252.81	144523.62	184823.51	4545.14	6.3429,5.0647,1.6349,1.5862,1.4672,0.9282,11.4839,0.4896,0.51
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_13	-33970.65	67959.3	87229.34	2844.73	3.3673,2.1477,2.9668,3.1877,4.9487,1.7739,29.275,0.768,0.4618
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_14	-58812.17	117642.34	123218.03	4143.55	9.3727,2.275,2.2414,3.5026,2.6131,2.7747,10.8762,1.4438,0.672
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_15	-52364.59	104747.18	125258.41	4344.47	6.1328,1.5169,2.2925,3.5505,2.6473,0.9697,12.1798,0.4424,0.5126
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_16	-31243.02	62504.04	84304.05	2347.21	7.2358,4.0392,4.1114,3.3262,2.7271,2.5479,26.0181,0.5901,0.4908
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_17	-86802.28	173622.56	216642.48	5440.21	7.1456,2.2341,1.5298,3.3207,3.6174,1.0657,9.6759,0.7249,0.7093
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_18	-46348.46	92714.92	88259.52	3704.45	7.1498,1.6357,1.1378,1.7298,4.489,2.7477,22.6072,0.5775,0.3207
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_19	-75248.02	150514.04	153149.74	3324.57	3.4652,4.1412,1.1704,2.6828,3.3,1.7791,26.6765,0.9503,0.5844
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_20	-59244.98	118507.96	144072.67	4913.26	10.0778,1.7418,2.0472,1.3536,2.4165,2.5295,11.9553,1.1159,0.6034
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_21	-49399.96	98817.92	100022.19	3881.7	5.6918,1.7988,2.0339,3.6394,2.168,1.3071,14.8936,0.4557,0.5006
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_22	-38782.24	77582.48	87959.1	5166.15	2.8942,1.6614,3.0443,1.2492,3.6049,2.317,11.5513,0.7559,0.3928
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_23	-40362.52	80743.04	96388.71	2346.22	11.0527,5.0052,3.361,3.8605,1.6848,2.4896,21.2631,0.5012,0.5393
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_24	-52596.46	105210.92	106816.6	3417.57	3.7075,4.1276,1.1417,3.0396,4.4108,1.2662,27.9091,1.111,0.3005
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_25	-42950.18	85918.36	102778.88	4015.89	3.7419,1.8798,3.2327,1.2473,2.3981,1.4339,18.8424,1.1415,0.486
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_26	-70370.69	140759.38	173935.0	4097.67	3.9408,4.5303,1.8761,1.5357,3.0283,2.6795,17.0171,0.5847,0.8208
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_27	-48961.65	97941.3	98054.24	2714.22	3.3823,4.7394,2.7831,2.7025,1.3845,2.0973,29.4917,1.3234,0.8035
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_28	-43284.66	86587.32	82669.99	3655.04	5.8927,2.3839,1.3601,1.7219,3.2119,1.4915,26.8694,1.0545,0.3428
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_29	-40048.78	80115.56	102103.82	2908.5	4.0429,5.8794,2.6097,2.973,1.4188,1.9766,21.3396,0.604,0.3272
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_30	-39215.14	78448.28	92809.37	3808.54	7.6863,3.727,2.5098,2.389,3.2497,1.1118,16.3504,0.9089,0.3934
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_31	-60835.77	121689.54	131340.02	5831.32	3.2656,3.8719,1.2448,1.4562,3.5639,2.2707,10.548,0.6451,0.4561
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_32	-40293.72	80605.44	80131.81	3614.08	4.2796,4.0767,1.261,2.4069,3.2927,1.3184,19.9218,0.5134,0.2515
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_33	-57561.25	115140.5	142217.97	2967.95	4.9269,2.6267,2.3052,1.4396,2.7292,1.2842,29.5506,0.5152,0.7321
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_34	-91814.66	183647.32	224018.78	4887.98	6.6958,1.5139,1.3119,2.5518,1.6279,0.8432,14.7344,1.1932,0.7316
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_35	-32159.24	64336.48	61956.77	3281.96	3.1025,2.8793,1.8142,1.1958,1.7281,2.308,29.3616,1.1546,0.2727
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_36	-63391.63	126801.26	139433.16	4926.9	6.4402,3.3622,1.2096,1.1759,2.5923,2.928,17.062,1.0368,0.4758
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_37	-26149.58	52317.16	61284.0	2786.47	3.1728,1.9913,3.4363,1.8876,4.7621,3.094,29.9888,0.8155,0.3723
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_38	-28894.34	57806.68	111167.12	2086.68	12.045,4.0248,4.341,3.0351,3.1496,1.9057,28.9637,0.6386,0.3795
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_39	-40728.42	81474.84	98433.09	3279.02	9.5535,2.8666,2.4829,3.53,2.3463,1.214,17.4515,1.0237,0.3926
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_40	-38525.73	77069.46	84979.76	2242.1	9.927,5.5286,3.3713,4.251,2.2354,0.8966,29.6101,1.1348,0.6094
