Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sec_contact_sym_mig_size	Round_4_Replicate_23	-40762.2	81538.4	149315.46	38017.92	1.0464,3.453,0.3647,0.2894,4.9011,0.5145,1.4739
sec_contact_sym_mig_size	Round_4_Replicate_24	-41140.84	82295.68	127054.31	34018.17	0.3144,3.2432,0.4444,0.3081,3.7776,0.3494,1.4463
sec_contact_sym_mig_size	Round_4_Replicate_25	-41232.22	82478.44	121677.37	35206.23	0.4608,5.0674,0.525,0.2361,3.8663,0.311,1.6153
sec_contact_sym_mig_size	Round_4_Replicate_26	-40702.61	81419.22	124994.98	31938.74	0.642,4.8511,0.4802,0.3186,3.5688,0.1751,1.1526
sec_contact_sym_mig_size	Round_4_Replicate_27	-46027.31	92068.62	217179.85	27236.94	0.9553,2.2053,0.9316,0.2235,4.8473,0.2263,0.8804
sec_contact_sym_mig_size	Round_4_Replicate_28	-45741.37	91496.74	165492.2	21977.03	0.572,3.2014,1.0442,0.339,2.8722,0.321,1.7816
sec_contact_sym_mig_size	Round_4_Replicate_29	-38689.87	77393.74	122329.76	37909.19	0.5079,2.7256,0.3783,0.2596,4.6291,0.2802,0.9578
sec_contact_sym_mig_size	Round_4_Replicate_30	-41589.04	83192.08	144066.96	28117.95	0.3361,1.9984,0.6088,0.3441,3.3829,0.2457,1.1078
sec_contact_sym_mig_size	Round_4_Replicate_31	-35062.87	70139.74	99165.31	41041.38	0.4132,3.0513,0.3746,0.1816,5.2263,0.3805,0.681
sec_contact_sym_mig_size	Round_4_Replicate_32	-42633.44	85280.88	146039.52	23258.54	0.6194,2.3985,0.8464,0.3618,2.8474,0.4873,1.8368
sec_contact_sym_mig_size	Round_4_Replicate_33	-37962.36	75938.72	103814.27	45297.63	0.8976,2.4535,0.3287,0.1962,4.983,0.4905,1.078
sec_contact_sym_mig_size	Round_4_Replicate_34	-40969.08	81952.16	124740.87	31259.45	0.8204,1.7768,0.5179,0.3134,3.4376,0.2068,1.3923
sec_contact_sym_mig_size	Round_4_Replicate_35	-45291.88	90597.76	141377.37	25980.94	0.6913,8.0419,0.873,0.2723,3.0578,0.1794,1.7697
sec_contact_sym_mig_size	Round_4_Replicate_36	-35995.97	72005.94	104663.66	37920.88	0.4994,1.9846,0.4375,0.1903,4.8768,0.2556,0.6559
sec_contact_sym_mig_size	Round_4_Replicate_37	-34915.1	69844.2	118425.88	44433.03	0.7345,4.0222,0.3863,0.146,6.9724,0.3553,0.6871
sec_contact_sym_mig_size	Round_4_Replicate_38	-41866.69	83747.38	153625.59	53565.41	0.3371,7.5936,0.3409,0.1697,6.7961,0.1595,1.869
sec_contact_sym_mig_size	Round_4_Replicate_39	-40427.33	80868.66	119383.74	31677.56	0.676,5.933,0.6666,0.184,4.2446,0.5182,0.9136
sec_contact_sym_mig_size	Round_4_Replicate_40	-41588.75	83191.5	142776.06	38670.98	0.3696,4.9919,0.4523,0.2441,4.6461,0.1677,2.0057
