Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_3_Replicate_21	-42629.49	85266.98	94209.56	39496.95	0.2131,0.1722,3.3755,0.119
sym_mig	Round_3_Replicate_22	-36635.49	73278.98	140947.39	32280.82	0.6789,0.0743,11.3409,0.0663
sym_mig	Round_3_Replicate_23	-29196.31	58400.62	100704.05	53515.81	0.2461,0.1037,10.5484,0.2973
sym_mig	Round_3_Replicate_24	-26761.8	53531.6	75445.69	43573.16	0.2477,0.0998,9.2,0.1384
sym_mig	Round_3_Replicate_25	-41950.28	83908.56	118636.4	30238.29	0.4918,0.3386,3.0041,0.2769
sym_mig	Round_3_Replicate_26	-33943.59	67895.18	98618.66	82077.38	0.149,0.1015,11.3531,0.4786
sym_mig	Round_3_Replicate_27	-45919.46	91846.92	105644.48	45376.23	0.2282,0.2523,3.9854,0.5464
sym_mig	Round_3_Replicate_28	-31060.98	62129.96	87849.3	39246.37	0.3829,0.069,10.2975,0.1109
sym_mig	Round_3_Replicate_29	-31492.42	62992.84	89917.62	38989.89	0.3289,0.1672,5.9412,0.2245
sym_mig	Round_3_Replicate_30	-45689.0	91386.0	294858.23	27335.06	0.8693,0.2785,2.6928,0.0716
sym_mig	Round_4_Replicate_1	-26503.6	53015.2	91040.29	42937.39	0.2695,0.0799,12.0914,0.1159
sym_mig	Round_4_Replicate_2	-22125.56	44259.12	56615.43	63342.94	0.0971,0.0365,24.1294,0.0796
sym_mig	Round_4_Replicate_3	-24529.3	49066.6	76118.95	51071.95	0.1915,0.0667,14.4511,0.127
sym_mig	Round_4_Replicate_4	-25108.02	50224.04	75985.44	51628.96	0.1971,0.0752,12.9892,0.1498
sym_mig	Round_4_Replicate_5	-23959.01	47926.02	80995.59	48511.18	0.1767,0.065,15.9704,0.0966
sym_mig	Round_4_Replicate_6	-26037.77	52083.54	72401.22	41230.14	0.242,0.0683,11.4581,0.0775
sym_mig	Round_4_Replicate_7	-23046.82	46101.64	64386.02	48673.62	0.15,0.0511,17.2315,0.0719
sym_mig	Round_4_Replicate_8	-26817.03	53642.06	72445.88	50881.47	0.2295,0.0831,10.3204,0.1902
sym_mig	Round_4_Replicate_9	-25331.68	50671.36	68637.52	71221.01	0.1411,0.0596,15.6456,0.1965
sym_mig	Round_4_Replicate_10	-23668.7	47345.4	73774.38	53010.21	0.1581,0.0622,16.3629,0.1106
sym_mig	Round_4_Replicate_11	-24747.76	49503.52	69041.56	45256.83	0.199,0.0732,12.1071,0.0955
sym_mig	Round_4_Replicate_12	-23281.56	46571.12	66107.53	59275.41	0.1404,0.0516,18.0878,0.1166
sym_mig	Round_4_Replicate_13	-23089.23	46186.46	65586.49	54329.82	0.1396,0.0552,17.3586,0.0975
sym_mig	Round_4_Replicate_14	-23813.58	47635.16	65705.45	56240.97	0.1495,0.0617,15.371,0.124
sym_mig	Round_4_Replicate_15	-22420.35	44848.7	66296.6	58241.68	0.122,0.0432,22.1449,0.0872
sym_mig	Round_4_Replicate_16	-26374.94	52757.88	84496.6	39854.24	0.2624,0.0805,11.2362,0.081
sym_mig	Round_4_Replicate_17	-24695.43	49398.86	85327.95	45951.75	0.2069,0.0693,14.6248,0.099
sym_mig	Round_4_Replicate_18	-24403.64	48815.28	61973.83	48389.09	0.1682,0.0668,12.5873,0.0956
sym_mig	Round_4_Replicate_19	-23668.52	47345.04	77475.85	49067.13	0.1559,0.0647,16.4369,0.0885
sym_mig	Round_4_Replicate_20	-24919.35	49846.7	77026.4	51690.6	0.1845,0.0772,13.3161,0.1428
sym_mig	Round_4_Replicate_21	-25092.92	50193.84	75473.74	64829.01	0.1433,0.0673,15.8017,0.1784
sym_mig	Round_4_Replicate_22	-23936.15	47880.3	73279.04	60481.45	0.1532,0.0555,17.5994,0.1387
sym_mig	Round_4_Replicate_23	-25734.18	51476.36	78038.64	40417.89	0.2386,0.0647,12.887,0.0662
sym_mig	Round_4_Replicate_24	-24101.42	48210.84	68016.0	61812.95	0.1304,0.0617,16.6185,0.1376
sym_mig	Round_4_Replicate_25	-24666.71	49341.42	80310.31	56577.04	0.1691,0.0683,15.4624,0.1515
sym_mig	Round_4_Replicate_26	-24062.39	48132.78	62046.26	46354.47	0.1584,0.0617,13.5532,0.0732
sym_mig	Round_4_Replicate_27	-23466.12	46940.24	76022.32	47662.04	0.1697,0.0551,17.5294,0.0783
sym_mig	Round_4_Replicate_28	-25192.13	50392.26	66816.23	46120.15	0.2021,0.0772,11.1108,0.1093
sym_mig	Round_4_Replicate_29	-23943.96	47895.92	77301.32	52149.79	0.1547,0.0673,16.0561,0.1092
sym_mig	Round_4_Replicate_30	-24220.39	48448.78	65678.7	47392.01	0.1646,0.0703,13.1345,0.0895
sym_mig	Round_4_Replicate_31	-26378.78	52765.56	77256.51	43236.01	0.2539,0.0901,10.0742,0.1254
sym_mig	Round_4_Replicate_32	-26970.97	53949.94	75401.6	40706.92	0.2654,0.0926,9.0976,0.1041
sym_mig	Round_4_Replicate_33	-21788.45	43584.9	66742.48	60765.03	0.0978,0.0339,28.9559,0.0688
sym_mig	Round_4_Replicate_34	-25150.65	50309.3	69219.63	65639.4	0.1558,0.061,15.04,0.1853
sym_mig	Round_4_Replicate_35	-22973.61	45955.22	64214.51	54013.07	0.1386,0.0531,17.5986,0.093
sym_mig	Round_4_Replicate_36	-23478.24	46964.48	62560.8	54651.83	0.1461,0.0575,15.7164,0.1071
sym_mig	Round_4_Replicate_37	-24158.8	48325.6	71390.89	49139.85	0.1666,0.0719,13.9744,0.1035
sym_mig	Round_4_Replicate_38	-23047.2	46102.4	61090.22	52809.12	0.1388,0.0525,16.8646,0.0873
sym_mig	Round_4_Replicate_39	-23504.28	47016.56	72211.4	49142.8	0.1666,0.0595,16.2311,0.0899
sym_mig	Round_4_Replicate_40	-23156.55	46321.1	71233.6	54546.97	0.1508,0.0496,19.1229,0.0973
