Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2, T3)
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_8	-59351.83	118719.66	122498.16	3912.09	12.7622,0.0965,1.8584,3.9316,17.7039,11.4282,0.1879,0.5976
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_9	-328139.51	656295.02	3138172.97	6538.45	5.9675,0.5723,0.3229,6.0165,14.9819,6.9046,0.0676,0.9518
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_10	-101464.95	202945.9	230798.4	6635.69	23.9915,0.8984,0.3513,3.3717,12.1358,6.5076,0.2366,0.1706
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_11	-79531.49	159078.98	215402.59	8571.63	18.5321,0.1195,0.4198,1.8491,2.4565,4.9437,0.1901,0.1038
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_12	-287532.46	575080.92	1719551.47	4466.47	7.1161,0.908,0.2852,5.741,10.5502,15.3119,0.0485,0.7035
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_13	-60277.55	120571.1	139790.54	13783.16	3.6946,0.739,0.6114,1.2935,4.4219,1.8241,0.1798,0.1228
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_14	-65079.8	130175.6	512654.17	4850.56	17.4184,0.1898,2.3825,3.2383,3.7679,5.57,0.2729,0.1804
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_15	-55611.78	111239.56	139565.85	7017.51	6.6783,0.2146,1.8348,1.061,4.5561,5.9051,0.2267,0.4008
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_16	-83320.91	166657.82	178826.14	5109.4	8.2004,0.2008,0.4177,2.6092,27.6921,11.527,0.0563,0.209
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_17	-103911.02	207838.04	299151.97	8280.68	8.2166,0.7857,0.3448,11.3356,3.7627,4.4238,0.1262,0.1002
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_18	-107023.76	214063.52	248169.4	5268.69	15.3016,0.8215,0.3637,1.6275,2.7203,12.943,0.279,0.2057
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_19	-114553.66	229123.32	1679081.08	7731.98	10.873,0.8727,2.1493,10.0483,4.195,1.6204,0.131,0.0836
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_20	-110357.91	220731.82	389087.98	11820.38	12.2521,0.1235,0.6673,1.3271,10.2911,2.4682,0.0444,0.3445
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_21	-95505.73	191027.46	1160408.7	8420.44	5.3586,0.6055,2.0294,14.2104,7.8233,1.8393,0.1045,0.1967
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_22	-67059.07	134134.14	675158.18	6650.71	5.4957,0.5848,1.5563,6.9515,8.6776,4.528,0.2561,0.2006
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_23	-189346.17	378708.34	895780.75	12843.91	4.854,0.08,0.3139,2.2968,6.1335,3.3061,0.0517,0.4067
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_24	-251654.28	503324.56	1509964.5	6105.52	15.0628,0.596,0.5149,7.7139,6.2857,5.4513,0.1178,0.9794
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_25	-74587.17	149190.34	317659.87	14064.32	3.8733,0.2733,0.3043,13.3959,16.1592,1.9856,0.1061,0.0565
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_26	-72844.31	145704.62	262801.46	4973.12	17.4184,0.2377,3.1057,3.7233,2.7301,4.6784,0.2799,0.3525
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_27	-91519.1	183054.2	229736.44	6943.58	12.212,0.0952,1.2571,8.1165,17.3724,3.2382,0.1634,0.3932
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_28	-93028.12	186072.24	223266.96	8414.55	23.3914,0.157,0.3176,4.6273,4.9085,4.7429,0.2547,0.0858
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_29	-214676.99	429369.98	1028757.64	11563.69	10.1826,0.2542,0.4261,9.8503,21.7874,1.024,0.1346,0.5509
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_30	-54794.06	109604.12	314591.37	2965.57	14.8435,0.1147,2.3849,7.1666,8.6886,13.4291,0.0762,0.2074
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_1	-55004.58	110025.16	667524.82	3109.06	14.8663,0.0725,2.7984,6.1271,10.2642,12.3551,0.1241,0.2839
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_2	-61543.34	123102.68	1011302.02	1729.07	18.4744,0.1712,4.2208,11.5583,10.2818,27.8038,0.0698,0.1507
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_3	-49449.34	98914.68	431098.97	2606.66	11.3376,0.0789,2.5147,11.1756,6.6995,20.6866,0.1163,0.2181
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_4	-60089.34	120194.68	138550.0	4033.15	11.4856,0.1287,1.2691,9.9528,5.4893,10.8788,0.1351,0.307
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_5	-48124.77	96265.54	324921.06	3842.56	7.509,0.0379,2.6127,8.0755,16.0735,12.4491,0.0575,0.3183
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_6	-51672.26	103360.52	615507.33	2748.87	15.839,0.0793,1.4635,8.5491,6.3141,17.1592,0.1437,0.1244
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_7	-39500.91	79017.82	135773.17	2696.74	13.1391,0.0979,3.5151,4.4852,15.0709,16.9601,0.0458,0.3378
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_8	-46485.91	92987.82	219025.81	1765.47	21.3406,0.0933,2.3598,12.2659,11.1626,29.2172,0.0765,0.362
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_9	-53360.1	106736.2	721980.49	3065.68	10.6478,0.1379,2.3333,8.9362,4.9472,15.944,0.1583,0.1267
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_10	-33314.09	66644.18	92614.23	2174.36	13.4924,0.1012,2.4294,3.7404,16.832,28.0517,0.0472,0.3385
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_11	-61028.34	122072.68	584130.2	2565.82	12.9129,0.1196,4.8956,5.4443,5.3162,16.6835,0.1237,0.1017
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_12	-49322.95	98661.9	220026.17	2767.4	11.8849,0.1163,2.4328,13.1132,5.875,18.0032,0.142,0.3658
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_13	-46443.27	92902.54	161739.83	4762.13	5.3055,0.1536,1.2642,4.5972,6.6803,12.4828,0.1349,0.2055
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_14	-56959.6	113935.2	480067.88	3562.61	7.9237,0.0691,4.2395,5.7733,6.9728,12.897,0.0972,0.1334
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_15	-57806.38	115628.76	233685.33	2624.7	21.4808,0.0735,1.266,10.8968,5.5045,16.3737,0.121,0.1588
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_16	-44267.73	88551.46	148790.0	3214.16	9.8052,0.0878,2.9723,4.7792,11.5393,14.8993,0.0522,0.2518
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_17	-38875.22	77766.44	112734.95	3331.73	8.3027,0.1307,3.332,3.9815,10.1996,15.3568,0.0629,0.2921
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_18	-43586.8	87189.6	204281.23	2360.56	15.8915,0.0807,3.558,7.7265,5.8612,19.3156,0.1395,0.4063
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_19	-41051.99	82119.98	167785.37	2169.62	13.6423,0.0747,2.6484,6.0752,10.4604,26.1787,0.065,0.2598
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_20	-52823.16	105662.32	137540.35	2497.53	17.0228,0.0536,1.1993,8.9536,6.1089,21.8751,0.1449,0.2645
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_21	-34740.65	69497.3	99742.45	2114.22	15.604,0.2041,1.9412,3.767,8.0525,28.553,0.1034,0.2901
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_22	-37183.46	74382.92	181409.72	1877.45	17.0402,0.2135,4.1516,3.913,9.2076,27.066,0.0784,0.2304
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_23	-57811.13	115638.26	190784.55	4118.33	10.2123,0.0638,1.6141,8.9314,5.2094,10.2898,0.1127,0.2127
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_24	-40611.01	81238.02	159466.5	2737.11	12.4011,0.0659,3.0096,3.6635,13.5321,17.3762,0.0479,0.2092
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_25	-47270.48	94556.96	289999.93	4123.06	8.9218,0.1112,2.4671,5.2644,9.5537,9.9879,0.1008,0.2793
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_26	-53836.02	107688.04	475642.53	4062.99	7.6436,0.0981,1.9773,7.626,7.504,11.7775,0.093,0.1224
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_27	-47609.26	95234.52	396142.55	1953.6	14.4343,0.0623,3.1246,11.6797,8.7918,29.1826,0.089,0.2784
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_28	-61189.2	122394.4	511181.64	3759.06	7.8816,0.0465,2.649,9.4906,7.1339,12.6038,0.0888,0.1176
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_29	-34838.07	69692.14	110869.39	3314.07	8.5971,0.0657,3.6766,3.4141,11.3952,15.191,0.069,0.3316
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_30	-59124.15	118264.3	420623.48	3160.98	12.5145,0.0577,3.636,12.4942,8.4444,11.6557,0.0907,0.3648
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_31	-54892.53	109801.06	1355610.98	2219.48	12.1761,0.2174,4.7651,6.0865,6.3903,23.9139,0.148,0.1525
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_32	-33851.45	67718.9	140101.3	2139.56	11.3877,0.0806,4.35,3.257,16.2712,28.4469,0.0495,0.2567
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_33	-54404.78	108825.56	644066.31	2941.95	14.0404,0.1252,3.4524,7.0315,15.7573,13.2013,0.076,0.3475
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_34	-35055.69	70127.38	146280.86	2037.99	15.4212,0.1252,1.8727,3.1035,13.4482,28.6021,0.0538,0.1675
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_35	-64256.48	128528.96	340033.88	3840.69	11.0851,0.1798,4.2033,7.8291,8.5119,7.8826,0.0837,0.3883
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_36	-48353.66	96723.32	173349.97	3561.44	8.2673,0.1493,1.4105,6.6025,20.5683,15.8503,0.0511,0.2854
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_37	-61456.72	122929.44	1308854.77	2992.63	8.7682,0.1051,2.9057,16.5176,11.7023,17.9102,0.0677,0.1488
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_38	-30164.62	60345.24	112269.69	2339.51	12.845,0.0771,2.8528,2.7736,15.0398,24.4676,0.0575,0.262
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_39	-55715.27	111446.54	184668.09	4217.64	9.5895,0.0544,1.5234,12.0168,6.7082,10.1333,0.1224,0.2768
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_40	-33636.82	67289.64	177674.15	1774.43	19.8949,0.0554,3.8443,3.7438,8.9668,28.7201,0.0963,0.2844
