Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2)
sec_contact_sym_mig	Round_4_Replicate_2	-27721.9	55453.8	70130.46	16806.96	1.1032,0.1632,5.7921,2.9144,0.1478
sec_contact_sym_mig	Round_4_Replicate_3	-23744.69	47499.38	62886.21	28983.37	0.3909,0.1195,7.5846,1.9431,0.1937
sec_contact_sym_mig	Round_4_Replicate_4	-22055.93	44121.86	63628.12	16714.63	0.4047,0.1348,7.3286,5.7039,0.2718
sec_contact_sym_mig	Round_4_Replicate_5	-24826.37	49662.74	72217.18	24555.37	0.516,0.1679,5.83,2.1933,0.2549
sec_contact_sym_mig	Round_4_Replicate_6	-29720.11	59450.22	73257.52	18783.28	1.1332,0.1429,6.4318,2.128,0.1194
sec_contact_sym_mig	Round_4_Replicate_7	-25460.34	50930.68	65886.03	17272.77	0.8045,0.1809,5.4605,3.4354,0.1869
sec_contact_sym_mig	Round_4_Replicate_8	-22668.83	45347.66	58634.64	14958.02	0.5758,0.1707,5.2271,5.6122,0.3058
sec_contact_sym_mig	Round_4_Replicate_9	-24470.92	48951.84	116298.31	12268.42	0.7117,0.1581,7.0414,7.6547,0.3383
sec_contact_sym_mig	Round_4_Replicate_10	-29425.07	58860.14	84165.96	17609.44	1.1389,0.2351,4.8349,2.2152,0.1719
sec_contact_sym_mig	Round_4_Replicate_11	-27440.38	54890.76	67195.81	14518.01	1.0371,0.1634,6.1202,4.2545,0.1414
sec_contact_sym_mig	Round_4_Replicate_12	-25307.87	50625.74	69180.01	19365.25	0.6825,0.1352,6.4586,3.21,0.1934
sec_contact_sym_mig	Round_4_Replicate_13	-28550.31	57110.62	65140.59	14366.91	1.079,0.1302,6.7186,4.358,0.1211
sec_contact_sym_mig	Round_4_Replicate_14	-27305.88	54621.76	68069.37	20123.78	0.896,0.1675,5.6846,2.1894,0.1536
sec_contact_sym_mig	Round_4_Replicate_15	-22424.5	44859.0	58038.29	18315.47	0.4245,0.1206,6.9808,5.0627,0.283
sec_contact_sym_mig	Round_4_Replicate_16	-24592.38	49194.76	57450.37	14375.49	0.6323,0.1466,5.634,5.6088,0.2192
sec_contact_sym_mig	Round_4_Replicate_17	-24959.64	49929.28	57561.83	11198.12	0.9329,0.1989,3.9806,7.075,0.2953
sec_contact_sym_mig	Round_4_Replicate_18	-23967.32	47944.64	58058.89	20142.64	0.5807,0.1659,5.2975,3.1055,0.2289
sec_contact_sym_mig	Round_4_Replicate_19	-22038.89	44087.78	53830.43	18637.52	0.3525,0.1262,7.0322,5.1191,0.2652
sec_contact_sym_mig	Round_4_Replicate_20	-30219.85	60449.7	80158.2	13904.92	1.1086,0.1122,6.3931,4.7928,0.1773
sec_contact_sym_mig	Round_4_Replicate_21	-22542.72	45095.44	58334.84	13631.62	0.6287,0.2008,4.4865,6.321,0.3723
sec_contact_sym_mig	Round_4_Replicate_22	-25588.95	51187.9	94811.88	20332.22	0.6181,0.1254,8.0686,3.1702,0.188
sec_contact_sym_mig	Round_4_Replicate_23	-22742.09	45494.18	55822.62	14028.81	0.5408,0.1503,5.6175,6.4218,0.2825
sec_contact_sym_mig	Round_4_Replicate_24	-25838.87	51687.74	76780.43	16985.35	0.651,0.2051,5.8947,3.8928,0.1876
sec_contact_sym_mig	Round_4_Replicate_25	-22267.31	44544.62	58681.92	23642.61	0.3312,0.1133,8.0374,3.6239,0.2472
sec_contact_sym_mig	Round_4_Replicate_26	-24192.23	48394.46	67478.06	30047.6	0.3861,0.091,9.3742,1.9522,0.1718
sec_contact_sym_mig	Round_4_Replicate_27	-24569.23	49148.46	62209.07	29032.87	0.3698,0.1257,6.6103,2.3307,0.3
sec_contact_sym_mig	Round_4_Replicate_28	-24927.53	49865.06	66403.87	16068.07	0.7115,0.1554,5.9278,4.3834,0.2045
sec_contact_sym_mig	Round_4_Replicate_29	-22364.49	44738.98	58467.94	15855.24	0.4469,0.1637,5.9481,5.6293,0.2823
sec_contact_sym_mig	Round_4_Replicate_30	-23597.67	47205.34	64886.7	19338.51	0.4794,0.1957,4.9949,4.2146,0.4115
sec_contact_sym_mig	Round_4_Replicate_31	-28334.11	56678.22	75803.64	15501.71	1.2591,0.169,5.88,3.1316,0.1426
sec_contact_sym_mig	Round_4_Replicate_32	-24343.62	48697.24	61983.16	34893.32	0.2906,0.0954,8.5528,2.1294,0.2722
sec_contact_sym_mig	Round_4_Replicate_33	-28042.96	56095.92	112150.42	12359.81	1.0452,0.1459,6.5642,6.0583,0.2272
sec_contact_sym_mig	Round_4_Replicate_34	-24956.04	49922.08	58987.94	18407.29	0.739,0.1986,4.5487,3.0867,0.2265
sec_contact_sym_mig	Round_4_Replicate_35	-27615.71	55241.42	138366.52	17121.62	0.862,0.1617,6.9163,3.5995,0.237
sec_contact_sym_mig	Round_4_Replicate_36	-24149.5	48309.0	56706.59	23521.59	0.45,0.1506,5.3025,2.8167,0.2855
sec_contact_sym_mig	Round_4_Replicate_37	-23966.27	47942.54	53957.2	17483.65	0.4685,0.12,6.6441,4.6399,0.194
sec_contact_sym_mig	Round_4_Replicate_38	-28977.83	57965.66	68525.29	17096.88	1.0378,0.1041,8.6926,3.1763,0.0883
sec_contact_sym_mig	Round_4_Replicate_39	-26177.3	52364.6	57066.95	26981.22	0.3846,0.1608,4.6911,2.2115,0.2839
sec_contact_sym_mig	Round_4_Replicate_40	-24743.02	49496.04	67514.75	14293.54	0.8047,0.1728,5.2169,5.0794,0.2464
