Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, T1, T2)
no_mig_size	Round_2_Replicate_5	-98978.22	197968.44	1257241.34	15419.24	3.4205,9.3423,3.1187,1.9139,0.1375,0.1426
no_mig_size	Round_2_Replicate_6	-152398.22	304808.44	727765.32	13983.39	2.295,4.0485,1.3865,1.6926,0.1902,0.7046
no_mig_size	Round_2_Replicate_7	-155955.34	311922.68	686666.24	8354.05	2.9406,1.3463,3.8947,6.2865,0.1864,0.8665
no_mig_size	Round_2_Replicate_8	-104460.09	208932.18	299537.73	18061.67	0.6223,1.3281,0.9925,2.2106,0.0605,0.327
no_mig_size	Round_2_Replicate_9	-258400.99	516813.98	2557085.64	9766.83	0.5055,3.4906,3.0583,8.8999,0.7099,0.4022
no_mig_size	Round_2_Replicate_10	-213219.43	426450.86	1865519.93	9199.39	5.4694,2.7507,2.5279,2.1889,0.2395,1.5544
no_mig_size	Round_2_Replicate_11	-159328.76	318669.52	1149084.63	7312.27	4.9444,4.1186,7.5972,13.5357,0.2856,0.6056
no_mig_size	Round_2_Replicate_12	-227535.11	455082.22	2103321.68	12405.64	2.9658,1.5702,1.2562,1.9529,0.303,1.1799
no_mig_size	Round_2_Replicate_13	-326041.82	652095.64	8224339.02	8863.64	0.5871,1.3835,2.7193,2.1677,0.6209,1.6028
no_mig_size	Round_2_Replicate_14	-106348.91	212709.82	517804.83	14748.94	0.6015,8.5494,6.1583,2.5406,0.0767,0.2194
no_mig_size	Round_2_Replicate_15	-218723.85	437459.7	1492471.31	6071.35	3.8682,8.2035,2.4149,16.1366,0.0727,1.8521
no_mig_size	Round_2_Replicate_16	-308636.03	617284.06	5116259.15	7126.76	0.6342,7.1007,1.9675,8.5617,0.7977,1.2465
no_mig_size	Round_2_Replicate_17	-133834.27	267680.54	504068.42	10240.88	2.8828,2.9244,3.1128,5.3268,0.437,0.35
no_mig_size	Round_2_Replicate_18	-129012.97	258037.94	3743605.59	12956.12	1.9138,12.0152,12.637,4.7484,0.1337,0.1768
no_mig_size	Round_2_Replicate_19	-205517.89	411047.78	1608822.38	7133.4	2.334,2.2218,6.8729,1.8729,0.1692,1.4048
no_mig_size	Round_2_Replicate_20	-304155.14	608322.28	4804895.89	9582.78	0.4316,1.1711,1.1441,5.1308,0.2331,1.5319
no_mig_size	Round_3_Replicate_1	-100546.65	201105.3	380169.3	14450.13	1.1707,22.0745,3.5306,1.8088,0.1016,0.2743
no_mig_size	Round_3_Replicate_2	-96080.13	192172.26	6688930.23	19991.9	1.9128,27.2734,1.6415,4.1543,0.049,0.0844
no_mig_size	Round_3_Replicate_3	-118369.2	236750.4	3412919.78	14028.01	5.6437,2.9706,7.6713,3.5118,0.2037,0.0677
no_mig_size	Round_3_Replicate_4	-64607.94	129227.88	314129.1	21471.17	3.014,18.2047,1.3351,0.7288,0.0513,0.1124
no_mig_size	Round_3_Replicate_5	-87450.61	174913.22	1105401.65	19043.09	1.0799,6.8789,4.7623,1.6741,0.1197,0.0515
no_mig_size	Round_3_Replicate_6	-95280.37	190572.74	293419.38	16204.47	1.3511,19.8621,2.9375,0.8497,0.0312,0.3203
no_mig_size	Round_3_Replicate_7	-95987.71	191987.42	712460.72	15655.52	4.4035,5.3987,4.9268,1.3727,0.0363,0.2137
no_mig_size	Round_3_Replicate_8	-128946.59	257905.18	568239.92	20059.59	3.3919,21.5837,1.0999,0.6073,0.0663,0.4541
no_mig_size	Round_3_Replicate_9	-74547.81	149107.62	863101.45	20333.72	4.541,3.7371,2.1974,0.7335,0.0588,0.0829
no_mig_size	Round_3_Replicate_10	-83038.77	166089.54	324529.83	17285.32	2.0597,5.8335,2.1114,1.4713,0.0405,0.2366
no_mig_size	Round_3_Replicate_11	-101641.44	203294.88	305943.31	15361.28	3.8593,17.093,1.4812,2.2184,0.0723,0.4054
no_mig_size	Round_3_Replicate_12	-77250.77	154513.54	457636.32	19113.65	9.3275,21.6285,1.1548,1.8866,0.0667,0.1587
no_mig_size	Round_3_Replicate_13	-87276.59	174565.18	1706405.16	19010.79	1.6069,5.5276,1.9595,2.6103,0.038,0.1317
no_mig_size	Round_3_Replicate_14	-122840.94	245693.88	415753.1	14126.89	0.9915,21.011,4.409,0.9225,0.3608,0.1978
no_mig_size	Round_3_Replicate_15	-116632.96	233277.92	560912.37	11489.92	3.1327,21.048,2.4444,2.1774,0.4623,0.1291
no_mig_size	Round_3_Replicate_16	-129592.42	259196.84	1290979.12	10599.1	3.907,4.6344,5.2317,5.8997,0.1084,0.4115
no_mig_size	Round_3_Replicate_17	-151641.73	303295.46	749312.79	12788.92	3.7891,22.0443,5.6236,0.5208,0.0743,0.4661
no_mig_size	Round_3_Replicate_18	-75753.09	151518.18	666403.49	19748.92	2.6786,4.4384,2.4554,0.9773,0.0336,0.1247
no_mig_size	Round_3_Replicate_19	-82516.11	165044.22	322863.14	17632.18	5.3968,5.9913,1.3996,2.0196,0.0676,0.2226
no_mig_size	Round_3_Replicate_20	-109806.32	219624.64	866222.32	13367.94	2.6185,4.7612,6.0254,3.9587,0.3184,0.0558
no_mig_size	Round_3_Replicate_21	-97198.17	194408.34	278797.47	16847.47	0.9219,6.0373,1.5271,2.2154,0.223,0.1183
no_mig_size	Round_3_Replicate_22	-81489.94	162991.88	885731.99	19526.43	1.092,18.6392,5.7298,0.8325,0.0513,0.0953
no_mig_size	Round_3_Replicate_23	-99715.63	199443.26	753723.47	15286.97	1.739,18.8613,2.8269,2.0502,0.2328,0.0763
no_mig_size	Round_3_Replicate_24	-101378.69	202769.38	7198525.15	18736.93	2.024,29.0344,2.4126,3.262,0.0626,0.091
no_mig_size	Round_3_Replicate_25	-94319.11	188650.22	296538.31	15577.46	2.8092,3.031,1.5946,0.7753,0.3528,0.119
no_mig_size	Round_3_Replicate_26	-112858.06	225728.12	434868.43	11910.92	12.1734,2.6813,1.7591,5.9156,0.3605,0.2484
no_mig_size	Round_3_Replicate_27	-133018.91	266049.82	473027052.56	20945.01	13.1844,3.0767,11.0972,2.6397,0.0391,0.0344
no_mig_size	Round_3_Replicate_28	-114468.4	228948.8	411171.73	11873.29	9.6632,8.0359,2.4999,2.6049,0.2047,0.456
no_mig_size	Round_3_Replicate_29	-92558.97	185129.94	314043.36	15594.85	4.6836,20.5888,3.7626,1.0247,0.027,0.2824
no_mig_size	Round_3_Replicate_30	-112924.16	225860.32	9155061.79	16928.18	4.1965,6.3122,6.7713,2.0686,0.0518,0.1186
no_mig_size	Round_4_Replicate_1	-55149.78	110311.56	198595.13	24059.93	1.9826,22.1787,1.0312,0.4808,0.0333,0.0946
no_mig_size	Round_4_Replicate_2	-66352.84	132717.68	389675.86	21758.5	2.1298,7.8366,1.2902,1.1383,0.011,0.1368
no_mig_size	Round_4_Replicate_3	-54079.0	108170.0	181500.81	24080.54	3.3577,18.2109,1.212,0.3377,0.034,0.0832
no_mig_size	Round_4_Replicate_4	-57355.18	114722.36	265190.42	23580.33	3.7825,12.0706,0.9057,0.6036,0.0434,0.0901
no_mig_size	Round_4_Replicate_5	-60973.55	121959.1	399870.28	24412.52	1.7828,8.7312,0.7225,1.1381,0.0166,0.0918
no_mig_size	Round_4_Replicate_6	-57880.06	115772.12	318346.38	24268.45	1.5145,10.9069,0.864,0.778,0.0226,0.091
no_mig_size	Round_4_Replicate_7	-58880.7	117773.4	497481.67	23926.25	1.8025,20.7092,1.7703,0.4425,0.0132,0.0691
no_mig_size	Round_4_Replicate_8	-57459.8	114931.6	244412.75	23406.78	2.7529,11.4323,0.9752,0.5559,0.0476,0.0903
no_mig_size	Round_4_Replicate_9	-59287.98	118587.96	343370.33	24476.39	2.9108,8.9299,0.7058,0.9788,0.022,0.0909
no_mig_size	Round_4_Replicate_10	-60177.73	120367.46	220913.57	22419.6	2.2255,7.993,1.5139,0.4644,0.0435,0.0997
no_mig_size	Round_4_Replicate_11	-62795.1	125602.2	303428.87	22225.99	3.0485,9.569,1.2254,0.845,0.0241,0.1234
no_mig_size	Round_4_Replicate_12	-60185.83	120383.66	293868.84	23444.29	2.1735,17.276,0.9559,0.9084,0.0157,0.1139
no_mig_size	Round_4_Replicate_13	-75240.49	150492.98	437460.36	19316.12	1.638,24.4498,2.1676,1.1164,0.0253,0.1619
no_mig_size	Round_4_Replicate_14	-65652.12	131316.24	367628.42	21429.6	1.8813,8.4479,1.9951,0.5375,0.0548,0.0869
no_mig_size	Round_4_Replicate_15	-65079.09	130170.18	446300.39	22727.35	6.6103,12.5472,0.7147,1.1745,0.0537,0.0905
no_mig_size	Round_4_Replicate_16	-49547.28	99106.56	160051.37	26512.86	2.7069,11.9253,0.6546,0.4555,0.0181,0.085
no_mig_size	Round_4_Replicate_17	-69817.99	139647.98	337180.64	20299.15	2.4752,13.921,2.5659,0.6029,0.0396,0.1172
no_mig_size	Round_4_Replicate_18	-62773.34	125558.68	356457.31	22161.18	2.5088,13.1889,1.6212,0.6219,0.0283,0.1016
no_mig_size	Round_4_Replicate_19	-60562.57	121137.14	330876.59	22834.74	5.5857,7.5465,1.3293,0.7165,0.0127,0.1114
no_mig_size	Round_4_Replicate_20	-62593.76	125199.52	347071.62	22623.46	1.8913,10.3377,1.1618,0.9036,0.0207,0.1152
no_mig_size	Round_4_Replicate_21	-81763.87	163539.74	1119292.86	19171.84	5.0098,22.8429,2.3701,1.4436,0.0182,0.1472
no_mig_size	Round_4_Replicate_22	-67103.22	134218.44	410509.27	21825.15	2.3651,10.8208,1.0533,1.2373,0.0352,0.1192
no_mig_size	Round_4_Replicate_23	-69989.24	139990.48	572134.24	21029.74	2.1499,6.9036,1.5574,1.0079,0.0405,0.1098
no_mig_size	Round_4_Replicate_24	-68700.67	137413.34	320824.95	20887.82	6.1158,14.7993,1.2823,1.2389,0.0172,0.1614
no_mig_size	Round_4_Replicate_25	-51782.34	103576.68	296219.75	25209.46	3.9478,9.5286,1.1916,0.3588,0.0127,0.0652
no_mig_size	Round_4_Replicate_26	-62240.91	124493.82	208519.4	22012.05	2.8788,11.7552,1.7968,0.5312,0.0103,0.1325
no_mig_size	Round_4_Replicate_27	-54777.19	109566.38	233460.01	24180.04	2.0496,6.4546,1.224,0.4998,0.0107,0.0959
no_mig_size	Round_4_Replicate_28	-57255.33	114522.66	303851.52	23491.68	2.613,10.5484,1.5182,0.4105,0.0285,0.0758
no_mig_size	Round_4_Replicate_29	-61841.37	123694.74	422888.59	22815.66	5.4009,15.6394,1.1469,0.7798,0.0272,0.099
no_mig_size	Round_4_Replicate_30	-63891.35	127794.7	289361.25	21932.17	6.2595,18.1348,1.2561,0.9249,0.0152,0.1397
no_mig_size	Round_4_Replicate_31	-53941.15	107894.3	275135.07	24436.12	2.2463,22.7472,1.3812,0.3774,0.0175,0.0726
no_mig_size	Round_4_Replicate_32	-70141.65	140295.3	727520.98	21462.4	1.6501,4.9227,1.9812,0.8836,0.0218,0.1031
no_mig_size	Round_4_Replicate_33	-67101.64	134215.28	376281.19	21034.8	4.1914,23.5922,1.6575,0.8289,0.0271,0.1288
no_mig_size	Round_4_Replicate_34	-65437.21	130886.42	291778.97	21633.63	5.2079,22.0223,1.2451,1.0404,0.0136,0.1495
no_mig_size	Round_4_Replicate_35	-69305.05	138622.1	346012.73	20189.39	4.645,24.2371,1.6037,0.8148,0.0562,0.1305
no_mig_size	Round_4_Replicate_36	-65392.83	130797.66	354532.04	21358.65	3.1362,22.8277,1.7237,0.6579,0.0371,0.1102
no_mig_size	Round_4_Replicate_37	-66524.85	133061.7	533214.9	22297.89	1.539,13.9117,1.1855,1.137,0.0229,0.1087
no_mig_size	Round_4_Replicate_38	-53364.55	106741.1	475623.75	25524.33	4.9983,11.6166,1.1662,0.3656,0.0105,0.0551
no_mig_size	Round_4_Replicate_39	-56660.91	113333.82	239673.05	23185.57	3.8134,21.2676,0.9506,0.3835,0.0715,0.0707
no_mig_size	Round_4_Replicate_40	-63027.25	126066.5	437309.55	22246.95	4.0374,19.349,1.3346,0.6275,0.0435,0.0883
