Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, T1, T2)
no_mig_size	Round_4_Replicate_27	-244689.81	489391.62	262702271964.63	1993.7	3.8515,0.1415,9.6967,0.3127,0.2378,7.8591
no_mig_size	Round_4_Replicate_28	-243875.59	487763.18	257850046560.81	2951.76	1.9682,0.0742,6.298,0.2543,0.2553,5.1791
no_mig_size	Round_4_Replicate_29	-245036.71	490085.42	258278359072.96	3149.63	3.4819,0.1204,6.0517,0.1548,0.226,4.6486
no_mig_size	Round_4_Replicate_30	-244103.46	488218.92	255852662550.37	2221.97	6.1722,0.0768,8.1917,0.3093,0.243,7.4612
no_mig_size	Round_4_Replicate_31	-244291.76	488595.52	254028511893.21	2996.77	4.8996,0.1083,6.0197,0.2054,0.2657,5.2637
no_mig_size	Round_4_Replicate_32	-245846.57	491705.14	259908273057.48	2053.31	2.0205,0.0388,8.8126,0.2506,0.7707,7.8873
no_mig_size	Round_4_Replicate_33	-649562.99	1299137.98	595107603.56	5264.05	5.0677,0.1359,18.4614,0.4707,0.4207,1.639
no_mig_size	Round_4_Replicate_34	-248389.56	496791.12	264435674839.36	3408.95	5.3561,0.1792,3.9308,0.3626,0.6467,6.1409
no_mig_size	Round_4_Replicate_35	-248805.16	497622.32	265777452862.5	3500.15	5.6139,0.1176,3.7945,0.3483,0.3237,6.3456
no_mig_size	Round_4_Replicate_36	-244196.37	488404.74	258246127778.94	1941.86	1.8017,0.1745,9.3496,0.3933,0.3983,8.6505
no_mig_size	Round_4_Replicate_37	-243267.34	486546.68	261287054834.03	4228.28	2.318,0.04,4.6418,0.2032,0.4989,2.7752
no_mig_size	Round_4_Replicate_38	-245322.8	490657.6	265077637484.06	2735.57	2.0984,0.0459,7.0153,0.2216,0.7679,5.0749
no_mig_size	Round_4_Replicate_39	-245167.35	490346.7	258850942068.74	2867.78	6.1827,0.1442,6.6723,0.165,0.4985,4.9145
no_mig_size	Round_4_Replicate_40	-244476.66	488965.32	261666871904.84	2186.53	3.0675,0.0782,8.5973,0.3287,0.8397,6.7975
