Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, T1, T2)
no_mig_size	Round_2_Replicate_10	-342866.25	685744.5	9513284.23	15194.69	1.7208,0.296,0.8835,1.5607,0.3883,1.1172
no_mig_size	Round_2_Replicate_11	-193892.09	387796.18	1423291.97	13723.35	0.8769,0.2151,2.5245,3.1934,0.2218,0.4249
no_mig_size	Round_2_Replicate_12	-110164.98	220341.96	387995.91	16709.36	2.5863,0.2928,3.5344,0.806,0.1252,0.1838
no_mig_size	Round_2_Replicate_13	-90747.46	181506.92	264029.32	18841.28	1.4923,0.3572,1.3074,1.3906,0.0506,0.2816
no_mig_size	Round_2_Replicate_14	-140119.39	280250.78	760581.87	26139.59	5.0078,0.1607,0.4055,0.5029,0.2045,0.0771
no_mig_size	Round_2_Replicate_15	-91700.88	183413.76	309511.02	25147.18	2.7969,0.2375,0.423,1.5783,0.1672,0.0652
no_mig_size	Round_2_Replicate_16	-89827.02	179666.04	268982.47	19836.53	3.7548,0.1592,3.4249,0.9733,0.0847,0.0781
no_mig_size	Round_2_Replicate_17	-80441.41	160894.82	448525.83	18581.89	3.2689,0.4069,3.2748,4.264,0.0675,0.097
no_mig_size	Round_2_Replicate_18	-68768.5	137549.0	192978.37	20966.65	3.4072,0.6667,0.8135,0.9107,0.1612,0.0663
no_mig_size	Round_2_Replicate_19	-350245.13	700502.26	8025628.05	18448.65	1.059,0.6405,0.4281,1.5858,0.2962,0.9423
no_mig_size	Round_2_Replicate_20	-87769.22	175550.44	262851.74	19237.69	4.0661,0.939,1.4752,0.7823,0.041,0.2882
no_mig_size	Round_3_Replicate_1	-71643.96	143299.92	301133.11	20394.06	5.2899,0.1378,2.265,13.0882,0.03,0.0984
no_mig_size	Round_3_Replicate_2	-42766.01	85544.02	176422.15	27815.2	2.0329,0.1158,0.4892,7.4175,0.0271,0.0182
no_mig_size	Round_3_Replicate_3	-61586.52	123185.04	189765.55	22767.68	1.6632,0.081,1.5506,2.5712,0.0193,0.0911
no_mig_size	Round_3_Replicate_4	-42579.9	85171.8	144596.48	29275.62	1.3802,0.1451,0.3243,1.7532,0.0251,0.0329
no_mig_size	Round_3_Replicate_5	-73571.47	147154.94	322993.24	19847.33	2.2586,0.1729,1.9428,4.0308,0.0271,0.1316
no_mig_size	Round_3_Replicate_6	-52088.57	104189.14	145356.69	25624.55	7.9017,0.0572,0.9044,2.7381,0.0166,0.0607
no_mig_size	Round_3_Replicate_7	-61070.48	122152.96	186608.33	22689.16	13.0427,0.1465,1.7344,1.3784,0.0398,0.0591
no_mig_size	Round_3_Replicate_8	-61954.12	123920.24	267741.03	22336.83	9.203,0.214,1.6687,1.9449,0.0435,0.0582
no_mig_size	Round_3_Replicate_9	-51288.48	102588.96	167603.69	25566.15	2.6039,0.0794,2.4553,11.2072,0.0243,0.0221
no_mig_size	Round_3_Replicate_10	-69523.8	139059.6	190683.42	21251.69	15.3079,0.2578,1.1334,1.4465,0.0573,0.1372
no_mig_size	Round_3_Replicate_11	-63897.74	127807.48	511694.14	22700.99	2.9768,0.3907,1.3104,1.1826,0.0179,0.0954
no_mig_size	Round_3_Replicate_12	-72010.8	144033.6	542041.07	20606.24	6.5233,0.407,1.8877,9.161,0.0665,0.0566
no_mig_size	Round_3_Replicate_13	-63842.52	127697.04	175324.36	22599.29	2.6973,0.1832,2.2784,5.2542,0.0663,0.0363
no_mig_size	Round_3_Replicate_14	-66971.58	133955.16	186248.81	22537.51	4.5508,0.0897,0.86,6.7761,0.017,0.1342
no_mig_size	Round_3_Replicate_15	-70295.79	140603.58	175306.06	25325.66	4.7736,0.2854,0.4386,2.0612,0.0877,0.0986
no_mig_size	Round_3_Replicate_16	-46682.92	93377.84	169130.8	27827.54	2.233,0.1007,0.4495,9.1008,0.018,0.0472
no_mig_size	Round_3_Replicate_17	-116326.82	232665.64	386603.0	25643.29	21.0558,0.1335,0.3916,2.3576,0.0663,0.2003
no_mig_size	Round_3_Replicate_18	-39935.64	79883.28	122200.88	29338.73	3.1263,0.1098,0.2829,14.1193,0.0289,0.0212
no_mig_size	Round_3_Replicate_19	-49831.8	99675.6	186493.84	25474.61	2.1207,0.2104,0.8167,1.8089,0.0501,0.0221
no_mig_size	Round_3_Replicate_20	-50922.64	101857.28	213268.53	25569.46	5.5596,0.1368,0.7235,12.5808,0.0279,0.0473
no_mig_size	Round_3_Replicate_21	-65176.15	130364.3	209477.69	21977.69	1.8773,0.1105,2.2352,11.0788,0.0302,0.0757
no_mig_size	Round_3_Replicate_22	-63543.49	127098.98	165610.56	23967.64	1.4097,0.1286,2.6008,2.0009,0.0556,0.0383
no_mig_size	Round_3_Replicate_23	-67955.37	135922.74	216547.7	21576.44	1.1547,0.0738,3.4894,13.7727,0.0209,0.0803
no_mig_size	Round_3_Replicate_24	-57717.21	115446.42	221376.23	26078.51	14.2506,0.2991,0.4244,3.5334,0.0238,0.0731
no_mig_size	Round_3_Replicate_25	-62555.31	125122.62	216920.18	22390.73	7.627,0.1612,1.1503,10.7816,0.036,0.0864
no_mig_size	Round_3_Replicate_26	-64465.3	128942.6	183475.19	22199.25	7.4537,0.1856,1.7113,8.2245,0.065,0.0371
no_mig_size	Round_3_Replicate_27	-55060.5	110133.0	515772.82	25256.45	3.002,0.2299,0.871,9.5127,0.0352,0.0249
no_mig_size	Round_3_Replicate_28	-53600.21	107212.42	228245.96	24944.88	10.7477,0.1349,2.2015,1.8169,0.0349,0.0118
no_mig_size	Round_3_Replicate_29	-83814.73	167641.46	706051.44	18659.42	2.781,0.4328,4.2861,19.7024,0.0658,0.0827
no_mig_size	Round_3_Replicate_30	-46340.76	92693.52	217074.37	26956.21	1.3751,0.0727,1.7617,4.6164,0.0174,0.0169
no_mig_size	Round_4_Replicate_1	-41147.8	82307.6	145567.77	28888.62	4.0671,0.185,0.2241,18.7533,0.0398,0.019
no_mig_size	Round_4_Replicate_2	-39359.8	78731.6	142120.97	29208.81	1.6798,0.1484,0.2364,14.5919,0.0345,0.0135
no_mig_size	Round_4_Replicate_3	-35875.41	71762.82	114338.3	30748.29	5.6289,0.0817,0.1815,8.2973,0.0214,0.0134
no_mig_size	Round_4_Replicate_4	-40841.77	81695.54	165951.4	28868.71	4.7253,0.1306,0.2983,7.2686,0.0269,0.0219
no_mig_size	Round_4_Replicate_5	-39992.24	79996.48	138676.28	29223.58	2.7227,0.1515,0.239,12.5647,0.0343,0.0181
no_mig_size	Round_4_Replicate_6	-35633.5	71279.0	118041.25	30634.29	3.8751,0.0798,0.1735,17.0272,0.021,0.0111
no_mig_size	Round_4_Replicate_7	-41860.87	83733.74	124908.78	28839.9	2.4528,0.1276,0.3218,15.7256,0.0329,0.0258
no_mig_size	Round_4_Replicate_8	-41576.12	83164.24	151346.55	28252.51	1.6131,0.1301,0.3965,8.8472,0.0318,0.0169
no_mig_size	Round_4_Replicate_9	-40218.12	80448.24	123446.96	29436.73	3.8038,0.1227,0.2641,12.2357,0.0304,0.0229
no_mig_size	Round_4_Replicate_10	-43195.46	86402.92	149909.26	27700.93	1.861,0.1124,0.5149,16.9091,0.0295,0.0198
no_mig_size	Round_4_Replicate_11	-42729.7	85471.4	175683.83	27755.73	1.6457,0.1214,0.5092,7.5257,0.0298,0.0118
no_mig_size	Round_4_Replicate_12	-40713.88	81439.76	124219.44	29233.46	5.6876,0.1806,0.1939,16.9455,0.0439,0.0182
no_mig_size	Round_4_Replicate_13	-35231.36	70474.72	123967.75	30948.33	4.3411,0.0664,0.1868,13.6594,0.0161,0.0132
no_mig_size	Round_4_Replicate_14	-37982.49	75976.98	126969.44	29607.43	2.477,0.0931,0.2558,7.4322,0.0246,0.0137
no_mig_size	Round_4_Replicate_15	-43544.45	87100.9	167333.44	27625.17	1.7291,0.1303,0.5056,10.0591,0.0306,0.0217
no_mig_size	Round_4_Replicate_16	-40437.36	80886.72	169450.11	28844.59	3.8741,0.1242,0.2985,9.7192,0.0264,0.0189
no_mig_size	Round_4_Replicate_17	-37963.03	75938.06	151600.18	30105.67	2.7148,0.1177,0.2045,17.3029,0.0242,0.0156
no_mig_size	Round_4_Replicate_18	-37541.51	75095.02	104498.36	31251.89	5.3059,0.0943,0.1813,11.0916,0.0243,0.0196
no_mig_size	Round_4_Replicate_19	-41362.37	82736.74	145620.98	28539.54	6.2396,0.1426,0.2972,8.9052,0.0331,0.0219
no_mig_size	Round_4_Replicate_20	-38170.79	76353.58	113435.32	30290.96	3.2179,0.1579,0.1406,18.2527,0.04,0.0126
no_mig_size	Round_4_Replicate_21	-37226.82	74465.64	128009.55	30015.09	2.3116,0.1067,0.2064,8.4602,0.0264,0.0129
no_mig_size	Round_4_Replicate_22	-36125.81	72263.62	113661.33	30647.17	3.0022,0.0727,0.2147,4.5753,0.0194,0.0146
no_mig_size	Round_4_Replicate_23	-37180.56	74373.12	116108.15	30525.08	2.4097,0.1086,0.1939,7.1982,0.027,0.0156
no_mig_size	Round_4_Replicate_24	-36955.76	73923.52	138456.2	30278.69	3.6339,0.0662,0.2566,9.2386,0.0152,0.0177
no_mig_size	Round_4_Replicate_25	-41399.67	82811.34	127729.04	28616.93	2.6292,0.1006,0.3758,14.3862,0.0276,0.0228
no_mig_size	Round_4_Replicate_26	-41063.36	82138.72	142002.99	28425.46	5.6761,0.0573,0.5019,5.5644,0.0159,0.0183
no_mig_size	Round_4_Replicate_27	-45380.5	90773.0	177995.85	26866.04	6.0506,0.1201,0.5265,14.8789,0.0314,0.014
no_mig_size	Round_4_Replicate_28	-40985.32	81982.64	145347.45	28452.1	3.4902,0.0832,0.4195,12.4004,0.0217,0.0194
no_mig_size	Round_4_Replicate_29	-38489.04	76990.08	146770.09	29630.94	2.6903,0.1374,0.2017,20.2281,0.0302,0.0139
no_mig_size	Round_4_Replicate_30	-35232.6	70477.2	114083.83	30980.57	5.0224,0.0899,0.1448,10.8197,0.0232,0.0108
no_mig_size	Round_4_Replicate_31	-39846.33	79704.66	140437.89	29487.74	2.3323,0.18,0.1934,15.3616,0.0382,0.0158
no_mig_size	Round_4_Replicate_32	-36251.47	72514.94	121518.95	30682.42	3.0595,0.0636,0.2343,8.1677,0.0157,0.0172
no_mig_size	Round_4_Replicate_33	-45038.13	90088.26	163715.12	26991.43	3.4763,0.1311,0.5222,16.1273,0.0338,0.0205
no_mig_size	Round_4_Replicate_34	-37749.72	75511.44	141138.3	29943.29	5.3521,0.0937,0.2339,14.8661,0.0213,0.0168
no_mig_size	Round_4_Replicate_35	-36756.5	73525.0	106055.87	31482.14	2.1803,0.0878,0.1806,7.2397,0.0216,0.0183
no_mig_size	Round_4_Replicate_36	-37448.87	74909.74	127713.65	30542.41	4.7584,0.1301,0.1646,12.0019,0.0286,0.0152
no_mig_size	Round_4_Replicate_37	-41136.47	82284.94	177403.84	28579.76	3.0577,0.0945,0.3942,9.6985,0.0204,0.0216
no_mig_size	Round_4_Replicate_38	-37939.61	75891.22	138991.3	29877.9	6.6371,0.1047,0.2251,9.7202,0.0239,0.0168
no_mig_size	Round_4_Replicate_39	-44434.44	88880.88	177849.13	27390.49	3.9292,0.1694,0.4011,9.0568,0.0363,0.0252
no_mig_size	Round_4_Replicate_40	-40638.02	81288.04	164617.54	28739.15	1.6112,0.1476,0.3042,10.475,0.0319,0.016
