Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2, T3)
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_2	-53720.33	107458.66	470151.38	6572.66	3.9026,10.1948,1.7709,3.1086,2.4993,0.7238,0.0165,8.4893,0.0622
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_3	-64491.4	129000.8	1012564.09	10700.45	1.7409,11.7223,2.1928,1.9121,6.3152,0.3013,0.0159,11.7365,0.0885
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_4	-53025.73	106069.46	170995.41	8324.45	3.501,10.0073,0.8065,2.9804,4.3621,0.6768,0.0258,9.7467,0.0828
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_5	-55237.29	110492.58	463874.42	7393.16	1.7926,3.3831,2.0761,2.5374,2.6124,0.6872,0.016,6.8229,0.077
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_6	-50476.15	100970.3	184709.91	8644.11	1.7644,6.0904,1.4414,2.4105,3.2442,0.411,0.0223,10.6835,0.1154
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_7	-53151.43	106320.86	120253.17	12418.19	1.9708,4.4382,0.8374,1.4457,2.078,0.747,0.0188,9.4558,0.0768
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_8	-56880.41	113778.82	264132.8	9896.86	2.0535,12.8636,1.7234,1.9815,2.6863,0.4339,0.0357,4.0469,0.0777
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_9	-61941.17	123900.34	442797.67	9929.5	5.2225,5.3345,2.4995,1.7319,4.645,0.7121,0.0123,5.4919,0.13
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_10	-47527.38	95072.76	157106.65	7172.9	1.718,9.7475,1.4352,2.9761,1.9404,0.2596,0.0157,13.0182,0.0513
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_11	-49689.16	99396.32	128126.8	10036.53	2.7798,3.1622,0.9791,2.1075,2.3759,0.4212,0.0412,7.7466,0.0597
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_12	-50570.23	101158.46	260263.7	7387.7	2.6378,9.2711,1.5178,2.5872,2.0282,0.9418,0.035,8.0799,0.0627
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_13	-61291.88	122601.76	672245.65	5501.55	4.1863,6.6715,2.4665,4.0945,1.9289,0.4531,0.0125,7.1786,0.0666
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_14	-52820.7	105659.4	194683.16	11068.47	1.2261,9.5962,1.6234,1.5201,2.431,0.3442,0.0327,9.6834,0.0499
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_15	-70328.43	140674.86	870951.54	7292.18	4.6054,6.3608,2.8542,3.2812,5.2462,0.5634,0.0427,4.2629,0.1865
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_16	-53846.65	107711.3	439420.77	12127.88	1.9039,11.8393,1.2351,1.722,5.2137,0.4287,0.011,11.0782,0.0541
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_17	-61352.13	122722.26	669703.13	7868.44	1.3011,3.8967,1.0688,3.8184,8.0154,0.5247,0.0122,5.3009,0.0855
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_18	-51193.6	102405.2	422647.44	6984.87	3.7792,3.5787,1.9853,2.5974,3.3625,0.8121,0.0242,16.2295,0.1049
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_19	-65987.33	131992.66	655070.83	7799.18	2.9488,7.449,1.4003,3.5313,2.9753,0.6838,0.038,3.8647,0.0441
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_20	-51356.42	102730.84	230967.71	6959.32	1.7581,6.222,1.5081,3.3151,2.3937,0.3293,0.0361,8.3267,0.0705
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_21	-50095.69	100209.38	301719.56	7652.16	3.7945,11.5015,1.3544,2.6102,3.7917,1.078,0.0284,10.971,0.0949
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_22	-53662.12	107342.24	283304.1	9360.45	1.6597,3.7548,2.0603,1.6363,2.9726,0.9772,0.0162,5.8481,0.0997
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_23	-68825.1	137668.2	1408144.75	8148.73	2.203,2.8031,2.0561,2.8028,5.4154,1.0709,0.0114,4.0653,0.0998
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_24	-52930.42	105878.84	185510.81	11215.14	3.8589,6.8031,1.5823,1.4929,3.3137,0.6332,0.0126,8.29,0.1073
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_25	-52147.11	104312.22	248728.04	6136.19	1.223,4.5903,1.8923,3.4642,2.4322,0.5505,0.0112,9.3166,0.1325
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_26	-61784.52	123587.04	403733.03	12885.34	1.9553,3.8785,1.94,1.3747,5.5736,0.5157,0.0101,8.1064,0.0989
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_27	-47082.35	94182.7	235538.29	7178.7	2.6189,4.8271,2.2211,1.9723,1.7235,0.8253,0.0249,11.8256,0.067
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_28	-51038.02	102094.04	224245.66	6329.05	1.3115,4.4022,1.1144,3.6061,2.6653,0.6792,0.0434,15.5583,0.062
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_29	-52326.42	104670.84	196085.5	9834.04	3.6511,5.2479,0.9633,2.4515,2.9524,0.5027,0.0235,4.754,0.0405
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_30	-63391.26	126800.52	877348.66	7686.67	1.9495,4.2308,2.095,2.7147,2.7677,0.6421,0.0235,4.7856,0.0531
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_31	-57074.28	114166.56	426115.03	7275.05	2.5882,12.7734,1.4739,3.71,6.3462,0.3462,0.0194,7.2321,0.1387
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_32	-49231.75	98481.5	159334.24	12920.73	3.3507,8.6526,1.0632,1.402,3.3827,0.7427,0.0139,5.7117,0.0657
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_33	-50284.7	100587.4	189294.92	9945.52	1.5952,3.3635,0.9381,2.4766,3.147,0.2631,0.027,5.677,0.0308
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_34	-50819.54	101657.08	170053.11	7500.79	3.7944,3.5165,1.0077,3.0036,3.4763,0.7274,0.0132,15.6041,0.096
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_35	-55655.48	111328.96	293979.32	9197.46	1.321,10.5487,1.9329,2.2153,4.5149,0.3458,0.0129,10.8442,0.1467
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_36	-49947.45	99912.9	197258.87	9773.06	3.354,4.036,1.2475,2.1905,3.3428,0.3377,0.0288,9.2182,0.0748
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_37	-51630.48	103278.96	396707.61	6091.63	3.1111,10.3195,1.8059,3.6305,2.28,0.2758,0.0283,12.1577,0.0421
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_38	-46571.45	93160.9	125848.2	10583.5	3.1808,5.8892,1.0106,1.7224,2.0173,0.607,0.011,10.5495,0.035
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_39	-56985.94	113989.88	774366.05	4885.12	1.4773,4.807,1.6648,5.2796,6.5164,0.558,0.0343,15.9217,0.1345
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_40	-48642.27	97302.54	240107.98	11893.52	2.8362,3.2337,1.0268,1.6693,3.9282,0.6264,0.0211,8.8875,0.0424
