Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, T)
no_mig	Round_3_Replicate_6	-37819.6	75645.2	130419.38	29535.46	0.6503,0.1135,0.0314
no_mig	Round_3_Replicate_7	-34406.79	68819.58	85417.59	33827.12	0.234,0.1015,0.0306
no_mig	Round_3_Replicate_8	-30698.95	61403.9	95554.74	33150.15	0.1946,0.0538,0.0149
no_mig	Round_3_Replicate_9	-33792.34	67590.68	101553.31	31660.4	0.3538,0.0849,0.0249
no_mig	Round_3_Replicate_10	-34800.37	69606.74	132469.99	30641.95	0.4025,0.0397,0.0111
no_mig	Round_3_Replicate_11	-31649.94	63305.88	107059.73	32860.16	0.2211,0.0798,0.0193
no_mig	Round_3_Replicate_12	-33403.16	66812.32	106811.69	32959.09	0.2285,0.119,0.0261
no_mig	Round_3_Replicate_13	-30411.07	60828.14	91521.76	34543.21	0.1295,0.0608,0.0145
no_mig	Round_3_Replicate_14	-40985.75	81977.5	105788.26	32452.9	0.2504,0.2534,0.0465
no_mig	Round_3_Replicate_15	-40725.43	81456.86	166899.56	28955.13	0.5893,0.244,0.0495
no_mig	Round_3_Replicate_16	-34084.23	68174.46	123193.85	30984.82	0.393,0.0709,0.0191
no_mig	Round_3_Replicate_17	-41005.64	82017.28	153560.25	29016.8	0.5659,0.2628,0.054
no_mig	Round_3_Replicate_18	-32528.36	65062.72	95643.23	33791.64	0.1869,0.0989,0.0229
no_mig	Round_3_Replicate_19	-39010.23	78026.46	136018.32	29183.75	0.6586,0.1589,0.041
no_mig	Round_3_Replicate_20	-34187.76	68381.52	105782.89	31224.03	0.3919,0.0705,0.0213
no_mig	Round_3_Replicate_21	-31505.88	63017.76	115508.67	32599.03	0.2219,0.0705,0.0169
no_mig	Round_3_Replicate_22	-32289.59	64585.18	82285.81	34311.58	0.1889,0.072,0.0219
no_mig	Round_3_Replicate_23	-29311.99	58629.98	85582.4	34443.19	0.1179,0.0385,0.0107
no_mig	Round_3_Replicate_24	-30656.15	61318.3	93378.96	34165.32	0.15,0.0662,0.0161
no_mig	Round_3_Replicate_25	-32713.48	65432.96	114017.78	31556.32	0.2755,0.0383,0.011
no_mig	Round_3_Replicate_26	-38717.6	77441.2	151127.56	29280.65	0.6266,0.1613,0.0383
no_mig	Round_3_Replicate_27	-36870.8	73747.6	116979.46	30014.94	0.5883,0.0882,0.0266
no_mig	Round_3_Replicate_28	-43223.1	86452.2	178271.27	28070.5	0.6854,0.2979,0.0591
no_mig	Round_3_Replicate_29	-33946.61	67899.22	119909.37	33350.82	0.1818,0.1221,0.0225
no_mig	Round_3_Replicate_30	-35655.24	71316.48	175297.64	32170.61	0.2269,0.1437,0.023
no_mig	Round_4_Replicate_1	-29498.66	59003.32	89558.28	34048.17	0.1321,0.0408,0.0112
no_mig	Round_4_Replicate_2	-29331.41	58668.82	81600.74	35465.17	0.0871,0.0385,0.01
no_mig	Round_4_Replicate_3	-29083.49	58172.98	85288.08	34734.65	0.1036,0.0371,0.01
no_mig	Round_4_Replicate_4	-29120.33	58246.66	89745.93	34363.31	0.1117,0.0378,0.01
no_mig	Round_4_Replicate_5	-29136.81	58279.62	82739.72	34973.1	0.0997,0.0369,0.0101
no_mig	Round_4_Replicate_6	-29562.59	59131.18	83796.59	34240.46	0.1257,0.035,0.0105
no_mig	Round_4_Replicate_7	-29718.37	59442.74	92756.94	33892.3	0.1422,0.0459,0.0122
no_mig	Round_4_Replicate_8	-29607.45	59220.9	99765.43	33847.08	0.1322,0.0454,0.0112
no_mig	Round_4_Replicate_9	-30013.64	60033.28	89351.8	33725.36	0.1563,0.0442,0.0126
no_mig	Round_4_Replicate_10	-29848.5	59703.0	86590.48	34165.17	0.1418,0.046,0.0129
no_mig	Round_4_Replicate_11	-29318.82	58643.64	97098.69	34099.14	0.1179,0.0415,0.0103
no_mig	Round_4_Replicate_12	-29895.77	59797.54	96190.8	33590.27	0.1536,0.0466,0.0123
no_mig	Round_4_Replicate_13	-29888.77	59783.54	91393.06	33592.05	0.1524,0.0406,0.0115
no_mig	Round_4_Replicate_14	-29138.63	58283.26	85104.8	34665.11	0.1073,0.0373,0.0102
no_mig	Round_4_Replicate_15	-29736.96	59479.92	92901.18	33743.5	0.1459,0.0434,0.0118
no_mig	Round_4_Replicate_16	-29724.6	59455.2	101777.67	33815.91	0.1343,0.0476,0.0116
no_mig	Round_4_Replicate_17	-29401.57	58809.14	87528.31	34091.46	0.1264,0.0366,0.0104
no_mig	Round_4_Replicate_18	-29548.94	59103.88	86334.27	34446.96	0.125,0.0439,0.012
no_mig	Round_4_Replicate_19	-29598.8	59203.6	84674.73	34421.31	0.1276,0.0421,0.0119
no_mig	Round_4_Replicate_20	-29352.77	58711.54	84854.09	34804.07	0.109,0.0416,0.0111
no_mig	Round_4_Replicate_21	-29136.99	58279.98	85573.32	34518.56	0.1104,0.0362,0.01
no_mig	Round_4_Replicate_22	-29127.47	58260.94	88741.32	34365.66	0.1125,0.0373,0.01
no_mig	Round_4_Replicate_23	-29235.78	58477.56	89185.56	34507.19	0.1115,0.0408,0.0106
no_mig	Round_4_Replicate_24	-29276.94	58559.88	82837.01	34788.05	0.1088,0.038,0.0107
no_mig	Round_4_Replicate_25	-29106.16	58218.32	84038.07	34795.45	0.1033,0.0367,0.0101
no_mig	Round_4_Replicate_26	-29427.49	58860.98	89569.04	34240.59	0.1253,0.0424,0.0113
no_mig	Round_4_Replicate_27	-29894.96	59795.92	108605.55	33566.15	0.1392,0.0478,0.0113
no_mig	Round_4_Replicate_28	-29462.12	58930.24	98430.98	33945.32	0.1259,0.0432,0.0108
no_mig	Round_4_Replicate_29	-29091.47	58188.94	85277.58	34773.99	0.1027,0.0374,0.01
no_mig	Round_4_Replicate_30	-29233.28	58472.56	84843.39	34698.17	0.1093,0.039,0.0106
no_mig	Round_4_Replicate_31	-29136.01	58278.02	84400.37	34895.03	0.1008,0.038,0.0102
no_mig	Round_4_Replicate_32	-29764.66	59535.32	87722.74	34386.97	0.1315,0.0487,0.0129
no_mig	Round_4_Replicate_33	-29109.16	58224.32	85309.8	34626.19	0.1072,0.0366,0.01
no_mig	Round_4_Replicate_34	-29217.49	58440.98	92807.42	34298.76	0.1136,0.0404,0.0103
no_mig	Round_4_Replicate_35	-29166.01	58338.02	86341.89	34444.76	0.1129,0.0367,0.0101
no_mig	Round_4_Replicate_36	-29248.18	58502.36	81511.99	35060.54	0.1006,0.0376,0.0104
no_mig	Round_4_Replicate_37	-29090.87	58187.74	85499.79	34780.72	0.1023,0.0376,0.01
no_mig	Round_4_Replicate_38	-29612.95	59231.9	101209.56	33712.17	0.1347,0.0438,0.0109
no_mig	Round_4_Replicate_39	-29196.92	58399.84	82568.33	35213.57	0.0929,0.038,0.0101
no_mig	Round_4_Replicate_40	-29645.2	59296.4	105114.92	33744.84	0.1295,0.0448,0.0107
