Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, T)
no_mig	Round_3_Replicate_29	-42133.35	84272.7	160623.64	28490.69	14.6532,0.0356,0.0105
no_mig	Round_3_Replicate_30	-39396.52	78799.04	104417.88	30161.07	0.5625,0.1341,0.0454
no_mig	Round_4_Replicate_1	-29164.85	58335.7	91788.32	34267.54	0.114,0.0387,0.0101
no_mig	Round_4_Replicate_2	-29568.14	59142.28	88108.45	35215.03	0.0896,0.0434,0.0103
no_mig	Round_4_Replicate_3	-29080.13	58166.26	85856.61	34725.47	0.1034,0.0374,0.01
no_mig	Round_4_Replicate_4	-29348.18	58702.36	90310.92	34155.86	0.1242,0.0402,0.0108
no_mig	Round_4_Replicate_5	-29108.01	58222.02	84281.87	34960.58	0.098,0.0377,0.01
no_mig	Round_4_Replicate_6	-29237.85	58481.7	84560.2	35129.32	0.0941,0.0396,0.0102
no_mig	Round_4_Replicate_7	-29142.41	58290.82	83305.33	34926.21	0.1009,0.0373,0.0102
no_mig	Round_4_Replicate_8	-29255.38	58516.76	93322.1	34185.1	0.1178,0.0403,0.0104
no_mig	Round_4_Replicate_9	-29456.79	58919.58	94665.46	34254.04	0.1197,0.045,0.0112
no_mig	Round_4_Replicate_10	-29714.4	59434.8	98750.28	33941.22	0.1333,0.0485,0.0119
no_mig	Round_4_Replicate_11	-29455.86	58917.72	91275.95	34278.49	0.1232,0.0443,0.0115
no_mig	Round_4_Replicate_12	-29354.97	58715.94	87856.77	34392.69	0.1199,0.0413,0.0111
no_mig	Round_4_Replicate_13	-29998.87	60003.74	97406.53	33330.3	0.1601,0.0427,0.0116
no_mig	Round_4_Replicate_14	-29365.41	58736.82	91405.16	34256.0	0.1212,0.0425,0.011
no_mig	Round_4_Replicate_15	-29567.55	59141.1	91153.2	34002.86	0.1351,0.0432,0.0116
no_mig	Round_4_Replicate_16	-29405.51	58817.02	80405.01	35082.91	0.1043,0.0383,0.0109
no_mig	Round_4_Replicate_17	-29102.29	58210.58	87068.59	34736.62	0.1024,0.0385,0.0101
no_mig	Round_4_Replicate_18	-29122.36	58250.72	85800.56	34653.34	0.1067,0.0376,0.0102
no_mig	Round_4_Replicate_19	-29374.09	58754.18	90071.01	34658.25	0.1079,0.0438,0.0109
no_mig	Round_4_Replicate_20	-29568.85	59143.7	87037.0	34561.22	0.1208,0.0458,0.0121
no_mig	Round_4_Replicate_21	-29966.5	59939.0	100001.09	33770.64	0.1456,0.0524,0.0129
no_mig	Round_4_Replicate_22	-29928.75	59863.5	105783.12	33288.99	0.1515,0.0435,0.011
no_mig	Round_4_Replicate_23	-29435.17	58876.34	94885.55	34012.73	0.1272,0.0427,0.011
no_mig	Round_4_Replicate_24	-29271.5	58549.0	84849.44	34552.63	0.1142,0.0382,0.0106
no_mig	Round_4_Replicate_25	-29112.31	58230.62	86393.32	34620.86	0.107,0.0377,0.0101
no_mig	Round_4_Replicate_26	-29236.4	58478.8	92434.63	34385.89	0.1117,0.0412,0.0104
no_mig	Round_4_Replicate_27	-29152.88	58311.76	92555.24	34288.32	0.1122,0.039,0.01
no_mig	Round_4_Replicate_28	-29170.63	58347.26	82869.22	35149.41	0.0944,0.0379,0.0101
no_mig	Round_4_Replicate_29	-29322.05	58650.1	81285.33	35146.77	0.0998,0.0387,0.0107
no_mig	Round_4_Replicate_30	-29363.27	58732.54	91724.35	34055.93	0.1261,0.0401,0.0107
no_mig	Round_4_Replicate_31	-29188.9	58383.8	89896.81	34324.01	0.1149,0.0388,0.0103
no_mig	Round_4_Replicate_32	-29246.2	58498.4	92300.67	34170.65	0.1188,0.0396,0.0103
no_mig	Round_4_Replicate_33	-29227.19	58460.38	84038.13	35056.53	0.0976,0.0394,0.0104
no_mig	Round_4_Replicate_34	-29113.74	58233.48	85272.43	34681.39	0.106,0.0372,0.0101
no_mig	Round_4_Replicate_35	-29790.99	59587.98	98961.46	33804.26	0.1406,0.0489,0.0122
no_mig	Round_4_Replicate_36	-31561.68	63129.36	102801.71	32425.79	0.2428,0.0575,0.0159
no_mig	Round_4_Replicate_37	-29279.19	58564.38	87023.52	34657.79	0.1099,0.0412,0.0108
no_mig	Round_4_Replicate_38	-30458.0	60922.0	100563.37	33390.34	0.1746,0.0585,0.0148
no_mig	Round_4_Replicate_39	-31210.43	62426.86	106330.97	32958.3	0.2074,0.0704,0.0173
no_mig	Round_4_Replicate_40	-29109.08	58224.16	89825.35	34437.78	0.1092,0.0383,0.01
