Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sym_mig_size	Round_2_Replicate_12	-50585.11	101184.22	201834.61	22037.23	0.765,2.2751,1.5456,0.1358,6.3786,0.514,0.1859
sym_mig_size	Round_2_Replicate_13	-39804.02	79622.04	92587.83	48874.59	1.0275,1.2679,0.2429,0.1429,4.2649,0.0674,0.3864
sym_mig_size	Round_2_Replicate_14	-102456.0	204926.0	342553.73	36966.2	0.6092,1.9713,0.292,0.2964,0.9093,0.0672,0.5709
sym_mig_size	Round_2_Replicate_15	-66068.3	132150.6	558699.81	20721.47	1.2355,0.715,2.4457,0.2862,4.5061,0.1512,0.1597
sym_mig_size	Round_2_Replicate_16	-61611.41	123236.82	181231.9	18474.09	3.4779,0.7611,1.0728,0.6757,1.0393,0.1078,0.8948
sym_mig_size	Round_2_Replicate_17	-44705.8	89425.6	106189.4	47159.13	3.2705,4.4824,0.2618,0.1713,3.4598,0.0427,0.5089
sym_mig_size	Round_2_Replicate_18	-49982.97	99979.94	159135.06	20332.43	1.4492,1.5779,1.1178,0.1516,4.0963,0.5358,0.122
sym_mig_size	Round_2_Replicate_19	-97274.59	194563.18	53808918.4	16830.18	2.3341,1.2675,0.8585,1.2134,8.6953,0.0522,1.2268
sym_mig_size	Round_2_Replicate_20	-65888.32	131790.64	156282.63	24158.84	1.7897,4.3572,0.2497,0.5063,1.9189,0.3431,0.1179
sym_mig_size	Round_3_Replicate_1	-60514.62	121043.24	186605.16	59898.28	2.635,2.0475,0.2914,0.0755,3.8076,0.0362,0.5822
sym_mig_size	Round_3_Replicate_2	-64509.64	129033.28	980916.28	56233.82	3.7549,0.5329,0.1143,0.407,16.1893,0.0401,0.5651
sym_mig_size	Round_3_Replicate_3	-41709.02	83432.04	146477.28	27765.45	0.6481,4.6853,0.8257,0.2092,4.2376,0.0452,0.1685
sym_mig_size	Round_3_Replicate_4	-33642.9	67299.8	120561.58	81154.22	0.9717,0.3905,0.1857,0.088,13.1107,0.0794,0.5138
sym_mig_size	Round_3_Replicate_5	-36850.3	73714.6	140430.81	34002.59	2.7744,1.0621,0.6129,0.09,9.7274,0.0487,0.1487
sym_mig_size	Round_3_Replicate_6	-41944.49	83902.98	234057.7	42158.82	2.7006,4.6754,0.2748,0.2773,7.2321,0.0277,0.6533
sym_mig_size	Round_3_Replicate_7	-130108.42	260230.84	349101.9	42152.41	0.2963,2.376,0.1028,0.5035,2.0021,0.0401,0.5001
sym_mig_size	Round_3_Replicate_8	-57966.23	115946.46	160279.4	117699.01	0.2974,0.9627,0.1325,0.0769,5.9261,0.245,1.1146
sym_mig_size	Round_3_Replicate_9	-67360.8	134735.6	193888.39	43170.08	0.5262,0.383,0.2179,0.0974,2.0507,0.0297,0.1226
sym_mig_size	Round_3_Replicate_10	-60188.87	120391.74	183765.98	29091.46	0.7405,1.5298,0.8152,0.1117,2.63,0.113,0.1902
sym_mig_size	Round_3_Replicate_11	-37551.97	75117.94	116942.81	30494.62	1.3863,4.9355,0.6033,0.0775,9.3782,0.1828,0.12
sym_mig_size	Round_3_Replicate_12	-47651.84	95317.68	120476.41	182777.14	1.5365,0.8465,0.0824,0.0595,13.1916,0.0921,1.2222
sym_mig_size	Round_3_Replicate_13	-162743.53	325501.06	660921.92	62213.21	0.422,0.3535,0.0976,0.2133,1.1614,0.1722,0.8488
sym_mig_size	Round_3_Replicate_14	-35137.98	70289.96	80063.38	47473.27	2.5493,0.6637,0.2303,0.1538,5.236,0.0871,0.3379
sym_mig_size	Round_3_Replicate_15	-45900.9	91815.8	112001.78	38414.44	0.2741,0.935,0.3644,0.2553,2.7782,0.1334,0.7985
sym_mig_size	Round_3_Replicate_16	-74543.54	149101.08	216145.03	48173.32	0.3585,0.941,0.2558,0.1966,1.7931,0.068,0.9018
sym_mig_size	Round_3_Replicate_17	-61725.92	123465.84	145556.06	27896.24	3.3001,0.9126,0.2906,0.4785,1.4212,0.1977,0.1438
sym_mig_size	Round_3_Replicate_18	-59257.99	118529.98	174562.81	24354.32	0.5485,2.7186,0.7796,0.3371,1.2788,0.0244,1.4756
sym_mig_size	Round_3_Replicate_19	-37509.05	75032.1	119869.17	61539.94	0.5926,0.3605,0.3311,0.0837,10.1482,0.2311,0.5209
sym_mig_size	Round_3_Replicate_20	-38276.11	76566.22	109615.87	61412.29	1.7247,0.7367,0.193,0.1666,7.4826,0.0747,0.6651
sym_mig_size	Round_3_Replicate_21	-100105.92	200225.84	250439.06	43241.95	1.2051,2.0835,0.1544,0.4542,1.9395,0.0708,1.2008
sym_mig_size	Round_3_Replicate_22	-25518.64	51051.28	73246.78	42572.55	3.8969,1.8698,0.2217,0.0814,10.976,0.0175,0.0972
