Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2)
sec_contact_asym_mig	Round_4_Replicate_15	-24912.39	49836.78	70692.09	17566.78	0.5956,0.3518,5.5714,2.4601,3.511,0.2631
sec_contact_asym_mig	Round_4_Replicate_16	-30118.33	60248.66	99168.54	11902.21	1.0601,0.3047,4.5722,1.8406,6.2698,0.3828
sec_contact_asym_mig	Round_4_Replicate_17	-23758.21	47528.42	53669.2	17218.26	0.4373,0.2529,4.5883,2.9914,5.0926,0.422
sec_contact_asym_mig	Round_4_Replicate_18	-27161.68	54335.36	61986.74	14305.3	0.9284,0.3018,2.3573,2.4355,4.2865,0.5321
sec_contact_asym_mig	Round_4_Replicate_19	-25223.25	50458.5	82435.3	13570.05	0.3975,0.4796,6.9399,1.278,9.4412,0.4256
sec_contact_asym_mig	Round_4_Replicate_20	-22723.8	45459.6	56157.79	13732.44	0.5135,0.2712,4.8534,2.4799,8.4408,0.5544
sec_contact_asym_mig	Round_4_Replicate_21	-25478.15	50968.3	62704.41	17866.34	0.5011,0.4268,5.2075,1.948,3.4764,0.2851
sec_contact_asym_mig	Round_4_Replicate_22	-32104.76	64221.52	71565.69	15999.83	0.7984,0.275,3.344,1.7772,3.7417,0.3004
sec_contact_asym_mig	Round_4_Replicate_23	-32086.32	64184.64	83327.69	21110.19	0.5884,0.2788,4.9641,1.6472,3.0439,0.3964
sec_contact_asym_mig	Round_4_Replicate_24	-27700.53	55413.06	59130.37	18924.96	0.3878,0.3185,4.1839,1.7982,4.325,0.4237
sec_contact_asym_mig	Round_4_Replicate_25	-22838.67	45689.34	68500.33	15032.35	0.3131,0.3421,8.5803,1.5793,11.8021,0.4225
sec_contact_asym_mig	Round_4_Replicate_26	-21660.06	43332.12	59297.47	11742.86	0.5012,0.2227,6.3178,3.4571,8.5147,0.3124
sec_contact_asym_mig	Round_4_Replicate_27	-24484.06	48980.12	63871.45	25245.9	0.3789,0.1918,6.2829,4.2938,2.9016,0.3585
