Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sec_contact_sym_mig_size	Round_4_Replicate_13	-43773.27	87560.54	141854.56	10342.2	28.9227,0.1822,1.9271,0.832,1.1723,0.153,9.7612
sec_contact_sym_mig_size	Round_4_Replicate_14	-46268.64	92551.28	130490.09	7082.95	8.778,0.2644,2.4701,1.4927,0.6185,0.1828,9.8032
sec_contact_sym_mig_size	Round_4_Replicate_15	-44441.07	88896.14	119884.05	8281.22	11.3864,0.3938,2.1727,1.0912,0.7212,0.1379,27.9946
sec_contact_sym_mig_size	Round_4_Replicate_16	-48118.54	96251.08	136979.68	10483.48	8.029,0.3432,2.1898,0.6465,1.0182,0.1325,28.403
sec_contact_sym_mig_size	Round_4_Replicate_17	-43714.9	87443.8	169146.7	9876.96	7.7752,0.1231,2.0727,0.8485,1.306,0.2235,25.8564
sec_contact_sym_mig_size	Round_4_Replicate_18	-45339.6	90693.2	125947.12	9147.13	10.4923,0.5034,2.2103,0.8635,0.8457,0.0532,19.4748
sec_contact_sym_mig_size	Round_4_Replicate_19	-45942.83	91899.66	133005.0	12077.82	23.8465,0.4595,1.786,0.6282,1.2128,0.2349,8.0267
sec_contact_sym_mig_size	Round_4_Replicate_20	-43155.23	86324.46	183731.01	7994.24	8.4365,0.3838,2.1949,1.2539,1.0633,0.0732,17.2522
sec_contact_sym_mig_size	Round_4_Replicate_21	-60705.86	121425.72	187169.18	8272.16	20.6972,0.1297,2.9718,0.6531,0.5949,0.205,28.9671
sec_contact_sym_mig_size	Round_4_Replicate_22	-47378.39	94770.78	132529.89	7029.65	15.4309,0.154,2.4647,1.5619,0.5883,0.0944,9.1864
sec_contact_sym_mig_size	Round_4_Replicate_23	-48766.85	97547.7	497390.54	6771.2	24.1275,0.2533,2.5952,1.5747,1.2865,0.0711,14.3636
sec_contact_sym_mig_size	Round_4_Replicate_24	-47038.59	94091.18	126058.13	10551.28	11.0687,0.1904,1.7611,0.8294,0.8195,0.1601,9.2668
