Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1f, nu2f, T)
schange	Round_2_Replicate_24	-240103.87	480217.74	444052.66	254932.39	0.5597,0.8095,0.2112,0.3852,0.1188
schange	Round_2_Replicate_25	-1782914.63	3565839.26	33570660.09	297558.18	0.2953,0.7587,0.2831,0.2111,0.7326
schange	Round_2_Replicate_26	-898454.21	1796918.42	5330600.74	225837.11	0.4859,0.8286,0.59,0.2925,0.61
schange	Round_2_Replicate_27	-644650.13	1289310.26	2687703.69	136415.86	1.211,4.0593,1.2964,0.5595,0.8819
schange	Round_2_Replicate_28	-202786.36	405582.72	403169.8	238879.68	3.2403,1.5371,0.217,0.247,0.1959
schange	Round_2_Replicate_29	-371876.57	743763.14	792872.41	189676.38	1.7287,1.5307,1.4044,0.1589,0.1907
schange	Round_2_Replicate_30	-1244990.67	2489991.34	13171067.72	114828.1	1.1715,1.5699,1.5859,0.7737,1.576
schange	Round_3_Replicate_1	-186333.71	372677.42	409679.06	282040.7	2.1507,0.2087,0.1444,0.1048,0.0822
schange	Round_3_Replicate_2	-267661.24	535332.48	529427.73	213775.95	0.957,2.3456,0.4585,0.3508,0.2389
schange	Round_3_Replicate_3	-174506.71	349023.42	353967.86	266112.32	3.7787,0.2887,0.1379,0.2201,0.1024
schange	Round_3_Replicate_4	-303822.87	607655.74	622269.47	194426.5	7.1883,1.4651,0.2875,0.719,0.2795
schange	Round_3_Replicate_5	-270868.82	541747.64	490415.7	239482.17	1.2866,2.1525,0.1817,0.3976,0.1765
schange	Round_3_Replicate_6	-168475.13	336960.26	342423.62	282964.81	1.1141,0.3497,0.1583,0.1835,0.115
schange	Round_3_Replicate_7	-179687.95	359385.9	330326.88	282851.54	10.164,0.1736,0.0664,0.4782,0.1079
schange	Round_3_Replicate_8	-218735.77	437481.54	405072.19	247014.67	2.1331,0.9292,0.1716,0.3704,0.162
schange	Round_3_Replicate_9	-475499.6	951009.2	1666858.94	252247.3	4.3591,2.0496,0.2598,0.1169,0.386
schange	Round_3_Replicate_10	-698286.13	1396582.26	3169731.52	251626.21	3.086,0.3999,0.2477,0.2922,0.4731
schange	Round_3_Replicate_11	-588439.05	1176888.1	2254473.44	290115.82	5.7306,0.2739,0.1492,0.191,0.313
schange	Round_3_Replicate_12	-293759.28	587528.56	577299.86	205031.96	5.9771,0.5612,0.2569,0.9876,0.26
schange	Round_3_Replicate_13	-432706.15	865422.3	1233510.89	207596.78	11.906,0.2209,0.3827,0.3294,0.2548
schange	Round_3_Replicate_14	-225405.12	450820.24	404460.74	257557.4	6.3466,0.2283,0.0941,0.9494,0.1247
schange	Round_3_Replicate_15	-237759.07	475528.14	420757.22	273090.05	1.7232,0.6872,0.0835,0.3726,0.1063
schange	Round_3_Replicate_16	-257048.18	514106.36	590956.19	260104.88	1.1402,0.4034,0.2237,0.3577,0.2026
schange	Round_3_Replicate_17	-465533.21	931076.42	1610633.64	236993.37	1.0539,2.6995,0.397,0.1794,0.4296
schange	Round_3_Replicate_18	-250503.08	501016.16	565515.38	229292.36	10.6289,0.4602,0.21,0.3872,0.235
schange	Round_3_Replicate_19	-351240.76	702491.52	866270.31	207385.78	1.2242,0.7634,0.4284,0.6222,0.3408
schange	Round_3_Replicate_20	-407320.61	814651.22	1252481.32	188697.1	8.223,0.9462,0.3907,0.447,0.4835
schange	Round_3_Replicate_21	-233990.79	467991.58	509005.93	228391.57	15.2961,0.6036,0.1926,0.3583,0.2321
schange	Round_3_Replicate_22	-260141.91	520293.82	473182.11	283486.0	2.9787,0.8491,0.0479,0.2917,0.0814
schange	Round_3_Replicate_23	-281987.73	563985.46	507287.72	248407.31	1.5059,2.4335,0.1338,0.3678,0.1673
schange	Round_3_Replicate_24	-247684.26	495378.52	463262.29	281540.6	7.9366,0.2842,0.0405,0.59,0.0741
schange	Round_3_Replicate_25	-262357.8	524725.6	487156.42	228890.26	2.4506,0.4029,0.2146,0.9297,0.1872
schange	Round_3_Replicate_26	-308667.36	617344.72	600873.5	213627.54	16.4039,0.8746,0.1421,1.0801,0.2142
schange	Round_3_Replicate_27	-1068073.07	2136156.14	6957174.9	340882.41	0.8313,0.197,0.1622,0.2031,0.3829
schange	Round_3_Replicate_28	-229397.5	458805.0	481786.83	237152.81	5.1243,0.3319,0.2252,0.3796,0.1775
schange	Round_3_Replicate_29	-299110.3	598230.6	597956.41	203375.16	5.407,0.7659,0.2658,0.9234,0.2398
schange	Round_3_Replicate_30	-241315.64	482641.28	534820.43	245176.48	6.3799,0.3592,0.2278,0.1254,0.0995
schange	Round_3_Replicate_31	-120000.19	240010.38	234679.14	310714.38	1.9576,0.6312,0.0615,0.0586,0.0596
schange	Round_3_Replicate_32	-952997.08	1906004.16	5737799.48	281450.98	0.7867,0.3273,0.269,0.2782,0.4851
schange	Round_3_Replicate_33	-609894.86	1219799.72	2168664.74	268294.37	0.958,0.3517,0.1908,0.5158,0.367
schange	Round_3_Replicate_34	-759719.17	1519448.34	3473707.85	276018.96	0.7629,2.5158,0.2326,0.1833,0.5041
schange	Round_3_Replicate_35	-135529.68	271069.36	252727.54	303572.25	11.2962,0.6544,0.0458,0.106,0.0794
schange	Round_3_Replicate_36	-219379.59	438769.18	469131.54	247240.26	1.9644,0.3062,0.2795,0.2074,0.1054
schange	Round_3_Replicate_37	-530251.78	1060513.56	4519132.26	188225.1	11.6264,0.8805,0.41,0.9598,0.1607
schange	Round_3_Replicate_38	-744842.78	1489695.56	3311170.57	323242.08	0.8947,0.205,0.1812,0.1896,0.301
schange	Round_3_Replicate_39	-165002.2	330014.4	305443.39	282367.0	3.2408,0.8335,0.0897,0.1785,0.1146
schange	Round_3_Replicate_40	-348355.16	696720.32	730853.81	251329.67	1.236,0.9403,0.0965,0.8024,0.0962
schange	Round_3_Replicate_41	-324628.72	649267.44	858052.69	248731.61	8.6882,0.9736,0.1441,0.3296,0.3264
schange	Round_3_Replicate_42	-162179.21	324368.42	330786.0	279572.6	1.235,0.2369,0.1559,0.1465,0.0798
schange	Round_3_Replicate_43	-263567.85	527145.7	565464.51	206307.45	2.2732,2.1858,0.4253,0.3191,0.2896
schange	Round_3_Replicate_44	-198776.18	397562.36	435113.1	257772.53	1.8367,0.3963,0.2239,0.14,0.0889
schange	Round_3_Replicate_45	-215644.52	431299.04	401028.67	250710.27	3.6659,0.3597,0.1446,0.5621,0.1572
schange	Round_3_Replicate_46	-280055.67	560121.34	565653.92	217545.14	1.5697,0.2658,0.4461,0.7194,0.184
schange	Round_3_Replicate_47	-190431.17	380872.34	367081.86	251938.47	5.353,0.6508,0.1445,0.3028,0.1536
schange	Round_3_Replicate_48	-206357.77	412725.54	366780.37	292902.03	7.6935,0.209,0.0487,0.5053,0.1013
schange	Round_3_Replicate_49	-188660.68	377331.36	385361.22	252159.25	15.7939,0.8047,0.1252,0.2536,0.1851
schange	Round_3_Replicate_50	-332971.19	665952.38	868030.81	210482.55	1.6745,0.9757,0.4315,0.4039,0.349
schange	Round_4_Replicate_1	-121913.64	243837.28	241125.15	309906.93	1.5681,0.3665,0.0629,0.0643,0.0532
schange	Round_4_Replicate_2	-128532.97	257075.94	250918.18	299863.49	2.5452,0.7637,0.0773,0.0795,0.0775
schange	Round_4_Replicate_3	-116940.36	233890.72	230492.81	315802.31	1.3628,0.7612,0.0625,0.046,0.0554
schange	Round_4_Replicate_4	-131307.31	262624.62	255531.33	303918.25	3.3949,0.5511,0.0674,0.0949,0.0814
schange	Round_4_Replicate_5	-119769.92	239549.84	231792.1	317298.42	2.0638,0.5246,0.0532,0.0617,0.0593
schange	Round_4_Replicate_6	-122235.0	244480.0	229106.15	323259.83	1.4296,0.4313,0.0445,0.0631,0.0509
schange	Round_4_Replicate_7	-116917.33	233844.66	225344.36	322035.42	1.2616,0.3252,0.0492,0.0583,0.0479
schange	Round_4_Replicate_8	-127640.42	255290.84	250915.8	300586.65	1.1152,0.989,0.1005,0.0642,0.073
schange	Round_4_Replicate_9	-112146.68	224303.36	220218.1	321863.07	1.5924,1.0772,0.0492,0.0345,0.0487
schange	Round_4_Replicate_10	-122413.02	244836.04	234593.64	313313.23	1.4389,0.3933,0.06,0.0735,0.0571
schange	Round_4_Replicate_11	-131834.65	263679.3	255426.0	299350.59	1.7858,0.4727,0.0825,0.0967,0.0733
schange	Round_4_Replicate_12	-110897.45	221804.9	217504.12	330285.42	1.4346,0.8108,0.041,0.0315,0.0438
schange	Round_4_Replicate_13	-114193.74	228397.48	225704.34	321362.61	1.6861,0.8494,0.0518,0.0392,0.0522
schange	Round_4_Replicate_14	-108659.62	217329.24	209172.08	335997.37	1.2414,0.5434,0.0307,0.0283,0.0344
schange	Round_4_Replicate_15	-111590.77	223191.54	219781.95	326093.28	3.4445,0.8917,0.0376,0.0351,0.0488
schange	Round_4_Replicate_16	-119462.81	238935.62	235896.88	314330.58	1.2435,0.8787,0.071,0.0493,0.0618
schange	Round_4_Replicate_17	-118635.49	237280.98	237331.39	311951.68	1.1745,0.867,0.0715,0.0418,0.0542
schange	Round_4_Replicate_18	-127922.95	255855.9	254096.93	306409.29	2.215,0.522,0.0738,0.0775,0.0739
schange	Round_4_Replicate_19	-119921.25	239852.5	235244.79	312656.98	2.6331,0.5625,0.0563,0.0608,0.0612
schange	Round_4_Replicate_20	-125274.46	250558.92	254085.74	307983.59	2.8529,1.1173,0.072,0.0554,0.0773
schange	Round_4_Replicate_21	-120889.8	241789.6	238810.14	313842.4	1.1578,0.4067,0.0684,0.0599,0.0557
schange	Round_4_Replicate_22	-120133.91	240277.82	232050.48	311765.98	2.2948,0.6176,0.0554,0.0616,0.0589
schange	Round_4_Replicate_23	-109327.85	218665.7	213474.96	328953.34	1.4747,0.3746,0.0328,0.0328,0.0339
schange	Round_4_Replicate_24	-108980.32	217970.64	214954.67	326993.96	2.4099,0.8446,0.0349,0.0283,0.0398
schange	Round_4_Replicate_25	-119463.62	238937.24	229584.77	317059.39	1.2874,1.2108,0.0621,0.0487,0.0613
schange	Round_4_Replicate_26	-119689.37	239388.74	223811.46	329023.05	1.5067,0.3051,0.0352,0.0585,0.043
