Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, TB, TF)
three_epoch	Round_3_Replicate_42	-45090.9	90189.8	83587.98	40439.26	9.7822,1.5471,29.7538,0.3565
three_epoch	Round_3_Replicate_43	-12464.7	24937.4	23167.17	189554.96	17.5753,0.159,4.5268,0.1577
three_epoch	Round_3_Replicate_44	-13370.93	26749.86	24795.22	107289.75	8.2693,0.3288,18.9029,0.2925
three_epoch	Round_3_Replicate_45	-7988.95	15985.9	15023.13	192332.22	18.361,0.0751,6.7943,0.0938
three_epoch	Round_3_Replicate_46	-21563.23	43134.46	40079.2	33109.61	19.2848,0.6681,25.8845,0.2522
three_epoch	Round_3_Replicate_47	-8602.43	17212.86	16142.6	87506.01	19.1499,0.2032,23.1901,0.2521
three_epoch	Round_3_Replicate_48	-23868.13	47744.26	43639.71	99015.92	7.7503,0.6974,20.3614,0.6107
three_epoch	Round_3_Replicate_49	-36919.18	73846.36	67052.95	296758.26	7.3792,0.3445,1.9188,0.3536
three_epoch	Round_3_Replicate_50	-19091.06	38190.12	35109.14	153108.69	10.0076,0.3394,5.6084,0.2921
three_epoch	Round_4_Replicate_1	-6299.0	12606.0	11922.8	92028.09	21.9022,0.0608,16.5058,0.0683
three_epoch	Round_4_Replicate_2	-7313.48	14634.96	13786.02	123278.79	11.9128,0.0953,20.84,0.119
three_epoch	Round_4_Replicate_3	-6467.78	12943.56	12233.46	73203.96	17.3156,0.0909,29.2471,0.0971
three_epoch	Round_4_Replicate_4	-5603.17	11214.34	10638.95	84486.6	27.7601,0.0344,27.865,0.0491
three_epoch	Round_4_Replicate_5	-5487.15	10982.3	10424.49	95661.21	23.7776,0.0246,29.7045,0.0371
three_epoch	Round_4_Replicate_6	-6259.16	12526.32	11849.14	97029.97	19.6597,0.0663,24.0576,0.0889
three_epoch	Round_4_Replicate_7	-5775.17	11558.34	10956.65	87960.75	20.6613,0.0427,27.6165,0.0565
three_epoch	Round_4_Replicate_8	-6281.71	12571.42	11890.6	303806.53	8.609,0.0227,11.77,0.0392
three_epoch	Round_4_Replicate_9	-6850.33	13708.66	12936.37	157998.17	13.2448,0.0593,11.7887,0.0765
three_epoch	Round_4_Replicate_10	-6472.17	12952.34	12241.28	138095.45	9.8958,0.0532,19.7303,0.0641
three_epoch	Round_4_Replicate_11	-5459.04	10926.08	10372.41	134311.88	9.908,0.0139,27.533,0.0172
three_epoch	Round_4_Replicate_12	-5498.26	11004.52	10445.02	86067.42	26.8012,0.0274,29.5417,0.04
three_epoch	Round_4_Replicate_13	-7205.49	14418.98	13588.57	95590.43	12.787,0.1113,24.5684,0.1212
three_epoch	Round_4_Replicate_14	-6066.9	12141.8	11494.88	106279.31	18.9629,0.0512,22.333,0.0704
three_epoch	Round_4_Replicate_15	-6581.79	13171.58	12442.86	94827.21	19.535,0.085,23.0873,0.1103
three_epoch	Round_4_Replicate_16	-6194.42	12396.84	11730.0	90073.68	14.2641,0.0606,26.2011,0.0672
three_epoch	Round_4_Replicate_17	-6788.87	13585.74	12823.63	163703.21	9.448,0.0538,12.112,0.0634
three_epoch	Round_4_Replicate_18	-7511.04	15030.08	14149.45	117414.53	10.9587,0.097,14.4309,0.0978
three_epoch	Round_4_Replicate_19	-5871.01	11750.02	11133.57	86696.05	24.855,0.0448,20.3474,0.0551
three_epoch	Round_4_Replicate_20	-6653.03	13314.06	12574.07	105249.3	16.5133,0.0754,16.9386,0.0881
three_epoch	Round_4_Replicate_21	-5316.6	10641.2	10108.9	110252.61	21.0382,0.0119,23.4753,0.0176
three_epoch	Round_4_Replicate_22	-6265.44	12538.88	11860.71	93024.91	25.4027,0.0691,21.7444,0.0937
three_epoch	Round_4_Replicate_23	-5357.81	10723.62	10185.22	106380.06	24.2681,0.0154,26.8374,0.0242
three_epoch	Round_4_Replicate_24	-6920.09	13848.18	13065.25	74651.99	17.3401,0.1156,24.6841,0.1189
three_epoch	Round_4_Replicate_25	-5451.77	10911.54	10358.94	87654.69	24.2018,0.0206,23.5037,0.027
three_epoch	Round_4_Replicate_26	-8286.43	16580.86	15567.69	187015.79	5.6861,0.0816,11.5048,0.081
three_epoch	Round_4_Replicate_27	-8052.83	16113.66	15141.4	126159.59	11.6036,0.1092,11.5543,0.1105
three_epoch	Round_4_Replicate_28	-6050.94	12109.88	11465.48	74467.83	24.9621,0.067,26.4706,0.0826
three_epoch	Round_4_Replicate_29	-5490.45	10988.9	10430.58	149459.37	29.9112,0.0156,13.9715,0.0246
three_epoch	Round_4_Replicate_30	-8510.0	17028.0	15977.06	134440.44	8.5325,0.1167,12.4178,0.1114
three_epoch	Round_4_Replicate_31	-6089.94	12187.88	11537.38	73241.48	28.2954,0.0711,25.6087,0.0889
three_epoch	Round_4_Replicate_32	-6746.16	13500.32	12746.01	69739.48	17.0011,0.104,26.2547,0.1009
three_epoch	Round_4_Replicate_33	-6948.61	13905.22	13117.14	74845.68	17.5704,0.1257,29.6406,0.1397
three_epoch	Round_4_Replicate_34	-5399.27	10806.54	10261.86	154386.53	11.1761,0.0108,17.419,0.0145
three_epoch	Round_4_Replicate_35	-6661.29	13330.58	12589.45	59752.64	26.4409,0.1274,29.1593,0.1398
three_epoch	Round_4_Replicate_36	-5610.86	11229.72	10653.14	78205.08	29.0592,0.0366,28.2185,0.0504
three_epoch	Round_4_Replicate_37	-7462.83	14933.66	14060.83	150319.67	11.2383,0.0758,9.749,0.0817
three_epoch	Round_4_Replicate_38	-5869.85	11747.7	11131.44	77858.92	29.3304,0.0563,29.7578,0.0794
three_epoch	Round_4_Replicate_39	-5318.42	10644.84	10112.22	101932.38	23.7556,0.0115,21.0581,0.016
three_epoch	Round_4_Replicate_40	-7845.44	15698.88	14764.64	128867.79	7.8975,0.0864,12.3676,0.0737
three_epoch	Round_4_Replicate_41	-6550.41	13108.82	12385.42	66767.84	24.8538,0.1088,26.9459,0.1238
three_epoch	Round_4_Replicate_42	-5580.85	11169.7	10597.63	89092.06	26.9347,0.0277,21.0025,0.036
three_epoch	Round_4_Replicate_43	-6467.32	12942.64	12232.33	121575.87	18.6876,0.0609,15.6212,0.0803
three_epoch	Round_4_Replicate_44	-6068.87	12145.74	11498.5	91600.53	28.8661,0.0606,25.2504,0.0894
three_epoch	Round_4_Replicate_45	-6474.06	12956.12	12245.22	79696.69	18.7564,0.0789,20.8254,0.0828
three_epoch	Round_4_Replicate_46	-5842.04	11692.08	11080.09	66427.25	27.8156,0.0569,29.397,0.0694
three_epoch	Round_4_Replicate_47	-6362.48	12732.96	12039.31	141667.69	11.6143,0.0502,22.9143,0.0696
three_epoch	Round_4_Replicate_48	-6473.07	12954.14	12243.01	157039.78	27.2334,0.0456,9.3871,0.0607
three_epoch	Round_4_Replicate_49	-7329.14	14666.28	13817.26	116970.05	15.7025,0.0809,10.5964,0.0802
three_epoch	Round_4_Replicate_50	-6111.56	12231.12	11577.19	94017.18	20.5212,0.0604,25.7977,0.0822
three_epoch	Round_4_Replicate_51	-5751.79	11511.58	10913.52	95186.07	28.7512,0.041,29.2801,0.0653
three_epoch	Round_4_Replicate_52	-6382.22	12772.44	12076.01	71204.45	17.6966,0.0857,29.3732,0.0903
three_epoch	Round_4_Replicate_53	-7022.69	14053.38	13254.04	87858.3	12.8391,0.099,21.8104,0.0954
three_epoch	Round_4_Replicate_54	-6356.34	12720.68	12028.07	71671.78	28.4308,0.0959,29.6036,0.1264
three_epoch	Round_4_Replicate_55	-5491.55	10991.1	10432.5	69856.98	28.8244,0.0278,28.9022,0.0353
three_epoch	Round_4_Replicate_56	-5633.53	11275.06	10695.07	252572.05	22.2118,0.0124,7.5151,0.0198
three_epoch	Round_4_Replicate_57	-7781.9	15571.8	14645.88	191646.02	13.9172,0.0647,5.9767,0.0708
three_epoch	Round_4_Replicate_58	-5433.68	10875.36	10325.53	83711.53	25.5976,0.0225,28.2324,0.0312
three_epoch	Round_4_Replicate_59	-6312.17	12632.34	11946.81	88361.06	18.1622,0.0728,24.6223,0.0884
three_epoch	Round_4_Replicate_60	-5467.35	10942.7	10387.92	228581.1	22.6368,0.0105,24.6993,0.0238
three_epoch	Round_4_Replicate_61	-5378.31	10764.62	10223.13	134417.49	13.496,0.0128,27.7218,0.0189
three_epoch	Round_4_Replicate_62	-5809.15	11626.3	11019.38	104742.08	15.3757,0.0372,24.7463,0.0478
three_epoch	Round_4_Replicate_63	-6467.15	12942.3	12232.08	65987.82	29.5774,0.1089,28.4264,0.134
three_epoch	Round_4_Replicate_64	-5462.36	10932.72	10378.63	200598.43	7.886,0.0108,21.3194,0.0152
