Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_2_Replicate_11	-98903.15	197814.3	255992.24	16525.37	0.4026,1.722,0.9823,3.0954
sym_mig	Round_2_Replicate_12	-89538.26	179084.52	7056922.53	9809.62	1.5775,2.5274,2.5157,2.3726
sym_mig	Round_2_Replicate_13	-85790.62	171589.24	1647567.56	13240.8	1.6456,1.7306,1.7972,0.9588
sym_mig	Round_2_Replicate_14	-82289.88	164587.76	265269.22	16066.3	1.164,1.7585,0.6942,0.6218
sym_mig	Round_2_Replicate_15	-103822.82	207653.64	319268.48	15896.08	0.7165,2.2461,0.5645,0.8934
sym_mig	Round_2_Replicate_16	-87615.77	175239.54	213287.56	28198.86	0.2613,0.782,1.5824,9.2419
sym_mig	Round_2_Replicate_17	-102206.72	204421.44	427058.49	24435.69	0.7582,0.3509,0.5587,0.9582
sym_mig	Round_2_Replicate_18	-120970.03	241948.06	496665.59	29726.7	0.4145,0.3467,0.5601,1.9283
sym_mig	Round_2_Replicate_19	-127939.1	255886.2	385651.17	13884.63	0.2905,3.6504,1.2739,5.2872
sym_mig	Round_2_Replicate_20	-52481.63	104971.26	149713.79	19188.73	1.1678,0.3417,1.4865,5.3616
sym_mig	Round_3_Replicate_1	-49500.84	99009.68	232063.24	17334.85	1.4403,0.4389,2.5754,2.7495
sym_mig	Round_3_Replicate_2	-42267.61	84543.22	143245.32	32573.2	0.5418,0.295,3.8034,2.6684
sym_mig	Round_3_Replicate_3	-56474.63	112957.26	1142917.9	5440.4	4.3881,1.4963,1.4332,24.6808
sym_mig	Round_3_Replicate_4	-45423.18	90854.36	120840.74	12145.49	1.2106,0.9576,1.0474,12.1361
sym_mig	Round_3_Replicate_5	-70548.92	141105.84	7164179.64	5038.28	4.2691,1.8362,2.1081,28.0874
sym_mig	Round_3_Replicate_6	-61311.95	122631.9	498976.69	16917.55	2.2122,0.3306,3.9274,13.8467
sym_mig	Round_3_Replicate_7	-42501.44	85010.88	144704.34	33693.11	0.5232,0.2885,3.9186,14.1993
sym_mig	Round_3_Replicate_8	-44513.4	89034.8	133109.73	20464.5	0.7119,0.5881,2.048,5.4046
sym_mig	Round_3_Replicate_9	-44280.72	88569.44	128005.21	12736.4	1.2399,0.8756,1.2191,7.404
sym_mig	Round_3_Replicate_10	-59388.28	118784.56	184573.33	8496.54	3.7682,0.6015,1.0158,8.5216
sym_mig	Round_3_Replicate_11	-56761.03	113530.06	146621.34	26667.1	0.5306,0.4174,1.4149,29.8072
sym_mig	Round_3_Replicate_12	-60256.96	120521.92	157812.62	14946.61	0.9195,0.7625,0.7302,10.4846
sym_mig	Round_3_Replicate_13	-74474.13	148956.26	474090.0	12421.45	3.8859,0.44,2.5496,2.2434
sym_mig	Round_3_Replicate_14	-67633.22	135274.44	192826.45	19699.26	0.7197,0.5262,0.8016,29.0205
sym_mig	Round_3_Replicate_15	-45078.68	90165.36	206311.35	11742.72	1.8514,0.6832,1.7388,20.0628
sym_mig	Round_3_Replicate_16	-43634.99	87277.98	170727.52	47816.25	0.4245,0.177,6.3482,26.2945
sym_mig	Round_3_Replicate_17	-74421.33	148850.66	260204.1	8105.69	3.456,0.5979,0.5091,7.0204
sym_mig	Round_3_Replicate_18	-55744.23	111496.46	1328798.73	8778.64	2.3064,1.0595,2.3426,24.3021
sym_mig	Round_3_Replicate_19	-44462.37	88932.74	145266.01	18192.3	1.024,0.5376,1.9618,3.1137
sym_mig	Round_3_Replicate_20	-57031.63	114071.26	248154.05	12034.02	0.8073,1.6412,1.5542,14.5319
sym_mig	Round_3_Replicate_21	-53482.04	106972.08	155029.43	10681.54	1.3177,1.4561,0.8747,4.5274
sym_mig	Round_3_Replicate_22	-66529.72	133067.44	1362236.61	19147.25	0.4694,1.254,4.8132,20.1935
sym_mig	Round_3_Replicate_23	-42634.47	85276.94	133552.3	20248.16	0.8524,0.4881,2.1842,7.0938
sym_mig	Round_3_Replicate_24	-48791.15	97590.3	288055.76	36377.89	0.3429,0.4065,5.4411,10.6225
sym_mig	Round_3_Replicate_25	-46444.97	92897.94	271404.21	11692.69	1.7814,0.7588,1.8546,6.8741
sym_mig	Round_3_Replicate_26	-51622.4	103252.8	223847.13	19727.45	1.4536,0.3154,3.1615,4.5689
sym_mig	Round_3_Replicate_27	-46214.75	92437.5	255211.11	14250.63	0.9713,0.9184,2.0802,16.9201
sym_mig	Round_3_Replicate_28	-44545.73	89099.46	171106.57	9212.88	1.5415,1.3586,1.116,25.0484
sym_mig	Round_3_Replicate_29	-48819.05	97646.1	147005.49	8877.04	2.8057,0.7227,0.9986,28.7749
sym_mig	Round_3_Replicate_30	-56312.19	112632.38	185996.77	9921.59	2.3731,1.0156,0.8648,3.3599
sym_mig	Round_4_Replicate_1	-44776.08	89560.16	159512.3	22705.08	0.798,0.4556,2.5748,1.6488
sym_mig	Round_4_Replicate_2	-42387.57	84783.14	150609.29	36315.14	0.4887,0.2651,4.3827,3.1547
sym_mig	Round_4_Replicate_3	-42488.44	84984.88	138090.45	33245.34	0.5278,0.2921,3.7259,4.7162
sym_mig	Round_4_Replicate_4	-44446.16	88900.32	197864.5	22686.6	0.8836,0.3925,3.1631,2.7042
sym_mig	Round_4_Replicate_5	-43715.79	87439.58	178501.79	24619.02	0.7438,0.398,3.1747,1.9315
sym_mig	Round_4_Replicate_6	-44998.7	90005.4	151065.86	29636.09	0.4656,0.4325,3.2711,4.5149
sym_mig	Round_4_Replicate_7	-44303.96	88615.92	136548.06	24881.74	0.7782,0.3642,2.6049,1.4134
sym_mig	Round_4_Replicate_8	-43659.25	87326.5	121095.07	27550.11	0.6083,0.3651,2.5495,2.1605
sym_mig	Round_4_Replicate_9	-42854.04	85716.08	149211.02	27456.55	0.5851,0.3942,3.18,4.153
sym_mig	Round_4_Replicate_10	-42380.65	84769.3	138274.31	32976.12	0.522,0.2998,3.7045,3.1891
sym_mig	Round_4_Replicate_11	-42878.73	85765.46	152856.76	24543.43	0.7345,0.3932,2.9387,3.0029
sym_mig	Round_4_Replicate_12	-42461.6	84931.2	144134.56	48879.08	0.3601,0.1988,5.6764,3.7065
sym_mig	Round_4_Replicate_13	-43257.39	86522.78	123792.57	40154.72	0.4005,0.2626,3.9018,4.3464
sym_mig	Round_4_Replicate_14	-45017.6	90043.2	176036.37	22759.66	0.9179,0.3785,2.9396,1.966
sym_mig	Round_4_Replicate_15	-42680.77	85369.54	152055.41	20303.93	0.8498,0.4953,2.4174,5.8915
sym_mig	Round_4_Replicate_16	-43217.91	86443.82	145567.99	25231.58	0.7385,0.3702,2.899,2.0208
sym_mig	Round_4_Replicate_17	-42453.42	84914.84	138054.36	38937.59	0.4522,0.2481,4.3743,3.8638
sym_mig	Round_4_Replicate_18	-42197.2	84402.4	136047.49	37008.47	0.457,0.2696,4.1292,2.5616
sym_mig	Round_4_Replicate_19	-42550.59	85109.18	146519.65	27461.41	0.6261,0.365,3.1989,3.4326
sym_mig	Round_4_Replicate_20	-42426.27	84860.54	143580.01	29440.6	0.6151,0.3185,3.4444,2.4619
sym_mig	Round_4_Replicate_21	-45038.06	90084.12	201521.62	25558.92	0.8414,0.3199,3.6978,1.9441
sym_mig	Round_4_Replicate_22	-42517.76	85043.52	148010.3	27574.33	0.637,0.3549,3.2561,4.9986
sym_mig	Round_4_Replicate_23	-42495.86	84999.72	137971.14	36965.68	0.4913,0.252,4.1807,3.5946
sym_mig	Round_4_Replicate_24	-42608.64	85225.28	139806.91	35118.38	0.5308,0.2579,4.0332,3.5774
sym_mig	Round_4_Replicate_25	-43192.96	86393.92	192734.83	28159.83	0.6383,0.3455,3.8822,7.5215
sym_mig	Round_4_Replicate_26	-46235.46	92478.92	161588.57	23208.95	0.9529,0.3516,2.7811,1.3821
sym_mig	Round_4_Replicate_27	-42783.61	85575.22	159551.41	29283.77	0.5605,0.3623,3.5683,6.3869
sym_mig	Round_4_Replicate_28	-42040.48	84088.96	132520.13	32923.62	0.5615,0.269,3.7175,1.8216
sym_mig	Round_4_Replicate_29	-41186.42	82380.84	139359.62	35418.13	0.4985,0.2585,4.277,1.4906
sym_mig	Round_4_Replicate_30	-44537.29	89082.58	159749.06	24054.47	0.8511,0.3606,2.9258,1.6561
sym_mig	Round_4_Replicate_31	-42520.27	85048.54	149465.19	28522.32	0.6191,0.3412,3.3967,4.4165
sym_mig	Round_4_Replicate_32	-42647.33	85302.66	138560.92	22249.41	0.795,0.4352,2.4857,5.0547
sym_mig	Round_4_Replicate_33	-42967.8	85943.6	155408.68	22915.09	0.825,0.3979,2.8184,4.3172
sym_mig	Round_4_Replicate_34	-45321.9	90651.8	151647.1	21924.26	0.8847,0.4391,2.3862,1.6597
sym_mig	Round_4_Replicate_35	-43948.29	87904.58	185107.17	26622.24	0.5918,0.4293,3.4107,1.788
sym_mig	Round_4_Replicate_36	-42596.3	85200.6	143362.73	22809.72	0.7658,0.4318,2.6162,5.1317
sym_mig	Round_4_Replicate_37	-42743.27	85494.54	149538.37	23991.39	0.7352,0.4099,2.8273,3.6411
sym_mig	Round_4_Replicate_38	-42491.77	84991.54	150479.98	40010.52	0.43,0.2501,4.7664,3.9761
sym_mig	Round_4_Replicate_39	-43800.42	87608.84	144600.04	24570.66	0.7959,0.3628,2.7912,1.8595
sym_mig	Round_4_Replicate_40	-40240.23	80488.46	129147.5	46836.81	0.3491,0.2028,5.5035,1.3025
