Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, T3)
sec_contact_asym_mig_three_epoch	Round_4_Replicate_13	-66646.59	133307.18	190069.12	1598.93	11.2849,4.848,0.3674,0.302,29.8724,1.8373,0.0761
sec_contact_asym_mig_three_epoch	Round_4_Replicate_14	-68347.57	136709.14	176791.23	1646.44	11.0737,8.1338,0.3682,0.4644,20.3317,2.0646,0.1924
sec_contact_asym_mig_three_epoch	Round_4_Replicate_15	-58169.25	116352.5	162422.76	1366.96	17.6504,4.4001,0.4334,0.4039,29.853,1.1985,0.0741
sec_contact_asym_mig_three_epoch	Round_4_Replicate_16	-82258.25	164530.5	256885.32	1979.01	12.4031,4.364,0.3377,0.6204,14.8003,1.8689,0.0822
sec_contact_asym_mig_three_epoch	Round_4_Replicate_17	-68791.31	137596.62	187545.84	2351.41	7.673,4.2926,0.7856,0.6532,17.3089,1.7315,0.1199
sec_contact_asym_mig_three_epoch	Round_4_Replicate_18	-69234.37	138482.74	191409.74	1196.52	18.9451,8.2004,0.4773,0.4137,28.1572,3.0422,0.0992
sec_contact_asym_mig_three_epoch	Round_4_Replicate_19	-60751.96	121517.92	148523.97	1392.82	12.3531,8.1744,0.3403,0.4409,29.0906,2.2888,0.3045
sec_contact_asym_mig_three_epoch	Round_4_Replicate_20	-48476.24	96966.48	108298.43	1720.42	9.2719,5.6159,0.5141,0.6739,28.1849,1.3956,0.1062
sec_contact_asym_mig_three_epoch	Round_4_Replicate_21	-60737.79	121489.58	138340.81	1578.28	8.4381,10.6125,0.5569,0.8425,26.1355,1.9483,0.1987
sec_contact_asym_mig_three_epoch	Round_4_Replicate_22	-76186.1	152386.2	189385.05	1458.45	8.8621,11.0045,0.8031,0.6246,27.7599,3.2437,0.0933
sec_contact_asym_mig_three_epoch	Round_4_Replicate_23	-63364.18	126742.36	178056.87	1070.77	17.6699,14.2786,0.4823,0.6463,28.4313,2.7423,0.1476
sec_contact_asym_mig_three_epoch	Round_4_Replicate_24	-56235.55	112485.1	139884.98	1677.82	10.1397,7.6819,0.4137,0.6562,23.6048,1.1438,0.0852
sec_contact_asym_mig_three_epoch	Round_4_Replicate_25	-55026.26	110066.52	142287.56	1521.46	16.0033,4.0773,0.8668,0.6658,28.177,1.595,0.3146
sec_contact_asym_mig_three_epoch	Round_4_Replicate_26	-54021.62	108057.24	132922.44	1747.33	10.0817,3.9545,0.3823,0.6218,29.0356,1.2597,0.1172
sec_contact_asym_mig_three_epoch	Round_4_Replicate_27	-46997.47	94008.94	113269.29	1314.52	13.8278,9.2806,0.5858,0.4653,29.8305,1.468,0.0905
