Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, T)
bottlegrowth	Round_4_Replicate_67	-4254.17	8514.34	8278.67	277955.62	0.8614,0.023,0.0104
bottlegrowth	Round_4_Replicate_68	-4231.25	8468.5	8229.32	276753.33	0.7093,0.0238,0.0101
bottlegrowth	Round_4_Replicate_69	-4269.58	8545.16	8297.91	275409.52	1.0862,0.0241,0.0107
bottlegrowth	Round_4_Replicate_70	-4241.83	8489.66	8248.05	276364.88	1.0372,0.0224,0.0101
bottlegrowth	Round_4_Replicate_71	-4285.52	8577.04	8333.99	276448.92	1.1807,0.0229,0.0104
bottlegrowth	Round_4_Replicate_72	-4220.01	8446.02	8202.83	275775.07	0.7456,0.0238,0.01
bottlegrowth	Round_4_Replicate_73	-4245.24	8496.48	8249.35	275219.58	0.9616,0.024,0.0105
bottlegrowth	Round_4_Replicate_74	-4763.43	9532.86	9287.06	279647.79	2.461,0.0353,0.0179
bottlegrowth	Round_4_Replicate_75	-4220.14	8446.28	8204.17	276016.49	0.8176,0.0234,0.0101
bottlegrowth	Round_4_Replicate_76	-4257.1	8520.2	8274.27	275605.46	1.0952,0.0228,0.0101
bottlegrowth	Round_4_Replicate_77	-4345.41	8696.82	8450.82	276279.11	1.3335,0.0254,0.0116
bottlegrowth	Round_4_Replicate_78	-4239.24	8484.48	8245.51	276930.97	0.9562,0.0228,0.0103
bottlegrowth	Round_4_Replicate_79	-4247.27	8500.54	8261.15	276826.34	0.7992,0.0242,0.0105
bottlegrowth	Round_4_Replicate_80	-4409.72	8825.44	8574.72	275952.18	1.4918,0.0266,0.0121
bottlegrowth	Round_4_Replicate_81	-4226.18	8458.36	8210.59	274933.97	0.7346,0.0244,0.0101
bottlegrowth	Round_4_Replicate_82	-4233.44	8472.88	8232.22	276436.8	0.8365,0.0237,0.0103
bottlegrowth	Round_4_Replicate_83	-8214.01	16434.02	16114.08	309145.98	3.0166,0.0412,0.011
bottlegrowth	Round_4_Replicate_84	-4563.95	9133.9	8882.97	276906.33	1.9352,0.0338,0.0167
bottlegrowth	Round_4_Replicate_85	-4255.29	8516.58	8264.15	274383.79	1.0037,0.024,0.0104
bottlegrowth	Round_4_Replicate_86	-4234.08	8474.16	8230.03	275756.12	1.0059,0.0226,0.01
bottlegrowth	Round_4_Replicate_87	-4540.56	9087.12	8837.45	277012.38	1.8772,0.0322,0.0156
bottlegrowth	Round_4_Replicate_88	-4431.81	8869.62	8623.24	276830.6	1.5637,0.0284,0.0134
bottlegrowth	Round_4_Replicate_89	-4349.44	8704.88	8458.76	276344.85	1.3432,0.0245,0.0111
bottlegrowth	Round_4_Replicate_90	-4837.49	9680.98	9433.09	279469.62	2.8109,0.0407,0.0219
