Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu, T)
growth	Round_4_Replicate_60	-4233.83	8471.66	8232.07	276292.92	0.0225,0.0101
growth	Round_4_Replicate_61	-4286.47	8576.94	8330.38	275246.09	0.026,0.0114
growth	Round_4_Replicate_62	-4244.18	8492.36	8244.93	274818.61	0.0234,0.0102
growth	Round_4_Replicate_63	-4268.47	8540.94	8292.61	274815.41	0.025,0.0109
growth	Round_4_Replicate_64	-4232.25	8468.5	8229.54	276426.27	0.0223,0.01
growth	Round_4_Replicate_65	-4234.02	8472.04	8231.2	276020.08	0.0227,0.0101
growth	Round_4_Replicate_66	-4232.94	8469.88	8228.13	275823.93	0.0226,0.01
growth	Round_4_Replicate_67	-4232.39	8468.78	8228.23	276073.38	0.0225,0.01
growth	Round_4_Replicate_68	-4239.42	8482.84	8239.31	275504.64	0.0232,0.0102
growth	Round_4_Replicate_69	-4235.61	8475.22	8232.96	275733.3	0.0229,0.0101
growth	Round_4_Replicate_70	-4232.55	8469.1	8227.35	275822.84	0.0226,0.01
growth	Round_4_Replicate_71	-4243.0	8490.0	8242.98	274884.58	0.0234,0.0102
growth	Round_4_Replicate_72	-4233.06	8470.12	8227.4	275628.48	0.0227,0.01
growth	Round_4_Replicate_73	-4236.01	8476.02	8236.63	276350.84	0.0226,0.0102
growth	Round_4_Replicate_74	-4232.25	8468.5	8227.01	275872.58	0.0226,0.01
growth	Round_4_Replicate_75	-4249.43	8502.86	8267.08	277341.06	0.0225,0.0103
growth	Round_4_Replicate_76	-4238.48	8480.96	8236.28	275281.54	0.0231,0.0101
growth	Round_4_Replicate_77	-4233.53	8471.06	8229.17	275798.0	0.0227,0.0101
growth	Round_4_Replicate_78	-4232.97	8469.94	8231.55	276563.75	0.0223,0.01
growth	Round_4_Replicate_79	-4244.03	8492.06	8250.92	276014.39	0.0234,0.0104
growth	Round_4_Replicate_80	-4233.86	8471.72	8227.07	275259.53	0.0228,0.01
growth	Round_4_Replicate_81	-4239.58	8483.16	8242.09	276002.58	0.0231,0.0103
growth	Round_4_Replicate_82	-4232.8	8469.6	8228.12	275877.09	0.0226,0.01
growth	Round_4_Replicate_83	-4235.79	8475.58	8233.61	275792.87	0.0229,0.0101
growth	Round_4_Replicate_84	-4237.39	8478.78	8236.54	275750.15	0.023,0.0102
growth	Round_4_Replicate_85	-4234.65	8473.3	8231.18	275758.94	0.0228,0.0101
growth	Round_4_Replicate_86	-4234.75	8473.5	8230.61	275605.83	0.0228,0.0101
growth	Round_4_Replicate_87	-4239.6	8483.2	8237.16	275039.01	0.0232,0.0101
growth	Round_4_Replicate_88	-4247.83	8499.66	8254.67	275278.41	0.0238,0.0105
growth	Round_4_Replicate_89	-4252.72	8509.44	8257.47	274117.23	0.0237,0.0102
growth	Round_4_Replicate_90	-4233.07	8470.14	8226.43	275431.57	0.0227,0.01
growth	Round_4_Replicate_91	-4245.13	8494.26	8248.98	275211.28	0.0236,0.0104
growth	Round_4_Replicate_92	-4231.85	8467.7	8227.34	276110.33	0.0224,0.01
growth	Round_4_Replicate_93	-4241.05	8486.1	8237.88	274664.12	0.0232,0.0101
growth	Round_4_Replicate_94	-4244.16	8492.32	8249.47	275666.35	0.0235,0.0104
growth	Round_4_Replicate_95	-4261.09	8526.18	8280.78	275286.17	0.0246,0.0108
growth	Round_4_Replicate_96	-4232.92	8469.84	8229.2	276056.03	0.0226,0.0101
growth	Round_4_Replicate_97	-4232.45	8468.9	8227.87	275970.7	0.0225,0.01
growth	Round_4_Replicate_98	-4237.46	8478.92	8232.39	274936.85	0.023,0.01
growth	Round_4_Replicate_99	-4235.86	8475.72	8232.97	275639.33	0.0229,0.0101
growth	Round_4_Replicate_100	-4233.59	8471.18	8233.29	276690.08	0.0222,0.01
