Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2)
anc_asym_mig	Round_4_Replicate_20	-41743.62	83499.24	181366.41	33013.37	0.4659,0.23,0.1789,19.2963,0.1244,0.0177
anc_asym_mig	Round_4_Replicate_21	-44292.17	88596.34	125415.26	30046.07	0.5951,0.2528,0.3621,10.6296,0.1449,0.0247
anc_asym_mig	Round_4_Replicate_22	-43741.03	87494.06	136722.08	28546.88	0.682,0.2526,0.2321,8.1135,0.0852,0.0206
anc_asym_mig	Round_4_Replicate_23	-41302.57	82617.14	134446.09	33112.25	0.4295,0.2648,0.1728,26.2549,0.0963,0.0329
anc_asym_mig	Round_4_Replicate_24	-47135.89	94283.78	219296.31	28301.48	0.5992,0.3884,0.1486,10.5398,0.0697,0.0272
anc_asym_mig	Round_4_Replicate_25	-36954.8	73921.6	141781.35	30096.53	0.5519,0.1311,0.6639,9.2763,0.0298,0.0103
anc_asym_mig	Round_4_Replicate_26	-43825.27	87662.54	178781.44	28043.25	0.6707,0.3161,0.4587,5.4966,0.0315,0.0354
anc_asym_mig	Round_4_Replicate_27	-37182.2	74376.4	116633.65	31203.61	0.4143,0.1801,0.4524,7.3137,0.0367,0.0154
anc_asym_mig	Round_4_Replicate_28	-39017.2	78046.4	125968.34	31520.01	0.5124,0.2096,0.4364,24.0959,0.0825,0.0292
anc_asym_mig	Round_4_Replicate_29	-45967.08	91946.16	161844.73	29673.33	0.4011,0.4345,0.1807,16.0458,0.026,0.0443
anc_asym_mig	Round_4_Replicate_30	-40880.62	81773.24	117085.91	31018.17	0.591,0.2312,0.2068,29.5404,0.1138,0.0428
anc_asym_mig	Round_4_Replicate_31	-52063.38	104138.76	172087.61	29590.39	0.4388,0.4809,0.459,6.6586,0.1064,0.0199
anc_asym_mig	Round_4_Replicate_32	-41169.04	82350.08	108633.32	30221.22	0.5826,0.1795,0.1732,8.738,0.0726,0.0187
anc_asym_mig	Round_4_Replicate_33	-46241.78	92495.56	192712.36	27949.52	0.6368,0.3849,0.3367,14.5766,0.0501,0.0414
anc_asym_mig	Round_4_Replicate_34	-40991.85	81995.7	155028.77	29325.87	0.5656,0.2471,0.2789,9.5706,0.0425,0.0235
anc_asym_mig	Round_4_Replicate_35	-37945.67	75903.34	117099.97	32609.91	0.5104,0.1709,0.2663,19.6625,0.1135,0.02
anc_asym_mig	Round_4_Replicate_36	-39142.1	78296.2	101462.86	31342.56	0.4681,0.1675,0.1732,8.2441,0.0534,0.0178
anc_asym_mig	Round_4_Replicate_37	-41090.34	82192.68	107536.88	30923.51	0.5231,0.1976,0.5383,8.7014,0.0882,0.0182
anc_asym_mig	Round_4_Replicate_38	-50302.68	100617.36	206956.24	27975.16	0.6508,0.3931,0.154,8.7351,0.1428,0.0211
anc_asym_mig	Round_4_Replicate_39	-46535.48	93082.96	159622.42	28992.97	0.5351,0.3667,0.272,6.1736,0.0865,0.0184
anc_asym_mig	Round_4_Replicate_40	-46581.97	93175.94	218944.52	29183.9	0.6534,0.3283,0.4784,17.5471,0.1631,0.0306
