Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
anc_asym_mig_size	Round_3_Replicate_25	-56058.21	112132.42	146235.11	3408.6	1.2404,9.5335,25.0379,0.4758,2.8849,0.0837,20.1066,0.2436
anc_asym_mig_size	Round_3_Replicate_26	-100443.84	200903.68	408443.64	15523.59	1.2198,0.5981,24.4097,0.9687,1.2455,0.197,26.64,0.047
anc_asym_mig_size	Round_3_Replicate_27	-88234.39	176484.78	226779.79	9265.11	0.2608,4.6984,27.8703,0.4774,2.3834,0.7515,7.1943,0.1472
anc_asym_mig_size	Round_3_Replicate_28	-53190.56	106397.12	118102.22	7029.82	0.6713,4.0528,14.6706,0.2213,1.4671,0.135,24.4281,0.0309
anc_asym_mig_size	Round_3_Replicate_29	-158012.9	316041.8	771364.85	12536.49	0.4929,3.2381,10.9834,0.2262,0.5527,0.7845,9.7859,0.2103
anc_asym_mig_size	Round_3_Replicate_30	-189547.74	379111.48	1072311.92	16912.86	0.3035,2.7592,12.1786,0.1142,0.4153,0.0884,2.4509,0.0607
anc_asym_mig_size	Round_4_Replicate_1	-44736.3	89488.6	164737.57	4512.78	3.2309,3.1987,17.5762,1.1231,0.8731,0.3783,23.5944,0.0529
anc_asym_mig_size	Round_4_Replicate_2	-48292.46	96600.92	172829.91	5673.85	2.6277,2.7981,21.9578,1.0282,1.1986,0.2882,23.961,0.0534
anc_asym_mig_size	Round_4_Replicate_3	-38921.21	77858.42	183751.99	2468.03	3.9242,9.5118,29.4104,0.4156,1.2243,0.76,29.7518,0.0735
anc_asym_mig_size	Round_4_Replicate_4	-41646.79	83309.58	214995.11	2380.46	3.699,9.9087,18.4593,0.9106,1.4337,0.3533,28.6335,0.133
anc_asym_mig_size	Round_4_Replicate_5	-52447.53	104911.06	116971.31	4410.25	1.3323,5.587,18.9831,0.7598,0.8007,0.2712,28.8969,0.0817
anc_asym_mig_size	Round_4_Replicate_6	-48636.91	97289.82	294154.96	5896.71	2.3293,2.8952,27.3161,0.751,2.2398,0.5573,28.3872,0.0699
anc_asym_mig_size	Round_4_Replicate_7	-41234.99	82485.98	119244.9	3552.94	2.861,5.2531,17.5211,0.8886,0.8195,0.3511,29.7223,0.1029
anc_asym_mig_size	Round_4_Replicate_8	-42055.01	84126.02	178615.79	4157.5	2.9016,5.2589,12.7608,0.4174,3.0029,0.4369,25.9752,0.0835
anc_asym_mig_size	Round_4_Replicate_9	-50058.66	100133.32	454494.29	5723.72	2.2807,3.1466,20.6538,0.8408,2.2753,0.5182,21.7027,0.0504
anc_asym_mig_size	Round_4_Replicate_10	-41580.07	83176.14	134407.24	2971.91	1.6592,8.8584,17.929,1.301,1.7156,0.2873,29.9851,0.1643
anc_asym_mig_size	Round_4_Replicate_11	-40224.21	80464.42	123873.18	3514.07	3.3271,5.2807,16.9523,0.5883,1.0132,0.3625,27.1664,0.0953
anc_asym_mig_size	Round_4_Replicate_12	-41325.41	82666.82	119384.3	3519.74	1.7099,8.0357,23.5134,0.7275,1.3961,0.6616,29.3592,0.1256
anc_asym_mig_size	Round_4_Replicate_13	-42280.91	84577.82	104329.51	2680.61	3.3844,9.9333,20.1826,0.3703,0.8086,0.4827,28.3892,0.1268
anc_asym_mig_size	Round_4_Replicate_14	-49728.84	99473.68	262272.24	3911.32	3.8951,3.5985,29.9958,1.2923,1.5349,0.6562,29.5973,0.1578
