Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu, T)
two_epoch	Round_4_Replicate_89	-7094.56	14193.12	13385.39	968906.87	0.01,0.01
two_epoch	Round_4_Replicate_90	-7121.7	14247.4	13435.27	958731.67	0.0102,0.0101
two_epoch	Round_4_Replicate_91	-7096.36	14196.72	13388.66	973498.05	0.01,0.0101
two_epoch	Round_4_Replicate_92	-7099.39	14202.78	13394.23	972836.57	0.01,0.0101
two_epoch	Round_4_Replicate_93	-7094.22	14192.44	13384.75	971689.02	0.01,0.01
two_epoch	Round_4_Replicate_94	-7093.11	14190.22	13382.73	970167.0	0.01,0.01
two_epoch	Round_4_Replicate_95	-7094.71	14193.42	13385.63	973416.75	0.01,0.01
two_epoch	Round_4_Replicate_96	-7117.77	14239.54	13427.83	995207.22	0.0101,0.0103
two_epoch	Round_4_Replicate_97	-7097.23	14198.46	13390.25	974750.09	0.01,0.0101
two_epoch	Round_4_Replicate_98	-7096.21	14196.42	13388.39	973862.56	0.01,0.0101
two_epoch	Round_4_Replicate_99	-7099.4	14202.8	13394.3	966141.77	0.01,0.01
two_epoch	Round_4_Replicate_100	-7094.22	14192.44	13384.75	971689.02	0.01,0.01
