Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2)
anc_asym_mig	Round_4_Replicate_14	-52096.79	104205.58	174341.94	16707.01	0.7848,1.3639,3.8774,0.1165,2.482,0.0187
anc_asym_mig	Round_4_Replicate_15	-50244.77	100501.54	140551.92	13408.21	0.8246,1.6901,2.734,0.2243,3.6382,0.0147
anc_asym_mig	Round_4_Replicate_16	-50270.02	100552.04	145229.17	18948.81	0.5425,1.244,4.5464,0.3707,1.9351,0.0173
anc_asym_mig	Round_4_Replicate_17	-47738.44	95488.88	127979.63	31440.58	0.4111,0.6175,6.4146,0.2569,1.1124,0.0114
anc_asym_mig	Round_4_Replicate_18	-53429.74	106871.48	164386.46	15780.8	0.6162,1.7226,3.9391,0.1339,1.91,0.0105
anc_asym_mig	Round_4_Replicate_19	-47885.38	95782.76	134824.0	20056.87	0.5622,1.0548,4.1726,0.3677,3.0392,0.0101
anc_asym_mig	Round_4_Replicate_20	-53689.6	107391.2	148259.58	16700.82	0.7222,1.3601,2.9475,0.3055,1.7246,0.014
anc_asym_mig	Round_4_Replicate_21	-49620.08	99252.16	146332.96	34745.45	0.3647,0.6036,8.3259,0.5324,3.4015,0.0159
anc_asym_mig	Round_4_Replicate_22	-48045.75	96103.5	166846.79	31857.15	0.3682,0.7005,8.8646,0.2421,1.7885,0.0115
anc_asym_mig	Round_4_Replicate_23	-51536.65	103085.3	172660.65	12624.82	1.078,1.6451,2.6701,0.2865,3.728,0.0244
anc_asym_mig	Round_4_Replicate_24	-47492.54	94997.08	133497.37	13377.63	0.7923,1.61,2.8308,0.2687,5.7617,0.0114
anc_asym_mig	Round_4_Replicate_25	-47907.66	95827.32	149168.5	19448.55	0.6454,1.02,4.3218,0.4843,4.8578,0.0173
anc_asym_mig	Round_4_Replicate_26	-57779.06	115570.12	229840.34	19835.79	1.1179,0.7551,3.973,0.5922,2.7004,0.0214
anc_asym_mig	Round_4_Replicate_27	-53773.63	107559.26	162681.79	16985.32	0.825,1.2194,2.8603,0.3853,1.5686,0.0107
anc_asym_mig	Round_4_Replicate_28	-51694.53	103401.06	144094.29	21975.05	0.6374,0.9197,3.9633,0.1422,3.7385,0.0104
anc_asym_mig	Round_4_Replicate_29	-52087.62	104187.24	142237.24	20556.8	0.7002,0.9162,3.3127,0.3416,1.5723,0.014
anc_asym_mig	Round_4_Replicate_30	-52201.94	104415.88	132543.08	16141.82	0.7247,1.354,2.6702,0.1402,2.9723,0.012
anc_asym_mig	Round_4_Replicate_31	-55148.29	110308.58	144041.96	21164.04	0.6561,0.8081,2.3226,0.5231,1.2995,0.0128
anc_asym_mig	Round_4_Replicate_32	-50325.36	100662.72	140729.07	12451.81	0.7688,1.9083,2.8019,0.2977,3.9395,0.0169
anc_asym_mig	Round_4_Replicate_33	-63638.34	127288.68	197664.96	19795.51	1.1432,0.7307,3.0209,0.2857,2.0043,0.0218
anc_asym_mig	Round_4_Replicate_34	-58635.05	117282.1	158524.94	25550.64	0.5363,0.5902,2.3606,0.5567,1.5627,0.0131
anc_asym_mig	Round_4_Replicate_35	-52290.06	104592.12	166220.1	19403.72	0.8458,0.9077,3.3912,0.4365,1.8349,0.0119
anc_asym_mig	Round_4_Replicate_36	-59889.87	119791.74	163013.35	16853.46	0.8096,1.38,2.3715,0.1107,1.199,0.0111
anc_asym_mig	Round_4_Replicate_37	-50359.9	100731.8	153746.0	25928.58	0.493,0.85,6.3904,0.1776,3.52,0.0195
anc_asym_mig	Round_4_Replicate_38	-53714.11	107440.22	140314.89	28435.17	0.4954,0.6825,4.6183,0.176,2.1473,0.0139
anc_asym_mig	Round_4_Replicate_39	-49029.5	98071.0	176056.03	13753.25	0.5376,1.8909,4.9481,0.271,4.6644,0.0129
anc_asym_mig	Round_4_Replicate_40	-57365.88	114743.76	210090.81	17101.17	0.949,1.2862,3.8995,0.1048,1.5508,0.031
