Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, T1, T2)
no_mig_size	Round_3_Replicate_7	-70776.62	141565.24	312971.08	21380.81	0.777,0.7391,2.5768,6.272,0.0873,0.0575
no_mig_size	Round_3_Replicate_8	-134069.51	268151.02	437078.32	16911.56	0.3126,1.4662,1.6399,5.8644,0.1647,0.2016
no_mig_size	Round_3_Replicate_9	-42670.28	85352.56	143577.83	29234.44	0.3865,0.2057,1.0731,4.0841,0.0402,0.0132
no_mig_size	Round_3_Replicate_10	-52931.32	105874.64	165083.54	25652.44	0.659,0.3108,1.5316,6.5673,0.0655,0.0277
no_mig_size	Round_3_Replicate_11	-69222.57	138457.14	205231.7	23066.47	0.2807,0.4967,2.8583,1.4823,0.0452,0.0806
no_mig_size	Round_3_Replicate_12	-80602.58	161217.16	199673.74	22384.33	0.3397,1.2032,3.009,0.9943,0.0937,0.0808
no_mig_size	Round_3_Replicate_13	-54044.64	108101.28	248456.82	26276.55	0.5262,0.7881,2.2535,0.5096,0.0697,0.015
no_mig_size	Round_3_Replicate_14	-67084.33	134180.66	229649.39	26109.67	0.2158,2.1924,1.0948,1.3769,0.0434,0.0401
no_mig_size	Round_3_Replicate_15	-68602.78	137217.56	317353.6	21183.79	1.1915,1.2045,1.4685,1.42,0.111,0.0538
no_mig_size	Round_3_Replicate_16	-76193.75	152399.5	270332.2	18895.3	2.6231,0.5197,2.6821,1.3425,0.0878,0.1022
no_mig_size	Round_3_Replicate_17	-89920.77	179853.54	381400.85	19109.98	0.3438,2.4188,5.7038,2.7526,0.0613,0.1105
no_mig_size	Round_3_Replicate_18	-60303.24	120618.48	249054.5	23741.09	0.7644,0.6183,8.7805,2.9671,0.0902,0.022
no_mig_size	Round_3_Replicate_19	-57187.57	114387.14	142482.6	27794.02	0.5944,0.2445,0.9551,0.8656,0.0902,0.0227
no_mig_size	Round_3_Replicate_20	-72682.19	145376.38	941901.18	22761.72	3.0919,1.2324,0.7617,4.282,0.0259,0.0895
no_mig_size	Round_3_Replicate_21	-57165.56	114343.12	252371.2	23849.14	2.6234,0.2028,3.1531,2.9859,0.048,0.0213
no_mig_size	Round_3_Replicate_22	-57458.13	114928.26	270172.43	25777.7	0.5496,0.9364,1.3727,1.3674,0.0814,0.0111
no_mig_size	Round_3_Replicate_23	-63423.08	126858.16	461492.92	24844.34	0.5147,1.057,6.5778,2.7931,0.0684,0.0185
no_mig_size	Round_3_Replicate_24	-69561.64	139135.28	187500.9	25557.33	0.2801,1.4159,7.8216,0.9796,0.0732,0.0298
no_mig_size	Round_3_Replicate_25	-54576.33	109164.66	178843.21	26631.22	0.3899,0.4406,2.6914,3.1866,0.0601,0.0241
no_mig_size	Round_3_Replicate_26	-73263.52	146539.04	410828.95	21400.13	0.7931,1.5093,4.8478,3.5139,0.1123,0.0325
no_mig_size	Round_3_Replicate_27	-71430.43	142872.86	289514.05	22167.02	0.6275,1.2463,10.3279,5.0998,0.1088,0.0309
no_mig_size	Round_3_Replicate_28	-77493.26	154998.52	750928.35	21288.17	0.6135,1.3812,1.6603,5.0286,0.0521,0.0789
no_mig_size	Round_3_Replicate_29	-56647.29	113306.58	132742.02	28078.11	0.3761,0.2829,7.6374,5.7997,0.0785,0.0202
no_mig_size	Round_3_Replicate_30	-83100.69	166213.38	231282.09	19005.2	0.8668,1.9394,1.6448,1.0434,0.1034,0.1884
no_mig_size	Round_4_Replicate_1	-45401.14	90814.28	164694.95	27408.59	0.6871,0.2533,1.3092,7.5233,0.0547,0.0101
no_mig_size	Round_4_Replicate_2	-39860.09	79732.18	165584.85	29904.84	0.308,0.1294,0.9803,2.8274,0.0241,0.0132
no_mig_size	Round_4_Replicate_3	-41498.73	83009.46	126653.7	29892.85	0.3464,0.1927,1.6411,3.1531,0.0406,0.0105
no_mig_size	Round_4_Replicate_4	-41469.56	82951.12	156605.43	29538.57	0.371,0.198,1.2244,6.7348,0.0368,0.0101
no_mig_size	Round_4_Replicate_5	-39618.67	79249.34	134989.5	29630.49	0.4791,0.1572,0.5543,2.0761,0.0348,0.0113
no_mig_size	Round_4_Replicate_6	-42652.03	85316.06	148947.96	28353.86	0.674,0.2243,0.543,2.103,0.0485,0.0111
no_mig_size	Round_4_Replicate_7	-42456.89	84925.78	166591.24	29173.38	0.436,0.2422,0.726,2.1952,0.0419,0.0102
no_mig_size	Round_4_Replicate_8	-36092.8	72197.6	104816.05	31413.54	0.26,0.0751,0.6824,2.7304,0.0201,0.0109
no_mig_size	Round_4_Replicate_9	-37741.87	75495.74	113501.41	30420.9	0.3337,0.0917,1.3434,4.5333,0.0248,0.0101
no_mig_size	Round_4_Replicate_10	-43449.16	86910.32	147759.31	29572.35	0.3379,0.2434,1.1034,5.6701,0.0418,0.0114
no_mig_size	Round_4_Replicate_11	-42282.13	84576.26	182295.8	28413.6	0.5743,0.1811,1.1632,2.2659,0.0365,0.0101
no_mig_size	Round_4_Replicate_12	-47808.28	95628.56	185409.03	26829.48	0.701,0.3197,1.1684,5.9208,0.0609,0.0125
no_mig_size	Round_4_Replicate_13	-43542.64	87097.28	134851.23	28845.7	0.4042,0.1841,1.2871,4.7989,0.0404,0.0165
no_mig_size	Round_4_Replicate_14	-42025.99	84063.98	143343.71	28408.82	0.6944,0.1624,0.6316,2.3592,0.0384,0.0145
no_mig_size	Round_4_Replicate_15	-45131.64	90275.28	202341.58	28191.89	0.4977,0.2842,1.0711,2.4005,0.0456,0.0115
no_mig_size	Round_4_Replicate_16	-37105.77	74223.54	119943.76	31345.82	0.2503,0.112,0.6708,2.002,0.0237,0.0105
no_mig_size	Round_4_Replicate_17	-39611.59	79235.18	133601.01	29528.58	0.4013,0.1245,1.8786,3.8785,0.0299,0.0105
no_mig_size	Round_4_Replicate_18	-39451.97	78915.94	131122.66	30070.88	0.3965,0.161,0.5823,5.3393,0.0346,0.0105
no_mig_size	Round_4_Replicate_19	-45869.61	91751.22	171865.15	28381.11	0.4661,0.3333,0.8131,6.1316,0.0537,0.0107
no_mig_size	Round_4_Replicate_20	-39508.76	79029.52	114017.28	31025.61	0.2629,0.1472,1.5262,3.7317,0.0323,0.0102
no_mig_size	Round_4_Replicate_21	-44384.77	88781.54	155998.82	27797.7	0.7309,0.2699,0.5313,5.7412,0.0571,0.0103
no_mig_size	Round_4_Replicate_22	-37727.02	75466.04	121631.19	31187.86	0.2615,0.1206,0.6569,5.1908,0.0255,0.0107
no_mig_size	Round_4_Replicate_23	-40437.34	80886.68	181318.16	30135.95	0.2655,0.1511,1.9577,2.3405,0.025,0.0109
no_mig_size	Round_4_Replicate_24	-41713.28	83438.56	129191.99	28751.39	0.517,0.1438,2.0207,2.4545,0.0376,0.0112
no_mig_size	Round_4_Replicate_25	-37936.68	75885.36	114181.28	31804.63	0.2142,0.1191,0.6126,7.28,0.0245,0.0107
no_mig_size	Round_4_Replicate_26	-44157.07	88326.14	110618.36	31398.27	0.2378,0.2215,0.7953,4.5024,0.042,0.0106
no_mig_size	Round_4_Replicate_27	-45443.43	90898.86	142065.48	29938.12	0.2788,0.2867,1.7883,5.6669,0.0438,0.0105
no_mig_size	Round_4_Replicate_28	-39921.74	79855.48	130789.19	30378.76	0.334,0.1782,0.7029,2.426,0.0352,0.0102
no_mig_size	Round_4_Replicate_29	-41591.71	83195.42	152651.81	29675.17	0.3321,0.1903,1.8536,4.5498,0.0351,0.0109
no_mig_size	Round_4_Replicate_30	-44484.1	88980.2	216137.7	27550.9	0.7561,0.1703,1.6493,6.9784,0.0354,0.0102
no_mig_size	Round_4_Replicate_31	-42720.25	85452.5	194135.04	28560.82	0.506,0.2022,1.2387,3.745,0.0374,0.0101
no_mig_size	Round_4_Replicate_32	-40518.36	81048.72	138432.53	28874.7	0.5391,0.1203,1.3847,2.9522,0.0306,0.0106
no_mig_size	Round_4_Replicate_33	-41092.19	82196.38	139868.65	28507.29	0.6938,0.1008,1.1157,3.5811,0.0274,0.0107
no_mig_size	Round_4_Replicate_34	-45512.61	91037.22	176744.75	27955.03	0.5941,0.3297,0.584,3.8118,0.0568,0.0106
no_mig_size	Round_4_Replicate_35	-42969.2	85950.4	140582.7	29575.86	0.3497,0.2314,1.2614,5.1225,0.0427,0.0111
no_mig_size	Round_4_Replicate_36	-41924.66	83861.32	162313.59	28488.09	0.6768,0.1909,0.5427,5.3012,0.0406,0.0114
no_mig_size	Round_4_Replicate_37	-41950.99	83913.98	132671.83	28541.51	0.6057,0.1553,1.0095,3.6874,0.0402,0.0113
no_mig_size	Round_4_Replicate_38	-41563.77	83139.54	182096.55	29934.21	0.2916,0.1806,1.1321,4.3224,0.0288,0.0115
no_mig_size	Round_4_Replicate_39	-41516.32	83044.64	183204.56	28883.15	0.4374,0.1491,1.4677,2.7749,0.0291,0.0122
no_mig_size	Round_4_Replicate_40	-42624.32	85260.64	192087.51	29720.98	0.264,0.1786,1.7828,2.3882,0.0269,0.0136
