Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1f, nu2f, T)
schange	Round_4_Replicate_64	-139778.33	279566.66	276979.61	277183.5	3.0125,2.8102,0.1272,0.0872,0.1276
schange	Round_4_Replicate_65	-125235.26	250480.52	246585.34	291472.56	2.7162,1.2789,0.0933,0.0667,0.0843
schange	Round_4_Replicate_66	-133151.23	266312.46	251582.71	287227.75	1.252,2.3992,0.1206,0.0771,0.0961
schange	Round_4_Replicate_67	-136091.99	272193.98	262871.88	281218.62	3.4664,1.1417,0.1045,0.1036,0.106
schange	Round_4_Replicate_68	-137441.38	274892.76	265576.63	281914.23	2.0475,2.1307,0.123,0.0899,0.1143
schange	Round_4_Replicate_69	-154121.68	308253.36	302414.58	262594.98	1.6424,2.3186,0.1969,0.1032,0.1264
schange	Round_4_Replicate_70	-151897.23	303804.46	311491.79	264332.58	3.8655,3.71,0.1595,0.0913,0.1521
schange	Round_4_Replicate_71	-116347.06	232704.12	222658.63	311954.46	1.2379,1.0906,0.0719,0.0529,0.067
schange	Round_4_Replicate_72	-144769.04	289548.08	279341.49	278309.98	1.4632,1.9596,0.1453,0.1018,0.1213
schange	Round_4_Replicate_73	-113921.68	227853.36	224057.19	310866.15	2.3185,1.2163,0.0637,0.045,0.0656
schange	Round_4_Replicate_74	-128317.66	256645.32	259412.84	297329.27	1.1632,3.5641,0.1238,0.0494,0.0957
schange	Round_4_Replicate_75	-143228.18	286466.36	282725.15	272831.73	2.6067,2.9093,0.1424,0.092,0.1314
schange	Round_4_Replicate_76	-119300.73	238611.46	228074.44	298510.72	2.5394,2.722,0.0784,0.0552,0.0812
schange	Round_4_Replicate_77	-154476.0	308962.0	302568.49	258265.2	3.7256,3.649,0.159,0.1124,0.1451
schange	Round_4_Replicate_78	-139220.26	278450.52	267432.78	282903.1	1.7081,3.5831,0.1253,0.0828,0.1182
schange	Round_4_Replicate_79	-131864.23	263738.46	263028.7	295369.1	1.3202,1.2691,0.1172,0.0721,0.0964
schange	Round_4_Replicate_80	-148660.61	297331.22	286736.65	270703.82	1.4996,3.8951,0.1658,0.0956,0.1326
schange	Round_4_Replicate_81	-111843.09	223696.18	219689.75	317590.22	2.2759,0.9307,0.0537,0.0419,0.0589
schange	Round_4_Replicate_82	-120524.19	241058.38	230873.88	303037.25	1.0651,1.9194,0.0952,0.0549,0.0778
schange	Round_4_Replicate_83	-128731.41	257472.82	250334.4	287801.48	2.603,1.1398,0.095,0.0795,0.0846
schange	Round_4_Replicate_84	-126306.64	252623.28	243570.6	294051.41	2.2709,2.1334,0.0937,0.0694,0.0959
schange	Round_4_Replicate_85	-131499.87	263009.74	253852.13	285921.54	2.8358,1.7448,0.1025,0.0845,0.1041
schange	Round_4_Replicate_86	-135834.79	271679.58	266473.39	286679.59	3.704,1.6738,0.0978,0.0921,0.1161
schange	Round_4_Replicate_87	-137865.94	275741.88	267059.6	278895.79	1.1165,3.1382,0.1634,0.0744,0.108
schange	Round_4_Replicate_88	-139982.77	279975.54	268663.28	278489.47	1.2792,1.624,0.1489,0.0933,0.1038
schange	Round_4_Replicate_89	-130879.22	261768.44	253597.73	286898.58	1.507,1.9845,0.124,0.0738,0.0983
schange	Round_4_Replicate_90	-134799.26	269608.52	271238.38	292037.46	1.106,2.4261,0.138,0.0645,0.1054
schange	Round_4_Replicate_91	-131701.07	263412.14	262648.35	292683.27	1.5598,1.0467,0.116,0.0747,0.0939
schange	Round_4_Replicate_92	-153232.97	306475.94	297388.43	267492.85	1.8721,1.1098,0.1655,0.1329,0.1248
schange	Round_4_Replicate_93	-137140.02	274290.04	274237.07	277973.46	2.7068,2.7112,0.1336,0.0746,0.1163
schange	Round_4_Replicate_94	-161057.35	322124.7	302182.19	267215.67	1.1441,1.0911,0.1761,0.157,0.1194
schange	Round_4_Replicate_95	-131142.19	262294.38	255145.65	284907.44	4.0705,1.8479,0.0968,0.0838,0.1075
schange	Round_4_Replicate_96	-132148.44	264306.88	251800.82	285491.97	2.2362,2.4067,0.1068,0.0806,0.1026
schange	Round_4_Replicate_97	-129582.81	259175.62	259644.97	287626.06	1.6188,3.5749,0.1312,0.0526,0.0967
schange	Round_4_Replicate_98	-125437.13	250884.26	235991.15	300624.48	1.4536,3.8418,0.0871,0.057,0.0869
schange	Round_4_Replicate_99	-163387.44	326784.88	323172.8	250387.32	3.5988,3.9573,0.188,0.122,0.1612
schange	Round_4_Replicate_100	-155709.55	311429.1	312050.66	258191.68	3.22,2.9537,0.1812,0.1006,0.1426
