Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu, T)
two_epoch	Round_2_Replicate_19	-24734.24	49472.48	47780.49	469014.27	0.3221,0.0906
two_epoch	Round_2_Replicate_20	-87465.59	174935.18	155935.69	702933.02	0.4478,1.4352
two_epoch	Round_2_Replicate_21	-52415.31	104834.62	96098.49	616667.02	0.4041,0.4719
two_epoch	Round_2_Replicate_22	-84216.6	168437.2	150209.33	514331.13	0.6026,1.3147
two_epoch	Round_2_Replicate_23	-95790.82	191585.64	170777.86	293305.37	1.1134,3.2133
two_epoch	Round_2_Replicate_24	-88585.78	177175.56	157918.57	740350.45	0.4274,1.48
two_epoch	Round_2_Replicate_25	-82043.48	164090.96	146398.91	416796.34	0.7356,1.0045
two_epoch	Round_2_Replicate_26	-93779.35	187562.7	167169.43	605739.06	0.5346,2.5788
two_epoch	Round_2_Replicate_27	-108624.92	217253.84	194129.33	294898.01	1.1652,0.6877
two_epoch	Round_2_Replicate_28	-114846.19	229696.38	205488.65	302700.83	1.1749,0.2953
two_epoch	Round_2_Replicate_29	-89473.89	178951.78	159493.77	692493.82	0.4588,1.604
two_epoch	Round_2_Replicate_30	-76164.11	152332.22	136175.16	657402.58	0.452,0.9682
two_epoch	Round_3_Replicate_1	-12584.72	25173.44	24770.96	462117.03	0.158,0.0276
two_epoch	Round_3_Replicate_2	-33469.2	66942.4	66775.57	2135806.41	0.0719,0.1466
two_epoch	Round_3_Replicate_3	-9122.87	18249.74	17888.07	449364.44	0.0938,0.0128
two_epoch	Round_3_Replicate_4	-19332.86	38669.72	36774.37	432307.15	0.284,0.0482
two_epoch	Round_3_Replicate_5	-15163.62	30331.24	30061.17	484810.77	0.1651,0.0355
two_epoch	Round_3_Replicate_6	-26935.94	53875.88	51068.32	444853.3	0.3677,0.0914
two_epoch	Round_3_Replicate_7	-14743.6	29491.2	28395.62	437811.61	0.2131,0.0328
two_epoch	Round_3_Replicate_8	-42801.7	85607.4	78061.9	402365.99	0.5405,0.1293
two_epoch	Round_3_Replicate_9	-33451.12	66906.24	66678.69	1405725.28	0.1105,0.1756
two_epoch	Round_3_Replicate_10	-10542.0	21088.0	20434.88	436136.98	0.1275,0.0162
two_epoch	Round_3_Replicate_11	-50882.64	101769.28	93143.25	451854.11	0.5417,0.3026
two_epoch	Round_3_Replicate_12	-13660.61	27325.22	26950.31	468796.74	0.1684,0.0319
two_epoch	Round_3_Replicate_13	-29350.23	58704.46	57155.84	513259.41	0.3227,0.134
two_epoch	Round_3_Replicate_14	-97571.14	195146.28	173769.76	323963.85	1.1192,0.0104
two_epoch	Round_3_Replicate_15	-31845.35	63694.7	63354.67	669288.76	0.2292,0.1609
two_epoch	Round_3_Replicate_16	-29442.97	58889.94	55099.32	429480.37	0.4037,0.0921
two_epoch	Round_3_Replicate_17	-17998.73	36001.46	34957.66	456142.06	0.2538,0.0521
two_epoch	Round_3_Replicate_18	-17752.1	35508.2	34607.99	460698.38	0.2457,0.0517
two_epoch	Round_3_Replicate_19	-27889.13	55782.26	53559.52	471021.74	0.3521,0.111
two_epoch	Round_3_Replicate_20	-13124.22	26252.44	25091.21	425158.4	0.1693,0.0205
two_epoch	Round_3_Replicate_21	-17196.07	34396.14	33159.63	444783.96	0.2506,0.0453
two_epoch	Round_3_Replicate_22	-30048.42	60100.84	59763.44	602506.42	0.2449,0.1358
two_epoch	Round_3_Replicate_23	-33439.3	66882.6	66607.85	1224690.76	0.1279,0.1841
two_epoch	Round_3_Replicate_24	-28647.47	57298.94	56013.49	518460.78	0.3098,0.1282
two_epoch	Round_3_Replicate_25	-13324.71	26653.42	25482.32	426051.9	0.1754,0.0218
two_epoch	Round_3_Replicate_26	-96072.78	192149.56	171195.13	324715.73	1.048,0.0108
two_epoch	Round_3_Replicate_27	-17437.18	34878.36	34454.66	482127.6	0.2114,0.0496
two_epoch	Round_3_Replicate_28	-9451.12	18906.24	18613.28	460585.86	0.0871,0.013
two_epoch	Round_3_Replicate_29	-8748.49	17500.98	17203.26	456095.28	0.0754,0.0106
two_epoch	Round_3_Replicate_30	-19595.85	39195.7	37332.77	434837.62	0.2876,0.0507
two_epoch	Round_3_Replicate_31	-12367.97	24739.94	24392.46	465627.82	0.148,0.0261
