Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, T)
bottlegrowth	Round_3_Replicate_29	-4344.6	8695.2	8153.36	625282.26	0.0741,0.0101,0.0241
bottlegrowth	Round_3_Replicate_30	-4490.1	8986.2	8420.88	605922.08	0.1363,0.0111,0.0307
bottlegrowth	Round_3_Replicate_31	-4381.19	8768.38	8221.02	598184.8	0.1267,0.0103,0.028
bottlegrowth	Round_3_Replicate_32	-7298.39	14602.78	13556.24	426133.52	0.0805,0.0356,0.0361
bottlegrowth	Round_3_Replicate_33	-11599.73	23205.46	21282.9	551117.88	0.0741,0.0633,0.0713
bottlegrowth	Round_3_Replicate_34	-4476.89	8959.78	8398.25	533814.31	0.156,0.0108,0.0273
bottlegrowth	Round_3_Replicate_35	-6945.67	13897.34	12913.51	441063.63	0.1033,0.0319,0.0394
bottlegrowth	Round_3_Replicate_36	-4481.07	8968.14	8403.52	694306.24	0.3733,0.0103,0.0443
bottlegrowth	Round_3_Replicate_37	-7352.8	14711.6	13642.93	499551.72	0.1115,0.0349,0.0516
bottlegrowth	Round_3_Replicate_38	-4574.84	9155.68	8579.23	489479.28	0.0269,0.0118,0.0135
bottlegrowth	Round_3_Replicate_39	-6127.77	12261.54	11411.91	649196.44	0.1267,0.0217,0.0523
bottlegrowth	Round_3_Replicate_40	-4367.92	8741.84	8196.35	610977.68	0.0715,0.0103,0.0236
bottlegrowth	Round_3_Replicate_41	-6159.07	12324.14	11478.69	476969.59	0.2795,0.0242,0.0527
bottlegrowth	Round_3_Replicate_42	-5191.39	10388.78	9709.88	477033.74	0.0404,0.0173,0.0197
bottlegrowth	Round_3_Replicate_43	-4385.17	8776.34	8228.48	589302.5	0.1255,0.0104,0.0276
bottlegrowth	Round_3_Replicate_44	-5839.67	11685.34	10892.94	494126.4	0.0776,0.0229,0.0327
bottlegrowth	Round_3_Replicate_45	-4323.47	8652.94	8114.59	605641.22	0.04,0.0102,0.0187
bottlegrowth	Round_3_Replicate_46	-6213.82	12433.64	11565.65	1113654.38	0.2608,0.0137,0.0733
bottlegrowth	Round_3_Replicate_47	-4957.98	9921.96	9276.45	755000.48	0.0601,0.0129,0.0315
bottlegrowth	Round_3_Replicate_48	-5911.5	11829.0	11019.03	638608.37	0.3432,0.0202,0.0686
bottlegrowth	Round_3_Replicate_49	-8953.64	17913.28	16588.14	375028.09	0.2171,0.0445,0.0526
bottlegrowth	Round_3_Replicate_50	-4407.09	8820.18	8269.25	563066.13	0.1431,0.0105,0.0276
bottlegrowth	Round_4_Replicate_1	-4253.04	8512.08	7985.11	592563.66	0.0225,0.01,0.0142
bottlegrowth	Round_4_Replicate_2	-4282.44	8570.88	8039.16	602966.45	0.032,0.01,0.0168
bottlegrowth	Round_4_Replicate_3	-4284.45	8574.9	8042.7	612381.59	0.0298,0.01,0.0166
bottlegrowth	Round_4_Replicate_4	-4288.16	8582.32	8049.64	604312.2	0.031,0.0101,0.0166
bottlegrowth	Round_4_Replicate_5	-4296.52	8599.04	8065.2	596517.25	0.0407,0.01,0.0183
bottlegrowth	Round_4_Replicate_6	-4263.5	8533.0	8004.52	582932.4	0.0251,0.01,0.0146
bottlegrowth	Round_4_Replicate_7	-4322.71	8651.42	8113.44	600180.97	0.0656,0.01,0.022
bottlegrowth	Round_4_Replicate_8	-4243.06	8492.12	7966.34	617885.67	0.0182,0.01,0.0135
bottlegrowth	Round_4_Replicate_9	-4281.69	8569.38	8037.86	596221.23	0.0307,0.01,0.0163
bottlegrowth	Round_4_Replicate_10	-4322.68	8651.36	8112.83	616963.78	0.0273,0.0104,0.0164
bottlegrowth	Round_4_Replicate_11	-4314.61	8635.22	8098.63	592448.77	0.058,0.01,0.0208
bottlegrowth	Round_4_Replicate_12	-4306.81	8619.62	8084.11	599005.16	0.0439,0.0101,0.019
bottlegrowth	Round_4_Replicate_13	-4315.69	8637.38	8100.51	598404.02	0.0555,0.01,0.0207
bottlegrowth	Round_4_Replicate_14	-4270.02	8546.04	8016.27	601845.25	0.0269,0.01,0.0156
bottlegrowth	Round_4_Replicate_15	-4333.01	8672.02	8132.89	572131.6	0.0925,0.01,0.0235
bottlegrowth	Round_4_Replicate_16	-4308.03	8622.06	8086.58	586547.59	0.049,0.01,0.0193
bottlegrowth	Round_4_Replicate_17	-4318.56	8643.12	8105.32	630739.14	0.0428,0.01,0.0198
bottlegrowth	Round_4_Replicate_18	-4294.23	8594.46	8061.31	574631.67	0.0366,0.01,0.0169
bottlegrowth	Round_4_Replicate_19	-4279.68	8565.36	8034.1	597540.4	0.028,0.0101,0.0158
bottlegrowth	Round_4_Replicate_20	-4255.43	8516.86	7989.51	591530.88	0.0228,0.01,0.0142
bottlegrowth	Round_4_Replicate_21	-4281.01	8568.02	8036.41	609351.89	0.0293,0.01,0.0164
bottlegrowth	Round_4_Replicate_22	-4340.34	8686.68	8145.54	623155.76	0.0666,0.0101,0.0231
bottlegrowth	Round_4_Replicate_23	-4250.04	8506.08	7979.34	608634.23	0.0205,0.01,0.014
bottlegrowth	Round_4_Replicate_24	-4294.52	8595.04	8061.46	600784.92	0.0383,0.01,0.018
bottlegrowth	Round_4_Replicate_25	-4284.39	8574.78	8042.79	598140.42	0.0311,0.01,0.0165
bottlegrowth	Round_4_Replicate_26	-4332.96	8671.92	8132.35	595341.63	0.071,0.0101,0.0226
bottlegrowth	Round_4_Replicate_27	-4300.74	8607.48	8073.25	577941.44	0.0415,0.01,0.0178
bottlegrowth	Round_4_Replicate_28	-4250.28	8506.56	7980.05	590194.01	0.0218,0.01,0.0139
bottlegrowth	Round_4_Replicate_29	-4288.28	8582.56	8049.81	610603.0	0.0333,0.01,0.0173
bottlegrowth	Round_4_Replicate_30	-4323.54	8653.08	8114.95	602255.09	0.0703,0.01,0.0226
bottlegrowth	Round_4_Replicate_31	-4247.85	8501.7	7975.5	594431.61	0.0208,0.01,0.0137
bottlegrowth	Round_4_Replicate_32	-4302.65	8611.3	8076.7	582959.14	0.0437,0.01,0.0184
bottlegrowth	Round_4_Replicate_33	-4301.1	8608.2	8073.88	581418.74	0.0437,0.01,0.0183
bottlegrowth	Round_4_Replicate_34	-4338.55	8683.1	8142.42	614507.42	0.0923,0.01,0.0254
bottlegrowth	Round_4_Replicate_35	-4324.53	8655.06	8117.09	577549.46	0.0593,0.0101,0.0205
bottlegrowth	Round_4_Replicate_36	-4337.73	8681.46	8141.46	577004.24	0.0886,0.0101,0.0235
bottlegrowth	Round_4_Replicate_37	-4296.99	8599.98	8065.93	605632.47	0.0385,0.01,0.0182
bottlegrowth	Round_4_Replicate_38	-4355.43	8716.86	8173.18	609783.44	0.0356,0.0105,0.0183
bottlegrowth	Round_4_Replicate_39	-4302.52	8611.04	8076.25	598452.51	0.045,0.01,0.0191
bottlegrowth	Round_4_Replicate_40	-4262.79	8531.58	8003.16	571104.41	0.017,0.0103,0.0122
bottlegrowth	Round_4_Replicate_41	-4298.23	8602.46	8068.58	583306.58	0.0429,0.01,0.0182
bottlegrowth	Round_4_Replicate_42	-4317.79	8641.58	8104.04	619898.42	0.0452,0.0101,0.0199
bottlegrowth	Round_4_Replicate_43	-4327.17	8660.34	8121.87	582788.79	0.0614,0.0101,0.021
bottlegrowth	Round_4_Replicate_44	-4284.73	8575.46	8043.68	581648.15	0.0333,0.01,0.0164
bottlegrowth	Round_4_Replicate_45	-4342.46	8690.92	8149.75	604523.37	0.0964,0.0101,0.0254
bottlegrowth	Round_4_Replicate_46	-4289.66	8585.32	8052.39	607561.1	0.0336,0.01,0.0173
bottlegrowth	Round_4_Replicate_47	-4294.84	8595.68	8062.32	583116.65	0.0405,0.01,0.0178
bottlegrowth	Round_4_Replicate_48	-4335.47	8676.94	8137.47	568139.16	0.0882,0.01,0.023
bottlegrowth	Round_4_Replicate_49	-4329.1	8664.2	8125.59	576764.67	0.0803,0.01,0.0227
bottlegrowth	Round_4_Replicate_50	-4479.65	8965.3	8400.51	737471.81	0.0979,0.01,0.0309
bottlegrowth	Round_4_Replicate_51	-4318.85	8643.7	8106.89	561043.22	0.045,0.0101,0.0179
bottlegrowth	Round_4_Replicate_52	-4250.73	8507.46	7980.98	582566.22	0.0216,0.01,0.0137
bottlegrowth	Round_4_Replicate_53	-4262.46	8530.92	8002.32	601461.49	0.0233,0.01,0.0146
bottlegrowth	Round_4_Replicate_54	-4283.07	8572.14	8040.34	601388.75	0.0319,0.01,0.0167
bottlegrowth	Round_4_Replicate_55	-4329.29	8664.58	8125.43	601806.07	0.0537,0.0101,0.0207
bottlegrowth	Round_4_Replicate_56	-4496.21	8998.42	8431.89	593173.22	0.0422,0.0116,0.0203
bottlegrowth	Round_4_Replicate_57	-4284.21	8574.42	8042.77	579016.42	0.0338,0.01,0.0164
bottlegrowth	Round_4_Replicate_58	-4392.68	8791.36	8243.12	537879.27	0.0505,0.0105,0.0183
bottlegrowth	Round_4_Replicate_59	-4244.98	8495.96	7970.35	584084.59	0.0204,0.01,0.0134
bottlegrowth	Round_4_Replicate_60	-4287.27	8580.54	8048.04	603730.35	0.0327,0.01,0.017
bottlegrowth	Round_4_Replicate_61	-4307.22	8620.44	8085.06	589451.05	0.0505,0.01,0.0196
bottlegrowth	Round_4_Replicate_62	-4319.86	8645.72	8108.45	582293.17	0.0604,0.01,0.0207
bottlegrowth	Round_4_Replicate_63	-4494.98	8995.96	8430.04	568746.05	0.0394,0.0117,0.019
bottlegrowth	Round_4_Replicate_64	-4292.67	8591.34	8058.02	599207.66	0.0343,0.0101,0.0172
bottlegrowth	Round_4_Replicate_65	-4291.67	8589.34	8056.56	577406.65	0.0382,0.01,0.0172
bottlegrowth	Round_4_Replicate_66	-4310.53	8627.06	8091.14	590226.35	0.0522,0.01,0.0199
bottlegrowth	Round_4_Replicate_67	-4314.03	8634.06	8097.18	615099.8	0.0442,0.0101,0.0196
bottlegrowth	Round_4_Replicate_68	-4293.85	8593.7	8060.13	603934.33	0.0337,0.0101,0.0172
bottlegrowth	Round_4_Replicate_69	-4264.29	8534.58	8005.36	627593.91	0.0212,0.01,0.0147
bottlegrowth	Round_4_Replicate_70	-4528.63	9063.26	8491.71	574917.81	0.0448,0.0119,0.0204
bottlegrowth	Round_4_Replicate_71	-4250.81	8507.62	7980.23	645626.72	0.0154,0.0101,0.013
bottlegrowth	Round_4_Replicate_72	-4292.95	8591.9	8058.9	577113.87	0.0358,0.01,0.0168
bottlegrowth	Round_4_Replicate_73	-4311.35	8628.7	8092.64	590025.32	0.0522,0.01,0.0199
bottlegrowth	Round_4_Replicate_74	-4314.86	8635.72	8098.99	598852.58	0.0568,0.01,0.0208
bottlegrowth	Round_4_Replicate_75	-4294.15	8594.3	8060.75	601940.65	0.0382,0.01,0.018
bottlegrowth	Round_4_Replicate_76	-4315.65	8637.3	8100.52	594352.12	0.0599,0.01,0.0211
bottlegrowth	Round_4_Replicate_77	-4308.15	8622.3	8086.84	584294.57	0.0521,0.01,0.0196
bottlegrowth	Round_4_Replicate_78	-4312.66	8631.32	8095.01	594443.01	0.0565,0.01,0.0206
bottlegrowth	Round_4_Replicate_79	-4313.08	8632.16	8095.77	595134.73	0.0564,0.01,0.0206
bottlegrowth	Round_4_Replicate_80	-4329.19	8664.38	8125.67	580823.22	0.076,0.01,0.0224
bottlegrowth	Round_4_Replicate_81	-4315.71	8637.42	8100.71	588893.11	0.0594,0.01,0.0208
bottlegrowth	Round_4_Replicate_82	-4308.1	8622.2	8086.5	600496.78	0.0489,0.01,0.0198
bottlegrowth	Round_4_Replicate_83	-4286.3	8578.6	8046.35	598586.61	0.0346,0.01,0.0172
bottlegrowth	Round_4_Replicate_84	-4335.16	8676.32	8135.89	625661.78	0.0471,0.0101,0.0205
bottlegrowth	Round_4_Replicate_85	-4304.56	8615.12	8080.12	591525.57	0.0484,0.01,0.0194
bottlegrowth	Round_4_Replicate_86	-4312.17	8630.34	8094.08	592359.28	0.0468,0.0101,0.0192
bottlegrowth	Round_4_Replicate_87	-4324.37	8654.74	8116.7	588239.46	0.0749,0.01,0.0226
bottlegrowth	Round_4_Replicate_88	-4351.64	8709.28	8166.46	616521.47	0.101,0.0101,0.0264
bottlegrowth	Round_4_Replicate_89	-4343.67	8693.34	8151.13	657070.43	0.0357,0.0101,0.0193
bottlegrowth	Round_4_Replicate_90	-4297.38	8600.76	8066.6	607598.09	0.0355,0.0101,0.0177
bottlegrowth	Round_4_Replicate_91	-4267.61	8541.22	8011.62	616935.94	0.0239,0.01,0.0152
bottlegrowth	Round_4_Replicate_92	-4319.35	8644.7	8107.28	597774.59	0.0649,0.01,0.0218
bottlegrowth	Round_4_Replicate_93	-4294.42	8594.84	8061.35	594430.19	0.0385,0.01,0.0178
bottlegrowth	Round_4_Replicate_94	-4321.66	8649.32	8111.47	602645.42	0.0668,0.01,0.0222
bottlegrowth	Round_4_Replicate_95	-4271.42	8548.84	8018.89	599480.61	0.0279,0.01,0.0157
bottlegrowth	Round_4_Replicate_96	-4324.22	8654.44	8116.88	560076.99	0.0611,0.01,0.0199
bottlegrowth	Round_4_Replicate_97	-4278.46	8562.92	8031.73	607326.27	0.0274,0.0101,0.0159
bottlegrowth	Round_4_Replicate_98	-4399.7	8805.4	8254.59	614988.28	0.0578,0.0106,0.0224
bottlegrowth	Round_4_Replicate_99	-4285.53	8577.06	8045.53	558799.66	0.0298,0.01,0.015
bottlegrowth	Round_4_Replicate_100	-4310.31	8626.62	8091.24	559346.73	0.0457,0.01,0.0178
