Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T)
asym_mig	Round_2_Replicate_9	-128770.05	257550.1	379668.3	30527.64	0.256,1.0061,0.1732,3.0316,0.3855
asym_mig	Round_2_Replicate_10	-42699.53	85409.06	128785.87	28681.8	0.7611,0.167,0.1472,4.2273,0.074
asym_mig	Round_2_Replicate_11	-40295.42	80600.84	121297.75	30074.05	0.4458,0.3098,2.1085,1.1589,0.0822
asym_mig	Round_2_Replicate_12	-96387.5	192785.0	376400.94	26858.85	0.9901,0.1476,0.3118,0.9656,0.2299
asym_mig	Round_2_Replicate_13	-36261.72	72533.44	116366.23	31498.97	0.3932,0.1644,0.9257,2.852,0.0483
asym_mig	Round_2_Replicate_14	-103746.65	207503.3	377505.08	39049.72	0.2966,0.2004,0.8553,0.613,0.2902
asym_mig	Round_2_Replicate_15	-92239.08	184488.16	373931.34	29697.78	0.3891,0.8658,0.2835,4.4039,0.453
asym_mig	Round_2_Replicate_16	-44897.25	89804.5	203480.39	31260.49	0.2549,0.3689,0.5527,1.3842,0.0426
asym_mig	Round_2_Replicate_17	-53778.94	107567.88	337445.01	24683.75	1.3652,0.3475,1.4625,3.065,0.1037
asym_mig	Round_2_Replicate_18	-58604.31	117218.62	150656.25	31343.49	0.4876,0.2785,0.8457,2.3009,0.2948
asym_mig	Round_2_Replicate_19	-62625.62	125261.24	148133.04	28191.26	0.3263,0.8895,1.2437,0.9486,0.1347
asym_mig	Round_2_Replicate_20	-36367.81	72745.62	85012.91	35502.36	0.1898,0.1122,0.1802,2.8451,0.036
asym_mig	Round_3_Replicate_1	-40496.9	81003.8	172397.14	28655.64	1.0666,0.0943,2.3949,1.1253,0.0269
asym_mig	Round_3_Replicate_2	-41045.26	82100.52	142951.22	28615.44	1.353,0.0676,1.5934,1.2254,0.0218
asym_mig	Round_3_Replicate_3	-41132.25	82274.5	136835.75	29052.37	0.8442,0.0919,0.79,11.0923,0.061
asym_mig	Round_3_Replicate_4	-39625.47	79260.94	124983.44	29638.94	0.6602,0.1455,1.0228,5.2063,0.0667
asym_mig	Round_3_Replicate_5	-55744.61	111499.22	506635.74	31645.17	0.1466,0.5608,0.7792,3.6029,0.0246
asym_mig	Round_3_Replicate_6	-38872.52	77755.04	127910.62	29935.94	0.513,0.2488,2.3688,2.0111,0.0778
asym_mig	Round_3_Replicate_7	-32689.07	65388.14	119135.58	32147.09	0.2873,0.0873,0.2642,2.125,0.0226
asym_mig	Round_3_Replicate_8	-36757.3	73524.6	115663.23	30539.02	0.6197,0.0847,3.1429,7.6296,0.0429
asym_mig	Round_3_Replicate_9	-33899.96	67809.92	114407.87	32317.32	0.4017,0.0646,1.0445,14.8412,0.0345
asym_mig	Round_3_Replicate_10	-31545.08	63100.16	89703.82	34529.23	0.181,0.1038,3.0206,1.1979,0.0268
asym_mig	Round_3_Replicate_11	-37534.5	75079.0	152340.57	33506.52	0.1877,0.1602,0.209,4.1971,0.0282
asym_mig	Round_3_Replicate_12	-37757.61	75525.22	123915.39	30760.66	0.5145,0.1777,1.9923,4.8124,0.0764
asym_mig	Round_3_Replicate_13	-36855.87	73721.74	132198.08	29890.7	0.6608,0.0822,3.0787,1.0773,0.0256
asym_mig	Round_3_Replicate_14	-61365.92	122741.84	454068.79	23682.23	1.0674,0.6063,0.2298,3.7336,0.1649
asym_mig	Round_3_Replicate_15	-39737.91	79485.82	143929.62	29224.99	0.7943,0.0961,1.1063,8.7292,0.044
asym_mig	Round_3_Replicate_16	-38962.08	77934.16	143200.95	29070.93	0.7476,0.1252,0.5238,0.7444,0.035
asym_mig	Round_3_Replicate_17	-50441.41	100892.82	210276.15	25160.64	1.2049,0.3632,1.1376,1.1195,0.1
asym_mig	Round_3_Replicate_18	-31821.82	63653.64	96797.73	34436.39	0.1528,0.0854,0.5063,1.4728,0.0197
asym_mig	Round_3_Replicate_19	-45025.95	90061.9	131385.38	29078.16	0.5378,0.3277,0.4318,2.0104,0.0955
asym_mig	Round_3_Replicate_20	-36627.72	73265.44	121886.47	30034.83	0.5916,0.0774,0.2714,0.7631,0.0236
asym_mig	Round_3_Replicate_21	-38230.55	76471.1	116768.99	32574.87	0.2873,0.2076,0.7449,2.7486,0.0494
asym_mig	Round_3_Replicate_22	-36610.96	73231.92	105682.42	32154.5	0.385,0.1527,0.8428,4.1901,0.056
asym_mig	Round_3_Replicate_23	-56818.6	113647.2	465587.96	31667.92	0.1939,0.5713,2.1421,6.7709,0.042
asym_mig	Round_3_Replicate_24	-38239.08	76488.16	142467.13	29583.04	0.7963,0.0567,2.3026,5.8487,0.0195
asym_mig	Round_3_Replicate_25	-40219.58	80449.16	157496.12	28789.89	1.0806,0.0728,0.717,2.7536,0.0222
asym_mig	Round_3_Replicate_26	-46408.47	92826.94	330852.27	31923.97	0.2114,0.3159,1.0275,4.3742,0.033
asym_mig	Round_3_Replicate_27	-39637.67	79285.34	109299.05	32778.56	0.3474,0.1892,0.4321,4.6711,0.069
asym_mig	Round_3_Replicate_28	-42343.65	84697.3	130115.98	33244.26	0.1758,0.2754,2.1434,1.2366,0.0383
asym_mig	Round_3_Replicate_29	-32879.46	65768.92	100904.29	31917.3	0.3691,0.0849,3.2279,1.5022,0.0282
asym_mig	Round_3_Replicate_30	-35603.89	71217.78	125721.31	33144.89	0.2834,0.1404,0.505,6.3962,0.0409
asym_mig	Round_4_Replicate_1	-31239.02	62488.04	108988.52	33008.62	0.2237,0.082,1.6958,1.1285,0.0206
asym_mig	Round_4_Replicate_2	-32892.4	65794.8	102142.45	32347.39	0.311,0.1153,1.9688,0.798,0.0321
asym_mig	Round_4_Replicate_3	-33898.15	67806.3	132440.72	33555.64	0.1819,0.1278,2.1033,2.0742,0.0244
asym_mig	Round_4_Replicate_4	-33217.7	66445.4	92216.36	32720.61	0.3177,0.101,1.7126,1.8606,0.0341
asym_mig	Round_4_Replicate_5	-31993.26	63996.52	88772.66	34296.56	0.2097,0.1058,2.3742,2.1358,0.0305
asym_mig	Round_4_Replicate_6	-29165.89	58341.78	81317.16	35488.55	0.1802,0.1092,7.9824,1.0569,0.0328
asym_mig	Round_4_Replicate_7	-30110.01	60230.02	90464.56	33997.23	0.2013,0.0758,3.5883,1.748,0.0223
asym_mig	Round_4_Replicate_8	-29360.53	58731.06	89482.21	34162.41	0.1611,0.0552,3.3208,1.0856,0.0157
asym_mig	Round_4_Replicate_9	-30310.91	60631.82	84739.72	34826.33	0.1575,0.0663,1.8647,2.4946,0.0194
asym_mig	Round_4_Replicate_10	-30702.95	61415.9	99588.49	33454.16	0.2184,0.0818,2.8137,1.7497,0.0224
asym_mig	Round_4_Replicate_11	-30396.5	60803.0	91701.16	33874.88	0.264,0.1092,5.778,2.381,0.0367
asym_mig	Round_4_Replicate_12	-31241.84	62493.68	78666.41	35760.09	0.156,0.0887,3.6853,1.6961,0.0266
asym_mig	Round_4_Replicate_13	-31168.17	62346.34	99511.28	33282.64	0.2362,0.0965,3.0542,0.8999,0.0258
asym_mig	Round_4_Replicate_14	-31628.51	63267.02	111419.9	32733.59	0.2589,0.0969,2.7812,1.1331,0.0249
asym_mig	Round_4_Replicate_15	-33906.49	67822.98	113170.1	33020.77	0.2513,0.1517,2.3412,1.8106,0.0356
asym_mig	Round_4_Replicate_16	-30351.6	60713.2	93279.69	33500.1	0.2144,0.0652,2.7678,2.0617,0.0197
asym_mig	Round_4_Replicate_17	-29693.03	59396.06	87094.52	34755.6	0.1333,0.0581,1.9748,0.7306,0.0152
asym_mig	Round_4_Replicate_18	-30446.61	60903.22	103424.24	33354.14	0.2202,0.0838,4.0226,0.9204,0.0222
asym_mig	Round_4_Replicate_19	-32835.22	65680.44	90167.69	33470.6	0.2622,0.1173,2.083,1.4932,0.0355
asym_mig	Round_4_Replicate_20	-31457.9	62925.8	88906.4	34121.16	0.205,0.0883,1.7161,2.0753,0.0256
asym_mig	Round_4_Replicate_21	-28949.29	57908.58	77155.0	35431.67	0.1937,0.093,7.6338,0.9255,0.0316
asym_mig	Round_4_Replicate_22	-29846.05	59702.1	102808.14	33838.51	0.2281,0.1045,7.058,1.4373,0.0292
asym_mig	Round_4_Replicate_23	-31181.95	62373.9	97654.23	33224.41	0.3265,0.1365,6.3142,2.2603,0.0491
asym_mig	Round_4_Replicate_24	-28664.5	57339.0	87963.43	34464.68	0.1792,0.0651,7.1077,1.3248,0.0198
asym_mig	Round_4_Replicate_25	-28738.46	57486.92	81964.32	34860.74	0.1113,0.0361,2.5679,1.2304,0.0108
asym_mig	Round_4_Replicate_26	-31424.4	62858.8	122325.66	33994.4	0.138,0.0788,1.9079,0.9194,0.0156
asym_mig	Round_4_Replicate_27	-29968.72	59947.44	83383.24	35046.17	0.1513,0.0725,3.5063,1.2744,0.0202
asym_mig	Round_4_Replicate_28	-29702.69	59415.38	87145.53	34744.15	0.1406,0.0604,2.3335,1.3654,0.0163
asym_mig	Round_4_Replicate_29	-30708.45	61426.9	99718.84	34166.92	0.169,0.0895,3.3617,0.7021,0.0211
asym_mig	Round_4_Replicate_30	-29787.52	59585.04	83850.39	34620.36	0.1808,0.0746,4.2547,1.3018,0.0225
asym_mig	Round_4_Replicate_31	-29893.34	59796.68	99875.48	33433.68	0.1958,0.0624,3.6208,0.9737,0.0171
asym_mig	Round_4_Replicate_32	-30207.69	60425.38	78252.16	35217.05	0.2466,0.1106,6.3497,2.3197,0.0455
asym_mig	Round_4_Replicate_33	-32655.37	65320.74	88615.7	33553.12	0.2885,0.1251,3.2824,2.0959,0.0432
asym_mig	Round_4_Replicate_34	-30298.54	60607.08	84877.66	34440.59	0.1842,0.0738,2.9161,1.5572,0.0221
asym_mig	Round_4_Replicate_35	-29446.49	58902.98	94003.37	34636.53	0.1582,0.0787,5.6252,1.0407,0.0202
asym_mig	Round_4_Replicate_36	-29627.07	59264.14	91747.23	34184.7	0.1558,0.0572,2.227,1.4058,0.0156
asym_mig	Round_4_Replicate_37	-32886.41	65782.82	84367.47	35031.26	0.1852,0.1365,4.1177,1.0329,0.0365
asym_mig	Round_4_Replicate_38	-31480.19	62970.38	109941.51	33199.72	0.2381,0.111,3.833,1.1958,0.0277
asym_mig	Round_4_Replicate_39	-28629.49	57268.98	80988.68	35393.95	0.1665,0.0794,7.4572,1.5191,0.0246
asym_mig	Round_4_Replicate_40	-29773.96	59557.92	86593.74	34365.35	0.1672,0.0612,2.6912,1.6301,0.0179
