Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
asym_mig_size	Round_3_Replicate_24	-81456.41	162928.82	235458.93	41038.18	0.2591,0.3835,0.2061,0.4925,2.9183,0.2711,18.8715,1.7403
asym_mig_size	Round_3_Replicate_25	-60721.02	121458.04	145921.25	43123.88	0.1394,0.7029,0.2632,0.3412,2.483,2.5487,2.7867,6.0677
asym_mig_size	Round_3_Replicate_26	-99947.48	199910.96	368853.4	47766.74	0.2069,0.1556,0.2374,0.275,1.8692,0.5348,5.1915,10.086
asym_mig_size	Round_3_Replicate_27	-75115.81	150247.62	4457594.62	11286.43	0.1237,0.5048,1.3076,2.036,4.9482,0.8111,29.7203,3.2998
asym_mig_size	Round_3_Replicate_28	-79869.82	159755.64	219915.81	69513.87	0.6185,0.1992,0.1768,0.1799,2.0268,3.1028,23.1381,3.1449
asym_mig_size	Round_3_Replicate_29	-45480.99	90977.98	126358.45	34054.03	0.5131,0.1883,0.4331,0.4165,4.438,1.6309,12.7098,3.9356
asym_mig_size	Round_3_Replicate_30	-47043.93	94103.86	233220.99	44073.04	0.0926,0.7474,0.1646,0.4952,15.1729,2.4103,20.2741,1.5066
asym_mig_size	Round_4_Replicate_1	-39814.83	79645.66	108415.86	35199.88	0.2593,3.1265,0.3691,0.3976,6.459,0.95,11.4873,1.5691
asym_mig_size	Round_4_Replicate_2	-37662.62	75341.24	102173.15	35184.31	0.2427,2.3971,0.2538,0.4715,8.3686,1.0241,5.289,1.3527
asym_mig_size	Round_4_Replicate_3	-46211.42	92438.84	184280.95	44311.77	0.147,1.618,0.3478,0.3667,9.3998,1.0044,11.4545,1.4429
asym_mig_size	Round_4_Replicate_4	-37869.66	75755.32	101482.32	33704.29	0.2975,1.7242,0.253,0.4961,8.0997,1.0606,3.6316,1.1357
