Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
sec_contact_asym_mig_size	Round_3_Replicate_26	-90071.63	180159.26	5497187.87	24479.92	0.7363,11.2415,2.7079,0.5085,9.4615,0.7386,3.0345,1.8492
sec_contact_asym_mig_size	Round_3_Replicate_27	-44229.81	88475.62	119259.08	6184.23	5.5438,28.8422,1.8408,0.4342,1.9522,0.6761,29.2715,2.1789
sec_contact_asym_mig_size	Round_3_Replicate_28	-56864.31	113744.62	3313154.37	14202.36	2.5745,27.8703,2.1619,0.402,11.2893,0.3227,14.8595,0.9839
sec_contact_asym_mig_size	Round_3_Replicate_29	-58562.84	117141.68	203920.62	3224.76	2.0246,5.7597,2.6065,1.8152,3.1653,0.1622,18.5524,0.253
sec_contact_asym_mig_size	Round_3_Replicate_30	-42629.63	85275.26	138481.91	17650.76	2.6122,27.4308,0.3194,1.3113,7.1153,0.1715,2.2486,2.4997
sec_contact_asym_mig_size	Round_4_Replicate_1	-33262.96	66541.92	157575.34	5890.96	2.0079,17.0918,0.8407,1.0079,4.4328,0.1208,6.3238,0.427
sec_contact_asym_mig_size	Round_4_Replicate_2	-27172.51	54361.02	80401.41	3644.98	3.4338,12.4218,1.2226,0.9891,3.2419,0.1378,14.8106,0.454
sec_contact_asym_mig_size	Round_4_Replicate_3	-26778.49	53572.98	73379.25	8078.17	1.8021,21.0654,0.5189,1.1365,4.5384,0.2018,7.9317,1.0154
sec_contact_asym_mig_size	Round_4_Replicate_4	-22392.79	44801.58	76636.52	6594.82	1.564,11.7137,0.7918,0.7211,4.3972,0.3082,14.3378,0.7972
sec_contact_asym_mig_size	Round_4_Replicate_5	-33054.73	66125.46	83410.16	6907.41	2.0476,16.5841,1.0359,0.5298,2.9598,0.2076,6.4468,0.4656
sec_contact_asym_mig_size	Round_4_Replicate_6	-28067.27	56150.54	95121.7	2848.87	2.5225,21.1555,1.5181,0.7417,3.6212,0.1575,18.0325,0.3851
sec_contact_asym_mig_size	Round_4_Replicate_7	-24200.19	48416.38	81279.98	6520.26	1.6204,24.6199,0.7686,0.5068,5.2431,0.2993,8.8595,0.4817
sec_contact_asym_mig_size	Round_4_Replicate_8	-35313.87	70643.74	241500.09	8940.6	4.444,16.9496,1.3543,0.6129,4.9981,0.2066,9.7518,0.9463
sec_contact_asym_mig_size	Round_4_Replicate_9	-34059.61	68135.22	359671.39	6315.87	4.8163,12.317,1.4744,1.32,3.7229,0.1392,8.105,0.9223
sec_contact_asym_mig_size	Round_4_Replicate_10	-31584.75	63185.5	68354.12	15038.67	2.4694,21.8813,0.4866,0.7539,3.7458,0.1426,4.8867,1.2885
sec_contact_asym_mig_size	Round_4_Replicate_11	-39078.51	78173.02	95615.17	6619.87	3.2743,16.9165,0.9082,0.5194,2.8151,0.1812,15.5616,0.9639
sec_contact_asym_mig_size	Round_4_Replicate_12	-22647.86	45311.72	57007.17	6600.41	3.6296,21.3164,0.555,0.9105,4.3791,0.1806,10.4072,0.7778
sec_contact_asym_mig_size	Round_4_Replicate_13	-22952.83	45921.66	72402.74	3443.05	3.863,10.3648,0.6956,1.0177,4.4325,0.385,21.3492,0.4336
sec_contact_asym_mig_size	Round_4_Replicate_14	-24163.24	48342.48	103500.6	10580.28	2.0621,20.3263,0.6169,0.5906,6.4378,0.1192,6.165,0.6347
sec_contact_asym_mig_size	Round_4_Replicate_15	-28360.55	56737.1	67723.37	3942.96	3.7238,17.3148,0.8807,0.6916,3.0883,0.1346,13.7974,0.4302
sec_contact_asym_mig_size	Round_4_Replicate_16	-33648.35	67312.7	134025.94	6262.63	1.7967,21.2958,1.4264,1.1236,2.8239,0.0906,5.8045,0.7215
sec_contact_asym_mig_size	Round_4_Replicate_17	-23183.9	46383.8	68636.69	9293.27	3.29,10.6803,0.5442,0.8549,5.1262,0.1661,18.3286,1.2078
sec_contact_asym_mig_size	Round_4_Replicate_18	-26097.08	52210.16	86842.77	6321.01	1.7094,23.8304,1.0805,0.9257,3.27,0.149,7.8591,0.7774
sec_contact_asym_mig_size	Round_4_Replicate_19	-26502.32	53020.64	76205.29	3494.0	1.8693,25.7165,1.3678,0.6562,3.2595,0.2255,16.8756,0.566
