Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2, T3)
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_24	-92902.03	185820.06	9269480.15	4357.76	1.8299,6.277,13.8093,2.789,5.5061,6.2162,0.1995,0.0967
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_25	-54880.81	109777.62	121510.05	8803.48	0.6907,6.7352,1.1114,0.9707,0.7683,5.9256,1.2459,0.089
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_26	-54400.03	108816.06	138285.98	6109.49	0.2353,3.0334,6.1142,0.8243,4.1005,7.1835,1.6508,0.2895
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_27	-192146.01	384308.02	1559819.37	7233.12	0.135,2.8311,2.9174,2.4611,0.664,5.4493,0.2087,0.3385
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_28	-67724.13	135464.26	144438.36	4349.73	1.9977,1.8556,1.3584,2.4493,1.6232,17.4184,0.2874,0.0572
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_29	-113187.63	226391.26	287433.27	8937.81	0.9203,1.7731,0.8834,4.3134,6.6711,3.4493,0.355,0.5776
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_30	-85995.32	172006.64	245293.55	5534.45	0.5124,5.3476,2.4806,3.0468,1.3724,7.1379,0.2833,0.1619
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_1	-26294.7	52605.4	66843.36	4564.08	0.4775,1.4028,3.1295,1.0791,5.7929,17.2281,0.7647,0.2234
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_2	-26045.91	52107.82	59556.81	3600.66	0.7632,1.6276,3.3937,1.0086,3.3774,23.8997,0.6809,0.2116
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_3	-29960.19	59936.38	75810.94	4900.78	0.7349,1.161,3.6996,1.1469,8.689,14.8472,0.5167,0.2524
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_4	-24107.59	48231.18	60173.98	3187.91	0.8018,1.8824,3.3177,1.1591,4.8095,28.1644,0.9204,0.2355
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_5	-27907.28	55830.56	125230.18	2954.19	0.4216,3.2789,4.1947,1.7219,2.3142,27.1332,1.2355,0.1803
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_6	-26216.96	52449.92	75016.99	2891.85	0.508,4.2363,4.0888,1.6348,3.5594,27.5026,0.8887,0.2751
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_7	-30921.17	61858.34	68780.77	3890.02	0.9306,3.7509,3.0132,1.835,3.3276,17.4408,0.5061,0.3502
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_8	-22305.69	44627.38	50640.29	4025.29	0.3584,3.9423,2.1231,0.6141,7.2064,22.8515,0.6268,0.1471
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_9	-39485.15	78986.3	101367.85	3432.33	0.733,2.7024,5.6167,0.7162,6.6476,23.7406,0.5566,0.3716
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_10	-26073.75	52163.5	66610.02	5615.54	0.4018,1.9462,1.9916,0.945,6.5193,13.6958,0.6378,0.1755
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_11	-28138.56	56293.12	67063.47	4060.55	0.4452,3.9944,4.5092,1.1271,2.4674,16.358,0.825,0.2316
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_12	-27949.26	55914.52	61896.0	5665.96	0.6956,2.2978,2.9057,0.6663,3.527,12.3819,0.4017,0.1474
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_13	-25054.01	50124.02	55630.44	4190.95	0.2633,2.2923,2.6962,0.5592,9.5298,27.623,1.1819,0.1821
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_14	-24138.74	48293.48	52552.56	3549.33	0.2684,1.2844,2.7464,0.8688,2.7942,28.686,1.3378,0.1986
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_15	-35047.57	70111.14	85793.55	4378.87	0.4216,1.4585,3.1413,1.6412,3.8133,17.6815,0.4307,0.279
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_16	-27782.83	55581.66	62285.83	6403.14	0.3053,1.5281,1.8909,0.8625,7.3562,11.7091,0.4018,0.1858
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_17	-27866.73	55749.46	58877.57	3541.2	0.6124,1.0746,3.1572,1.1931,2.5615,25.4064,1.3515,0.3218
